year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1958,1.671,180.4,0,0,0,57,7,29
1959,3.311,86.3,0,0,0,49,7,20
1960,3.201,92.7,0,0,0,38,10,16
1961,4.601,92.8,0,0,0,30,6,7
1962,1.42,115.4,0,0,0,57,11,20
1963,-2.149,60.4,0,0,0,66,39,58
1964,0.641,130.8,0,0,0,60,21,15
1965,1.557,135.9,0,0,0,56,11,39
1966,3.209,104.9,0,0,0,32,13,11
1967,3.972,103.6,0,0,0,29,8,12
1968,2.394,121.8,0,0,0,49,10,17
1969,1.505,112.0,0,0,0,50,15,41
1970,1.191,164.6,0,0,0,57,13,34
1971,0.867,74.5,0,0,0,47,18,39
1972,3.272,50.5,0,0,0,42,7,17
1973,1.692,69.3,0,0,0,52,10,16
1974,5.143,94.4,0,0,0,20,0,2
1975,4.336,93.9,0,0,0,30,0,4
1976,2.527,68.1,0,0,0,45,10,17
1977,5.367,139.9,0,0,0,29,1,16
1978,2.513,122.9,0,0,0,39,13,29
1979,1.43,148.4,0,0,0,48,17,30
1980,2.975,82.1,0,0,0,38,13,5
1981,2.651,97.3,0,0,0,52,6,28
1982,1.579,117.8,0,0,0,47,19,29
1983,3.385,117.2,0,0,0,38,6,16
1984,1.975,123.6,0,0,0,57,6,25
1985,-0.577,94.4,0,0,0,56,27,46
1986,0.518,106.5,0,0,0,51,23,45
1987,-0.443,104.2,0,0,0,64,23,49
1988,3.875,201.6,0,0,0,32,1,16
1989,4.977,55.0,0,0,0,29,2,0
1990,6.064,134.7,0,0,0,23,3,3
1991,3.567,62.1,0,0,0,38,13,16
1992,3.719,131.0,0,0,0,34,6,10
1993,3.479,62.1,0,0,0,44,9,9
1994,5.071,106.3,0,0,0,21,1,4
1995,4.195,140.9,0,0,0,25,8,13
1996,0.853,59.7,0,0,0,68,20,14
1997,4.093,110.3,0,0,0,30,13,20
1998,4.738,87.7,0,0,0,33,7,3
1999,4.045,168.2,0,0,0,30,10,20
2000,4.659,108.5,0,0,0,25,4,7
2001,4.81,181.1,0,0,0,33,2,0
2002,4.907,131.8,0,0,0,33,12,0
2003,2.659,84.9,0,0,0,51,12,0
2004,3.403,145.7,0,0,0,47,2,0
2005,2.446,111.3,0,0,0,48,20,0
2006,0.589,93.5,0,0,0,62,12,0
2007,6.189,128.0,0,0,0,12,3,0
2008,4.986,100.3,0,0,0,35,0,0
2009,1.728,124.0,0,0,0,46,12,21
2010,1.649,95.9,0,0,0,57,23,49
2011,3.966,76.8,0,0,0,41,10,11
2012,3.232,88.0,0,0,0,34,15,19
2013,1.487,85.4,0,0,0,56,20,37
2014,6.117,77.6,0,0,0,13,0,0
2015,3.691,92.5,0,0,0,40,2,3
2016,4.368,126.6,0,0,0,27,2,11
2017,3.714,88.5,0,0,0,39,14,6
2018,3.351,127.7,0,0,0,39,7,4
2019,4.771,125.4,0,0,0,30,6,16
2020,5.923,149.0,0,0,0,25,1,0
2021,3.809,132.1,0,0,0,39,7,27
2022,5.089,91.6,0,0,0,30,1,0
2023,5.347,77.1,0,0,0,35,2,4
2024,6.405,113.8,0,0,0,17,5,10
