month;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1966-6;17.41;1;13;0;0
1966-7;16.59;0;5;0;0
1966-8;16.19;2;8;0;0
1966-9;15.22;0;5;0;0
1966-10;12.95;0;3;0;0
1966-11;1.77;0;0;0;3
1966-12;0.98;0;0;0;3
1967-1;-0.47;0;0;0;9
1967-2;2.7;0;0;0;1
1967-3;5.83;0;0;0;0
1967-4;7.25;0;0;0;0
1967-5;13.27;0;6;0;0
1967-6;15.35;2;7;0;0
1967-7;19.56;2;18;0;0
1967-8;17.77;1;7;0;0
1967-9;14.55;0;5;0;0
1967-10;12.42;0;0;0;0
1967-11;3.42;0;0;0;2
1967-12;-0.77;0;0;0;9
1968-1;-1.43;0;0;0;13
1968-2;2.03;0;0;0;0
1968-3;5.07;0;0;0;0
1968-4;10.16;0;4;0;0
1968-5;12.38;0;4;0;0
1968-6;16.63;0;12;0;0
1968-7;16.84;0;12;0;0
1968-8;16.75;0;6;0;0
1968-9;14.18;0;1;0;0
1968-10;10.5;0;0;0;0
1968-11;4.39;0;0;0;0
1968-12;-2.61;0;0;0;18
1969-1;-1.33;0;0;0;8
1969-2;-0.94;0;0;0;9
1969-3;3.37;0;0;0;0
1969-4;8.53;0;2;0;0
1969-5;15.05;1;7;0;0
1969-6;14.28;0;5;0;0
1969-7;18.55;6;16;0;0
1969-8;16.33;0;9;0;0
1969-9;15.15;0;3;0;0
1969-10;9.87;0;0;0;0
1969-11;5.21;0;0;0;2
1969-12;-5.63;0;0;0;22
1970-1;-2.15;0;0;0;13
1970-2;0;0;0;0;6
1970-3;1.88;0;0;0;3
1970-4;6.97;0;0;0;0
1970-5;11.01;0;0;0;0
1970-6;17.82;0;13;0;0
1970-7;17.7;0;15;0;0
1970-8;17.81;1;10;0;0
1970-9;14.79;0;4;0;0
1970-10;8.83;0;0;0;0
1970-11;6.17;0;0;0;0
1970-12;-1.88;0;0;0;14
1971-1;-3.12;0;0;0;12
1971-2;0.24;0;0;0;3
1971-3;0.9;0;0;0;9
1971-4;10.48;0;0;0;0
1971-5;14.61;0;5;0;0
1971-6;15.26;0;3;0;0
1971-7;18.89;4;17;0;0
1971-8;19.99;5;17;0;0
1971-9;12.95;0;0;0;0
1971-10;9.93;0;0;0;0
1971-11;3.8;0;0;0;2
1971-12;2.65;0;0;0;1
1972-1;-1.86;0;0;0;13
1972-2;2.09;0;0;0;1
1972-3;7.31;0;0;0;0
1972-4;8.29;0;0;0;0
1972-5;12.59;0;0;0;0
1972-6;15.96;0;9;0;0
1972-7;18.08;1;14;0;0
1972-8;17.67;4;11;0;0
1972-9;11.77;0;0;0;0
1972-10;6.53;0;0;0;0
1972-11;3.77;0;0;0;2
1972-12;-2.17;0;0;0;14
1973-1;-1.82;0;0;0;9
1973-2;-0.05;0;0;0;3
1973-3;3.44;0;0;0;0
1973-4;6.12;0;0;0;0
1973-5;14.55;0;5;0;0
1973-6;17.26;1;8;0;0
1973-7;18.14;0;11;0;0
1973-8;19.64;2;19;0;0
1973-9;16.13;0;10;0;0
1973-10;8.46;0;0;0;0
1973-11;3.51;0;0;0;4
1973-12;-0.87;0;0;0;7
1974-1;2.54;0;0;0;2
1974-2;3.84;0;0;0;0
1974-3;7.88;0;0;0;0
1974-4;8.77;0;0;0;0
1974-5;12.4;0;0;0;0
1974-6;15;0;2;0;0
1974-7;17.71;1;10;0;0
1974-8;19.71;5;16;1;0
1974-9;15.17;0;4;0;0
1974-10;5.85;0;0;0;0
1974-11;5.06;0;0;0;0
1974-12;3.65;0;0;0;1
1975-1;3.3;0;0;0;1
1975-2;1.89;0;0;0;0
1975-3;5.16;0;0;0;0
1975-4;7.61;0;0;0;0
1975-5;14.66;0;5;0;0
1975-6;15.15;0;8;0;0
1975-7;18.55;0;15;0;0
1975-8;18.48;0;15;0;0
1975-9;18.09;1;7;0;0
1975-10;8.9;0;1;0;0
1975-11;3.16;0;0;0;3
1975-12;-0.52;0;0;0;6
1976-1;1.6;0;0;0;6
1976-2;1.11;0;0;0;2
1976-3;3.01;0;0;0;0
1976-4;8.7;0;0;0;0
1976-5;13.89;0;7;0;0
1976-6;17.58;0;17;0;0
1976-7;19.77;7;21;0;0
1976-8;16.15;0;2;0;0
1976-9;13.47;0;4;0;0
1976-10;11.1;0;2;0;0
1976-11;5.16;0;0;0;0
1976-12;-2.44;0;0;0;18
1977-1;-0.69;0;0;0;3
1977-2;4.88;0;0;0;2
1977-3;8.37;0;0;0;0
1977-4;7.56;0;0;0;0
1977-5;13.46;0;3;0;0
1977-6;17.33;2;13;0;0
1977-7;18.78;1;13;0;0
1977-8;17.72;0;12;0;0
1977-9;13.79;0;3;0;0
1977-10;11.77;0;3;0;0
1977-11;5.83;0;0;0;3
1977-12;-0.04;0;0;0;11
1978-1;0.6;0;0;0;4
1978-2;-0.9;0;0;0;12
1978-3;5.97;0;0;0;0
1978-4;8.35;0;0;0;0
1978-5;12.44;0;1;0;0
1978-6;16.15;0;9;0;0
1978-7;17.57;0;12;0;0
1978-8;16.89;1;11;0;0
1978-9;14.41;0;3;0;0
1978-10;9.22;0;0;0;0
1978-11;3.47;0;0;0;2
1978-12;0.39;0;0;0;12
1979-1;-4.09;0;0;0;15
1979-2;1.54;0;0;0;1
1979-3;7.12;0;0;0;0
1979-4;7.56;0;0;0;0
1979-5;14.31;1;13;0;0
1979-6;18.3;2;16;0;0
1979-7;17.19;0;5;0;0
1979-8;17.51;1;10;0;0
1979-9;15.32;0;9;0;0
1979-10;10.42;0;1;0;0
1979-11;3.46;0;0;0;0
1979-12;4.48;0;0;0;0
1980-1;-2.73;0;0;0;15
1980-2;4.31;0;0;0;0
1980-3;5.37;0;0;0;0
1980-4;5.82;0;0;0;0
1980-5;11.46;0;0;0;0
1980-6;16.06;2;5;0;0
1980-7;16.79;0;10;0;0
1980-8;19.35;3;15;0;0
1980-9;15.52;0;5;0;0
1980-10;9.75;0;0;0;0
1980-11;3.4;0;0;0;3
1980-12;-1.38;0;0;0;8
1981-1;-3.36;0;0;0;17
1981-2;-0.75;0;0;0;3
1981-3;8.15;0;0;0;0
1981-4;10.06;0;0;0;0
1981-5;13.94;0;5;0;0
1981-6;17.4;4;13;0;0
1981-7;17.26;0;11;0;0
1981-8;18.82;3;15;1;0
1981-9;15.46;0;4;0;0
1981-10;10.07;0;1;0;0
1981-11;4.73;0;0;0;0
1981-12;-0.93;0;0;0;10
1982-1;-3.17;0;0;0;11
1982-2;-0.49;0;0;0;3
1982-3;5.37;0;0;0;0
1982-4;7.07;0;0;0;0
1982-5;13.64;0;5;0;0
1982-6;17.59;1;12;0;0
1982-7;19.64;2;18;0;0
1982-8;18.33;1;9;0;0
1982-9;17.42;0;10;0;0
1982-10;10.37;0;0;0;0
1982-11;6.45;0;0;0;0
1982-12;2.45;0;0;0;1
1983-1;3.73;0;0;0;0
