year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1951;9.26;5;44;0;12
1952;8.51;13;48;1;39
1953;9.05;5;49;0;28
1954;8.07;2;31;0;39
1955;8.06;1;30;0;29
1956;7.3;1;35;0;50
1957;8.85;9;34;0;19
1958;null;null;null;null;null
1959;8.81;4;42;0;21
1960;8.81;2;30;0;28
1961;9.39;5;47;0;25
1962;7.57;7;47;0;40
1963;7.53;7;34;0;60
1964;8.22;8;47;0;40
1965;7.96;5;30;0;32
1966;9.23;3;38;0;24
1967;9.32;5;43;0;20
1968;8.81;0;39;0;30
1969;8.29;7;42;0;40
1970;8.31;1;42;0;35
1971;8.95;9;42;0;27
1972;8.38;5;34;0;30
1973;8.79;3;53;0;22
1974;9.86;6;32;1;3
1975;9.61;1;51;0;10
1976;9.16;7;53;0;26
1977;9.95;3;47;0;19
1978;8.77;1;36;0;30
1979;9.5;4;54;0;16
1980;8.68;5;35;0;26
1981;9.3;7;49;1;30
1982;9.64;4;54;0;15
1983;9.87;13;72;2;21
1984;8.9;4;29;1;14
1985;8.77;10;52;0;35
1986;9.55;9;67;1;32
1987;9.25;10;56;0;33
1988;10.18;11;53;0;6
1989;10.49;4;48;0;11
1990;10.49;9;52;0;12
1991;9.37;6;58;0;17
1992;10.85;21;68;3;17
1993;10.09;9;61;0;29
1994;11.57;31;68;3;7
1995;10.14;17;57;1;27
1996;8.25;6;43;0;49
1997;9.67;1;48;0;18
1998;10.05;10;49;1;23
1999;9.85;4;42;0;21
2000;10.86;9;61;0;8
2001;9.99;12;57;0;21
2002;10.55;9;53;2;22
2003;10.05;29;91;1;24
2004;9.52;4;46;0;24
2005;9.44;8;47;1;31
2006;9.86;15;55;2;33
2007;10.56;8;57;1;13
2008;10.47;12;57;1;3
2009;10.24;5;46;0;33
2010;9.23;15;44;2;40
2011;10.4;11;54;0;15
2012;10.22;15;62;0;23
2013;9.94;19;58;3;26
2014;11.28;9;43;0;2
2015;11.06;32;64;2;3
2016;10.43;9;66;1;10
2017;10.25;15;68;2;20
2018;11.26;16;78;0;15
2019;11.17;18;71;1;11
2020;10.82;9;59;0;4
2021;9.89;10;57;0;12
2022;11.23;17;74;1;6
2023;11.55;25;76;3;10
2024;null;17;72;0;7
