year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1947,7.95,0.0,7,23,1,88,60,0
1948,9.236,0.0,5,13,0,57,15,0
1949,9.542,0.0,1,10,0,45,6,0
1950,8.792,0.0,0,11,0,64,16,0
1951,8.938,654.6,2,15,0,56,9,25
1952,8.034,670.3,2,10,0,85,10,25
1953,9.305,490.0,1,18,0,60,11,18
1954,7.875,713.0,1,4,0,68,31,37
1955,8.028,585.5,0,8,0,94,27,54
1956,7.387,567.6,0,3,0,87,35,46
1957,8.804,533.7,1,9,0,56,8,14
1958,8.245,591.2,0,6,0,84,17,57
1959,9.374,436.7,2,14,0,58,21,22
1960,8.443,885.6,0,5,0,62,18,40
1961,9.21,630.4,0,13,0,46,18,20
1962,7.679,627.1,0,1,0,75,24,36
1963,7.415,596.7,3,10,1,100,63,81
1964,8.219,480.2,4,17,0,86,23,50
1965,7.769,701.1,0,4,0,85,15,56
1966,8.354,739.5,2,15,0,74,26,50
1967,9.363,589.5,1,9,0,53,8,19
1968,8.536,637.5,2,16,0,69,16,32
1969,7.691,499.9,6,23,1,106,43,82
1970,7.522,647.4,1,11,0,97,42,91
1971,8.73,432.0,2,19,0,53,17,22
1972,8.227,584.1,1,11,0,58,21,11
1973,8.856,516.5,5,13,0,45,6,23
1974,9.036,575.8,1,5,0,30,0,3
1975,9.339,498.4,4,17,0,38,3,3
1976,8.278,427.1,0,12,1,81,26,38
1977,8.703,592.0,0,6,0,50,8,20
1978,8.106,628.3,2,10,0,66,23,34
1979,7.537,569.9,2,15,0,85,43,74
1980,7.593,635.6,0,8,0,96,23,49
1981,8.396,705.7,1,11,0,64,21,49
1982,8.847,444.8,6,23,0,58,21,23
1983,9.387,642.6,3,23,1,49,9,20
1984,8.225,622.0,1,11,0,70,8,17
1985,7.522,575.9,1,14,0,90,47,62
1986,8.151,635.9,3,16,0,72,35,51
1987,7.408,665.5,0,9,0,92,32,57
1988,9.282,643.8,0,11,0,43,4,7
1989,10.085,464.5,2,22,0,39,5,4
1990,10.166,666.4,3,14,0,24,2,3
1991,9.018,522.9,2,14,0,50,14,22
1992,9.902,528.0,6,34,0,29,7,2
1993,8.702,736.4,0,13,0,58,15,12
1994,9.722,729.4,6,19,3,33,9,13
1995,9.287,627.3,2,22,0,59,20,32
1996,7.502,428.6,3,18,0,111,47,50
1997,9.432,517.1,3,26,2,58,17,18
1998,9.361,776.2,1,9,0,40,11,12
1999,10.126,612.8,3,24,0,40,3,6
2000,10.195,616.5,4,13,2,21,6,5
2001,9.461,750.7,4,16,0,55,9,17
2002,9.956,775.3,4,24,0,52,14,4
2003,9.719,476.9,3,25,1,63,16,23
2004,9.523,572.8,0,14,0,52,11,14
2005,9.773,562.3,2,20,0,60,6,31
2006,10.299,681.5,6,32,6,65,17,34
2007,10.404,789.3,0,13,0,19,3,2
2008,10.202,471.8,5,17,0,20,3,1
2009,9.598,540.2,2,22,0,58,9,24
2010,8.147,706.7,8,18,4,99,56,91
2011,9.776,954.6,2,16,0,55,17,9
2012,9.224,490.9,1,15,0,50,21,32
2013,9.453,611.5,2,15,1,66,13,51
2014,10.692,554.1,0,19,0,31,16,9
2015,10.312,613.0,4,19,0,21,0,5
2016,10.092,480.1,5,28,0,44,8,10
2017,10.073,738.6,1,18,0,36,5,0
2018,10.698,470.2,8,39,8,48,10,21
2019,10.869,538.0,7,27,0,21,5,1
2020,11.016,602.8,3,20,0,10,0,0
2021,10.174,715.9,3,25,3,46,10,17
2022,10.719,500.2,6,26,1,30,6,5
2023,11.646,596.6,5,23,0,25,1,2
