year,month,averageTemperature,totalPrecipitation,averageSnowCover
1953,1,-1.561,22.9,152.0
1953,2,0.371,24.0,305.0
1953,3,6.035,3.5,0.0
1953,4,10.087,59.7,0.0
1953,5,14.061,63.4,0.0
1953,6,15.343,167.3,0.0
1953,7,17.832,120.3,0.0
1953,8,17.229,33.4,0.0
1953,9,14.357,53.6,0.0
1953,10,10.274,31.6,0.0
1953,11,3.933,5.6,0.0
1953,12,1.994,23.8,3.0
1954,1,-2.897,49.3,118.0
1954,2,-1.85,25.1,5.0
1954,3,5.735,8.8,0.0
1954,4,6.46,68.2,0.0
1954,5,12.142,60.9,0.0
1954,6,16.16,82.5,0.0
1954,7,15.216,83.5,0.0
1954,8,16.016,151.1,0.0
1954,9,14.093,126.0,0.0
1954,10,9.965,52.7,0.0
1954,11,4.767,33.6,0.0
1954,12,3.035,75.8,16.0
1955,1,-0.732,90.0,10.0
1955,2,-0.168,48.1,68.0
1955,3,1.929,17.9,19.0
1955,4,8.257,28.7,0.0
1955,5,11.51,56.0,0.0
1955,6,15.63,79.1,0.0
1955,7,17.439,89.6,0.0
1955,8,16.913,46.6,0.0
1955,9,13.55,56.9,0.0
1955,10,7.755,21.1,0.0
1955,11,3.37,15.3,9.0
1955,12,3.106,78.7,15.0
1956,1,1.432,54.8,20.0
1956,2,-9.772,20.1,506.0
1956,3,4.303,46.7,0.0
1956,4,6.877,50.0,7.0
1956,5,13.297,68.0,0.0
1956,6,13.543,73.1,0.0
1956,7,17.413,91.7,0.0
1956,8,14.906,115.6,0.0
1956,9,14.6,39.8,0.0
1956,10,8.161,78.9,1.0
1956,11,2.343,45.8,3.0
1956,12,1.516,16.5,45.0
1957,1,-0.861,19.4,114.0
1957,2,4.914,63.6,0.0
1957,3,8.019,28.2,0.0
1957,4,8.453,34.9,0.0
1957,5,10.219,51.0,0.0
1957,6,17.183,94.4,0.0
1957,7,18.342,98.2,0.0
1957,8,15.706,95.7,0.0
1957,9,12.697,66.0,0.0
1957,10,9.026,19.1,0.0
1957,11,4.23,25.8,0.0
1957,12,0.494,35.9,1.0
1958,1,-0.09,66.9,164.0
1958,2,2.886,138.5,118.0
1958,3,0.697,22.7,4.0
1958,4,5.943,63.7,11.0
1958,5,14.697,71.9,0.0
1958,6,15.54,61.2,0.0
1958,7,17.958,104.4,0.0
1958,8,17.884,80.3,0.0
1958,9,15.423,94.7,0.0
1958,10,8.865,46.4,0.0
1958,11,4.297,26.1,0.0
1958,12,2.677,62.5,0.0
1959,1,0.135,54.8,199.0
1959,2,1.475,4.5,0.0
1959,3,7.232,44.2,0.0
1959,4,10.15,43.7,0.0
1959,5,13.535,81.4,0.0
1959,6,16.453,76.1,0.0
1959,7,20.055,48.7,0.0
1959,8,17.471,74.0,0.0
1959,9,15.473,9.7,0.0
1959,10,9.223,84.1,0.0
1959,11,2.997,26.7,0.0
1959,12,2.594,35.6,0.0
1960,1,0.442,45.5,86.0
1960,2,2.086,51.0,14.0
1960,3,5.8,40.1,0.0
1960,4,8.803,20.0,0.0
1960,5,13.742,99.3,0.0
