year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1949,2.407,384.1,0,0,0,72,21,70
1950,0.943,457.2,0,0,0,50,28,42
1951,7.227,1586.3,0,12,0,108,18,107
1952,6.52,1906.0,5,20,1,129,63,140
1953,7.45,953.2,0,14,0,101,44,96
1954,6.047,1609.2,0,6,0,117,41,104
1955,6.267,1560.8,0,3,0,119,48,80
1956,5.307,1564.2,0,5,0,127,62,94
1957,6.976,1520.7,3,9,1,98,26,58
1958,6.53,1827.2,0,12,0,120,48,119
1959,7.78,1193.1,0,15,0,94,24,76
1960,6.742,1625.2,0,5,0,101,41,73
1961,7.75,1874.5,0,19,0,86,26,68
1962,5.565,1563.0,2,12,1,142,56,131
1963,5.749,1292.4,0,9,0,119,64,101
1964,6.834,1385.0,1,18,0,116,45,95
1965,5.79,2124.6,0,6,0,118,53,121
1966,6.842,1926.6,1,7,0,110,43,105
1967,6.942,1619.2,0,18,0,120,33,103
1968,6.299,1712.8,0,8,0,120,47,117
1969,6.297,1586.0,0,10,0,121,60,141
1970,6.189,2138.4,0,6,0,124,52,143
1971,6.994,1047.1,1,16,0,119,37,123
1972,6.399,1279.9,0,8,0,110,27,95
1973,6.379,1469.0,0,19,0,140,49,156
1974,6.919,1672.3,1,8,0,97,20,117
1975,6.955,1159.7,0,12,0,113,26,100
1976,6.92,1159.3,0,21,0,114,43,113
1977,6.989,1836.0,0,4,0,96,41,105
1978,6.082,1781.9,0,3,0,110,50,118
1979,6.438,1840.0,0,7,0,128,42,120
1980,5.859,1784.1,0,6,1,127,42,125
1981,6.447,1931.2,0,11,0,131,54,134
1982,7.342,1811.1,0,17,0,108,29,129
1983,7.458,1809.5,5,28,2,105,39,111
1984,6.282,1728.7,2,9,1,121,38,119
1985,6.158,1444.9,1,8,0,115,56,104
1986,6.448,2362.0,1,13,0,113,56,124
1987,6.168,1734.8,0,14,0,112,59,113
1988,7.212,2234.2,0,11,0,107,29,117
1989,8.162,1305.2,1,15,1,86,6,34
1990,7.703,1812.5,1,20,0,97,25,80
1991,6.722,1342.9,1,18,0,115,42,84
1992,7.618,1609.3,3,24,2,116,21,105
1993,6.902,2017.5,0,12,0,106,41,99
1994,8.26,1768.8,2,33,1,85,21,76
1995,7.313,2048.5,2,23,0,115,28,109
1996,5.876,1461.8,0,8,0,127,49,116
1997,7.584,1413.7,0,16,0,105,25,64
1998,7.332,1815.0,5,21,1,93,33,97
1999,7.48,2053.5,0,17,0,103,40,133
2000,8.171,1712.7,1,21,0,84,19,76
2001,7.409,2105.2,1,23,0,115,35,75
2002,8.033,1953.4,2,16,0,74,15,47
2003,8.261,1045.5,15,43,3,122,38,86
2004,7.079,1457.8,0,19,0,119,47,99
2005,7.336,1128.7,1,27,1,114,57,106
2006,8.028,1645.5,4,24,0,110,42,99
2007,7.962,1867.2,2,11,0,91,20,62
2008,7.528,1432.2,0,11,0,111,26,81
2009,7.71,1376.3,1,16,0,113,33,113
2010,6.457,1256.5,3,20,0,123,65,123
2011,8.53,1155.8,2,17,0,95,26,65
2012,7.724,1535.4,4,19,0,96,32,92
2013,7.106,1497.7,5,22,0,121,52,102
2014,8.817,1272.9,2,12,0,76,9,25
2015,8.818,1105.4,12,38,1,94,23,80
2016,8.046,1399.3,3,23,0,104,18,57
2017,8.139,1570.5,0,30,0,103,33,72
2018,9.108,1344.3,5,35,0,96,32,66
2019,8.651,1572.8,6,35,0,99,17,69
2020,9.084,1476.3,1,21,0,88,8,43
2021,7.482,1507.7,0,12,0,110,37,83
2022,9.444,1339.3,9,46,0,90,19,59
2023,9.199,1932.5,5,36,0,80,26,39
2024,2.523,342.6,0,0,0,18,8,2
