year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1936,4.904,1238.0,0,0,0,143,51,74
1937,5.641,904.7,0,3,0,113,46,87
1938,4.924,997.4,0,1,0,140,51,80
1946,6.971,727.9,0,2,0,71,36,41
1947,5.475,757.1,0,23,0,142,87,113
1948,5.696,956.5,0,1,0,116,41,65
1949,5.725,727.4,0,3,0,139,66,101
1950,4.957,1160.4,0,2,0,153,70,117
1951,5.232,950.3,0,3,0,143,60,109
1952,4.304,1430.1,0,15,1,158,103,151
1953,5.892,906.1,0,2,0,123,63,92
1954,4.062,1368.8,0,1,0,144,72,120
1955,4.133,1200.7,0,0,0,161,85,106
1956,3.294,1406.7,0,0,0,157,89,120
1957,5.155,1216.8,1,8,1,123,57,81
1958,4.544,1339.6,0,0,0,146,83,112
1959,6.298,838.1,0,3,0,123,46,69
1960,4.842,1314.6,0,0,0,129,68,89
1961,5.704,1389.9,0,0,0,119,55,74
1962,3.623,926.3,0,1,0,171,85,130
1963,4.073,962.9,0,4,0,139,86,94
1964,5.013,810.5,0,10,0,139,78,86
1965,3.962,1535.7,0,0,0,155,86,146
1966,5.05,1511.6,0,1,0,138,68,113
1967,5.293,1226.3,0,1,0,149,50,130
1968,4.61,1205.6,0,0,0,148,87,116
1969,4.565,1025.5,0,5,0,154,96,142
1970,4.224,1161.1,0,0,0,153,86,149
1971,5.182,814.4,0,4,0,144,64,137
1972,4.639,852.7,0,3,0,144,49,81
1973,4.804,802.2,0,3,0,168,86,159
1974,5.025,1184.0,0,2,0,131,40,134
1975,5.462,716.5,0,2,0,145,59,121
1976,5.234,661.7,0,10,0,143,67,121
1977,5.143,1087.0,0,0,0,123,62,117
1978,4.341,965.5,0,1,0,128,75,111
1979,4.189,1058.9,0,0,0,159,84,150
1980,3.959,1242.6,0,2,0,160,82,156
1981,4.601,1384.8,0,0,0,154,91,130
1982,5.795,803.3,0,5,0,133,60,143
1983,5.654,1119.3,0,9,1,124,61,125
1984,4.342,1292.6,0,4,0,154,82,137
1985,3.974,1006.3,0,2,0,145,81,120
1986,4.422,1179.5,0,2,0,148,83,128
1987,4.063,1291.6,0,1,0,136,81,123
1988,5.483,1300.8,0,2,0,140,51,136
1989,6.641,1042.3,0,6,0,121,25,57
1990,5.909,952.5,0,10,0,123,44,87
1991,5.17,751.7,0,6,0,143,55,98
1992,6.069,1202.6,2,12,1,139,45,128
1993,5.469,1200.3,0,3,0,130,55,117
1994,6.388,1132.3,2,22,0,119,37,99
1995,5.56,1199.6,0,12,1,140,61,112
1996,4.04,971.4,0,5,0,142,83,125
1997,5.898,931.1,0,7,0,141,45,90
1998,5.368,1320.1,1,8,0,125,58,88
1999,5.844,1092.5,0,2,0,132,61,109
2000,6.275,1177.2,0,5,0,114,44,80
2001,5.544,1249.6,0,9,0,131,66,103
2002,6.185,1354.8,0,9,0,108,35,66
2003,6.384,835.8,3,24,3,143,52,98
2004,5.365,1129.3,0,8,0,137,66,115
2005,5.694,1154.0,0,13,0,133,80,114
2006,6.424,1262.3,1,15,0,124,60,105
2007,6.404,1328.9,0,6,0,113,41,82
2008,6.052,978.2,0,11,0,131,43,89
2009,5.838,1176.6,0,3,0,124,62,126
2010,4.485,1255.5,2,11,0,147,91,128
2011,6.911,988.0,0,6,0,115,38,71
2012,5.925,1228.4,0,8,0,114,52,103
2013,5.314,1074.1,0,15,1,132,84,125
2014,7.244,962.0,0,7,0,98,28,44
2015,6.837,882.5,3,21,3,111,45,95
2016,6.264,1027.3,0,12,0,134,44,91
2017,6.248,1302.8,0,8,0,123,49,105
2018,7.452,830.1,4,28,1,114,53,92
2019,7.083,1139.0,4,21,1,113,36,90
2020,7.291,1041.8,1,14,0,105,24,67
2021,5.778,1186.8,0,5,0,131,56,109
2022,7.568,1032.7,3,22,1,113,39,111
2023,8.436,1179.4,0,16,0,69,29,59
