year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1947,9.154,664.7,31,68,1,103,44,71
1948,9.315,790.9,3,35,0,79,16,19
1949,9.162,687.3,9,45,0,99,20,29
1950,9.278,801.8,10,53,0,89,29,33
1951,8.999,872.0,6,40,0,106,5,29
1952,8.593,819.0,16,46,0,108,31,86
1953,8.895,570.3,4,47,0,127,38,50
1954,7.904,890.5,2,23,0,95,36,30
1955,7.679,813.8,1,23,0,121,35,72
1956,7.088,873.5,1,25,0,106,37,56
1957,8.648,685.1,8,29,0,88,17,25
1958,8.503,847.1,4,45,0,101,28,50
1959,8.886,637.8,4,45,0,105,24,27
1960,8.742,754.0,4,24,0,76,19,42
1961,9.438,734.3,5,39,0,82,16,45
1962,7.803,646.7,9,38,0,107,32,67
1963,7.502,773.7,5,23,0,106,63,82
1964,8.656,700.0,15,49,0,93,35,60
1965,7.733,1036.0,7,23,1,103,29,75
1966,8.979,992.0,2,33,0,78,22,42
1967,9.055,789.2,10,41,0,79,22,34
1968,8.475,862.9,0,29,0,101,34,54
1969,8.477,767.4,8,40,0,104,34,80
1970,8.46,922.0,3,42,0,96,29,72
1971,8.681,640.0,14,41,0,98,30,68
1972,8.322,714.6,7,30,0,94,20,35
1973,8.438,818.9,6,43,0,116,28,54
1974,9.086,971.8,5,25,0,52,3,32
1975,9.159,824.9,2,43,0,74,10,35
1976,9.106,729.0,12,43,0,86,24,44
1977,9.234,924.0,2,28,0,71,14,47
1978,7.968,906.9,0,21,0,100,37,77
1979,8.467,911.5,1,31,0,89,17,52
1980,7.728,743.4,3,20,0,103,33,40
1981,8.516,905.2,0,33,0,99,31,59
1982,8.797,770.4,4,46,0,94,23,37
1983,8.866,664.1,10,52,0,97,36,53
1984,7.894,680.3,4,18,0,110,18,62
1985,7.603,763.9,6,37,0,115,45,76
1986,8.188,735.8,1,42,0,100,36,49
1987,7.793,835.2,1,33,0,97,43,64
1988,9.113,688.8,5,30,0,82,14,35
1989,9.068,753.8,1,26,0,79,24,5
1990,9.118,727.2,3,34,0,81,22,29
1991,8.152,613.0,3,39,0,103,31,41
1992,9.602,791.1,15,40,0,79,15,19
1993,8.884,716.2,4,31,0,88,36,43
1994,10.351,828.2,18,50,0,55,9,19
1995,9.103,799.4,9,37,0,93,25,41
1996,7.868,638.6,2,28,0,112,43,39
1997,9.028,507.3,1,45,0,101,23,33
1998,9.02,791.5,13,37,0,91,29,39
1999,9.082,858.8,3,37,0,93,18,38
2000,9.647,937.7,4,37,0,65,9,13
2001,8.983,841.4,7,41,0,86,18,20
2002,9.268,1006.7,4,40,0,87,20,20
2003,9.099,514.7,21,80,0,131,26,40
2004,8.669,608.3,2,37,0,106,25,47
2005,8.32,866.2,6,37,0,111,36,73
2006,8.971,756.1,11,45,0,111,30,25
2007,9.783,818.2,5,43,0,82,10,18
2008,9.376,675.3,3,44,0,104,7,18
2009,8.931,677.7,4,42,0,100,35,35
2010,8.053,813.7,11,38,0,113,51,68
2011,9.526,561.4,5,41,0,99,19,26
2012,9.068,678.4,10,46,0,91,25,41
2013,8.664,842.1,13,41,0,101,28,51
2014,10.264,664.5,4,32,0,67,2,8
2015,9.964,633.7,24,54,0,106,9,27
2016,9.506,815.1,8,50,0,96,9,13
2017,9.385,680.4,11,55,0,96,26,29
2018,10.368,610.4,12,75,0,85,17,36
2019,9.933,703.3,12,50,0,95,14,29
2020,9.988,680.3,8,47,0,93,8,5
2021,8.739,794.7,3,34,0,115,11,42
2022,10.309,552.1,15,72,0,97,12,12
2023,10.691,847.5,16,59,0,80,9,15
