year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1949;5.24;0;11;0;54
1950;4.98;1;12;0;63
1951;4.88;0;6;0;56
1952;4.07;1;14;0;97
1953;5.45;0;9;0;63
1954;null;null;null;null;null
1955;null;null;null;null;null
1956;null;null;null;null;null
1957;4.86;0;8;0;46
1958;4.75;0;6;0;69
1959;5.02;0;5;0;54
1960;4.32;0;2;0;56
1961;5.53;0;9;0;50
1962;3.5;0;5;0;98
1963;3.92;0;5;0;78
1964;4.9;0;6;0;60
1965;3.76;0;4;0;93
1966;4.53;0;3;0;76
1967;4.98;0;5;0;62
1968;4.69;0;8;0;65
1969;4.59;0;8;0;74
1970;4.33;0;7;0;75
1971;5.88;2;14;0;51
1972;5.03;0;6;0;45
1973;4.62;0;6;0;75
1974;4.93;0;8;0;41
1975;5.18;0;4;0;40
1976;4.97;0;6;0;48
1977;5.1;0;1;0;54
1978;4.66;0;2;0;72
1979;4.58;0;1;0;68
1980;4.21;0;12;0;62
1981;4.65;0;10;0;84
1982;4.97;0;0;0;48
1983;5.14;0;8;0;58
1984;3.83;0;4;0;70
1985;4.38;0;3;0;70
1986;4.61;0;0;0;74
1987;4.69;0;3;0;71
1988;5.16;0;3;0;65
1989;5.6;0;0;0;28
1990;5.41;0;4;0;57
1991;4.64;0;5;0;69
1992;5.48;0;14;0;42
1993;4.99;0;0;0;56
1994;6.17;0;12;0;39
1995;4.69;0;7;0;59
1996;4.37;0;3;0;57
1997;5.67;0;1;0;33
1998;5.12;0;10;0;57
1999;5.04;0;2;0;67
2000;5.69;0;6;0;47
2001;4.98;0;8;0;65
2002;5.92;0;8;0;28
2003;5.83;1;25;0;56
2004;5.05;0;3;0;65
2005;4.6;0;12;0;87
2006;5.63;0;20;0;60
2007;5.98;0;9;0;37
2008;6.2;0;9;0;45
2009;6.05;0;21;0;69
2010;5.12;0;22;0;81
2011;7.09;0;17;0;31
2012;6.1;0;16;0;54
2013;5.87;1;19;0;55
2014;6.95;0;7;0;21
2015;7.11;3;34;0;34
2016;null;null;null;null;null
2017;null;null;null;null;null
2018;7.01;0;13;0;46
2019;6.57;2;15;0;35
2020;6.84;0;13;0;24
2021;5.8;0;9;0;53
2022;null;1;17;0;21
