year;region;classification;pollutant;unit;source;data_status;energy_co2e_t;industry_co2e_t;traffic_co2e_t;buildings_co2e_t;agriculture_co2e_t;waste_co2e_t;fluorinated_gases_co2e_t;total_co2e_t;population;energy_co2e_t_percapita;industry_co2e_t_percapita;traffic_co2e_t_percapita;buildings_co2e_t_percapita;agriculture_co2e_t_percapita;waste_co2e_t_percapita;fluorinated_gases_co2e_t_percapita;total_co2e_t_percapita;international_flight_co2e_t
2007;Steiermark;KSG;THG;t CO2-äq;BLI 2022 (1990-2020);Oktober 2022;148496.771745102;495948.621896639;3564634.78208128;1584867.09353765;1358831.71428886;553832.828141485;183924.039452188;7890535.8511432;1202483;0.12349178470307;0.412437117112374;2.96439515742117;1.31799542574627;1.13002155896496;0.460574351688535;0.152953546496864;6.56186894213324;NA
2007;Tirol;EH;THG;t CO2-äq;BLI 2022 (1990-2020);Oktober 2022;17048;577542;NA;NA;NA;NA;NA;594590;697253;0.0244502354238705;0.828310527168761;NA;NA;NA;NA;NA;0.852760762592631;NA
2007;Tirol;Gesamt;THG;t CO2-äq;BLI 2022 (1990-2020);Oktober 2022;31037.4488259922;1056089.58283822;1866213.1887907;1035103.34224464;624317.396441362;275971.829126485;104619.85651656;4993352.64478396;697253;0.0445138978620274;1.51464329710768;2.67652227927409;1.48454483845124;0.895395783799226;0.395798697354454;0.150045760314491;7.16146455416321;NA
2007;Tirol;KSG;THG;t CO2-äq;BLI 2022 (1990-2020);Oktober 2022;13989.4488259922;438026.870801176;1856225.05583752;1035103.34224464;624317.396441362;275971.829126485;104619.85651656;4348253.79979373;697253;0.0200636624381569;0.628217979415185;2.66219730261113;1.48454483845124;0.895395783799226;0.395798697354454;0.150045760314491;6.23626402438387;NA
2007;Vorarlberg;EH;THG;t CO2-äq;BLI 2022 (1990-2020);Oktober 2022;NA;77039;NA;NA;NA;NA;NA;77039;364269;NA;0.211489311470369;NA;NA;NA;NA;NA;0.211489311470369;NA
2007;Vorarlberg;Gesamt;THG;t CO2-äq;BLI 2022 (1990-2020);Oktober 2022;4299.39566121249;307806.436512828;940415.001682879;552890.953970508;216524.021001245;111723.434434465;54716.582381781;2188375.82564492;364269;0.0118028041398321;0.844997615808175;2.58164982933733;1.51780951431637;0.594406938282547;0.306705853186697;0.15020927496378;6.00758183003473;NA
2007;Vorarlberg;KSG;THG;t CO2-äq;BLI 2022 (1990-2020);Oktober 2022;4299.39566121249;230767.436512828;940189.424552113;552890.953970508;216524.021001245;111723.434434465;54716.582381781;2111111.24851415;364269;0.0118028041398321;0.633508304337805;2.58103056958488;1.51780951431637;0.594406938282547;0.306705853186697;0.15020927496378;5.79547325881189;NA
2007;Wien;EH;THG;t CO2-äq;BLI 2022 (1990-2020);Oktober 2022;1971858;11300;NA;NA;NA;NA;NA;1983158;1661246;1.18697531852597;0.00680212322557887;NA;NA;NA;NA;NA;1.19377744175155;NA
2007;Wien;Gesamt;THG;t CO2-äq;BLI 2022 (1990-2020);Oktober 2022;2140362.82120843;570730.2074966;3568794.88476179;1544342.25645173;29756.1378220869;509064.037502277;249676.479472845;8612726.82471576;1661246;1.28840811126614;0.343555504420537;2.1482639445102;0.929628878836566;0.0179119394852339;0.306435071929309;0.150294706186107;5.18449815663409;NA
2007;Wien;KSG;THG;t CO2-äq;BLI 2022 (1990-2020);Oktober 2022;168504.821208434;559430.2074966;3568768.43651822;1544342.25645173;29756.1378220869;509064.037502277;249676.479472845;6629542.37647219;1661246;0.101432792740169;0.336753381194958;2.14824802378349;0.929628878836566;0.0179119394852339;0.306435071929309;0.150294706186107;3.99070479415583;NA
