year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1936,10.592,470.0,3,38,0,38,3,11
1937,10.827,719.5,7,48,0,46,16,23
1938,10.837,418.5,9,46,0,50,8,15
1939,10.483,586.6,6,57,0,47,3,17
1940,8.361,596.1,0,36,0,85,46,76
1941,9.015,988.8,7,38,0,76,28,40
1942,8.95,472.9,17,53,0,85,43,55
1943,11.229,387.3,20,51,3,55,10,21
1944,10.487,584.6,18,62,0,57,4,38
1945,7.475,421.0,15,37,0,151,135,31
1946,10.718,701.0,9,46,0,54,15,27
1947,9.793,261.2,30,77,0,80,46,71
1948,11.368,606.7,13,52,0,41,9,13
1949,10.833,519.8,7,43,0,55,10,19
1950,11.071,612.3,11,51,0,47,19,15
1951,10.654,573.4,5,45,0,51,6,14
1952,10.103,534.8,9,48,1,65,7,30
1953,10.861,536.1,11,53,0,66,13,44
1954,9.384,746.6,5,35,0,61,34,41
1955,9.247,670.6,2,39,0,83,22,47
1956,8.756,632.2,5,40,0,64,36,50
1957,10.916,655.0,12,38,3,44,7,11
1958,10.427,704.1,4,40,0,67,8,29
1959,10.977,461.8,10,47,1,55,8,26
1960,10.106,604.8,4,31,0,56,16,33
1961,11.33,588.0,7,43,0,33,7,26
1962,9.769,447.1,5,36,0,61,10,24
1963,9.323,505.6,12,55,0,74,41,68
1964,9.989,461.7,22,61,1,66,24,31
1965,9.468,671.4,7,30,0,66,10,52
1966,10.789,706.1,9,46,0,48,18,47
1967,11.329,682.7,13,53,0,36,5,0
1968,10.712,530.2,9,53,0,52,9,0
1969,10.131,501.5,18,55,0,67,21,0
1970,9.693,631.9,17,54,0,71,22,0
1971,10.376,410.8,17,52,0,61,18,0
1972,10.065,522.8,13,37,2,52,16,0
1973,10.581,488.2,10,57,0,46,4,0
1974,10.764,654.6,6,35,0,21,0,0
1975,11.373,453.8,13,61,0,32,1,0
1976,10.696,386.7,15,48,1,61,13,19
1977,9.589,423.8,3,19,0,44,6,28
2007,14.574,474.9,15,58,1,10,0,0
2008,12.182,603.4,13,53,0,30,2,5
2009,11.494,568.6,7,51,0,53,15,26
2010,10.668,720.7,19,52,4,67,30,45
2011,11.996,566.4,10,61,0,60,11,13
2012,11.803,509.7,21,63,3,41,14,8
2013,10.865,690.3,16,61,2,70,27,40
2014,12.773,560.9,15,48,0,41,6,7
2015,12.231,511.6,29,58,4,49,1,2
2016,12.184,598.4,16,67,0,48,10,14
2017,12.137,491.6,20,59,0,53,16,32
2018,13.107,323.5,39,94,3,50,10,5
2019,12.496,413.0,34,73,3,58,27,8
2020,12.725,526.4,20,66,0,38,0,0
2021,11.314,571.6,12,59,3,51,11,23
2022,12.928,405.0,24,67,3,40,0,0
2023,9.553,454.6,11,45,1,87,51,8
