year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,iceDays,frostDays,snowCoverDays
1936,9.32,528.3,3,38,0,63,6,14
1937,9.399,782.4,7,48,0,81,22,34
1938,9.505,461.0,9,46,0,72,22,25
1939,9.001,733.2,6,57,0,76,15,43
1940,7.186,748.9,0,36,0,116,60,93
1941,7.832,1133.5,7,38,0,106,35,52
1942,8.024,526.3,17,53,0,106,44,58
1943,9.61,433.4,20,51,3,90,16,30
1944,9.09,675.9,18,62,0,83,15,40
1945,6.805,552.6,15,37,0,165,138,33
1946,8.978,759.5,9,46,0,80,29,46
1947,8.782,501.3,30,77,0,102,49,79
1948,9.826,640.8,13,52,0,76,12,14
1949,9.684,579.6,7,43,0,77,11,19
1950,9.439,696.7,11,51,0,77,29,31
1951,9.729,634.5,5,45,0,67,6,14
1952,8.601,619.1,9,48,1,104,14,51
1953,9.677,553.9,11,53,0,87,15,45
1954,8.47,854.4,5,35,0,84,34,42
1955,8.366,761.2,2,39,0,104,24,52
1956,7.656,740.6,5,40,0,92,44,58
1957,9.573,729.6,12,38,3,69,12,18
1958,9.359,729.9,4,40,0,75,9,29
1959,9.671,530.3,10,47,1,76,13,34
1960,9.19,703.9,4,31,0,71,17,38
1961,9.69,682.1,7,43,0,64,18,40
1962,8.161,519.9,5,36,0,89,23,42
1963,8.148,562.5,12,55,0,104,57,82
1964,8.804,525.9,22,61,1,90,32,44
1965,8.327,785.8,7,30,0,92,18,65
1966,9.426,825.8,9,46,0,77,18,52
1967,9.913,770.5,13,53,0,56,9,0
1968,9.167,611.4,9,53,0,87,16,0
1969,8.536,562.9,18,55,0,104,43,0
1970,8.734,761.1,17,54,0,86,29,0
1971,9.355,524.9,17,52,0,77,21,0
1972,8.958,555.1,13,37,2,75,20,0
1973,9.195,562.8,10,57,0,67,9,0
1974,9.812,840.4,6,35,0,29,0,0
1975,9.919,522.8,13,61,0,56,8,0
1976,9.393,458.3,15,48,1,80,20,37
1977,9.589,423.8,3,19,0,44,6,28
2007,12.212,581.3,15,58,1,35,7,0
2008,10.814,715.1,13,53,0,53,5,11
2009,10.253,690.2,7,51,0,74,22,36
2010,9.067,897.8,19,52,4,104,47,76
2011,10.85,613.8,10,61,0,76,11,13
2012,10.376,652.0,21,63,3,70,20,18
2013,9.859,736.9,16,61,2,91,27,40
2014,11.554,615.5,15,48,0,56,11,10
2015,11.493,599.4,29,58,4,59,1,2
2016,10.725,675.7,16,67,0,76,10,14
2017,10.924,593.3,20,59,0,70,16,32
2018,11.737,393.3,39,94,3,65,10,5
2019,11.302,459.8,34,73,3,75,27,8
2020,11.454,573.0,20,66,0,57,0,0
2021,10.168,661.9,12,59,3,73,12,25
2022,11.492,472.8,24,67,3,59,8,10
2023,9.553,454.6,11,45,1,87,51,8
