year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,iceDays,frostDays,snowCoverDays
1946,8.504,734.8,6,32,0,108,27,18
1947,9.015,688.6,38,76,0,110,41,55
1948,9.021,709.9,12,33,0,83,21,13
1949,9.32,489.6,10,53,0,88,13,23
1950,8.754,827.6,9,41,0,101,23,37
1951,9.01,643.7,6,45,0,87,5,12
1952,8.453,765.9,16,47,2,105,20,60
1953,9.042,514.6,11,49,0,110,15,47
1954,8.147,737.1,5,27,0,93,30,17
1955,7.761,737.5,2,31,0,130,26,61
1956,7.284,689.4,0,18,0,109,41,51
1957,8.92,645.5,11,33,1,86,14,11
1958,8.526,886.4,1,32,0,89,13,47
1959,9.395,541.3,7,59,0,97,11,15
1960,8.944,687.8,1,26,0,77,18,34
1961,9.15,856.8,2,32,0,70,21,19
1962,7.351,655.0,2,27,0,105,30,39
1963,7.376,571.6,6,34,0,116,62,78
1964,8.543,481.0,16,51,0,87,28,34
1965,7.975,1014.0,1,18,0,95,19,56
1966,9.094,976.4,4,32,0,71,18,17
1967,9.197,798.3,9,37,0,84,15,21
1968,8.457,733.8,2,28,0,97,32,37
1969,8.232,733.5,8,41,0,108,42,83
1970,8.219,812.2,4,42,0,98,30,71
1971,8.702,616.5,10,40,0,91,23,32
1972,8.027,696.7,7,23,0,95,25,24
1973,8.54,660.4,12,49,0,108,15,40
1974,9.252,853.2,3,26,0,44,1,8
1975,9.622,571.8,11,54,0,63,6,5
1976,9.537,484.6,20,65,0,84,21,34
1977,9.417,898.2,3,27,0,58,11,21
1978,8.211,680.2,2,18,0,84,21,28
1979,8.134,751.4,4,30,0,97,25,66
1980,8.001,682.1,1,20,0,90,27,57
1981,8.541,847.3,3,31,0,103,34,81
1982,9.127,698.4,13,60,0,95,20,37
1983,9.365,672.7,20,69,0,91,20,43
1984,8.274,802.0,6,23,0,93,7,34
1985,7.595,554.0,3,34,0,119,43,78
1986,8.322,780.3,7,49,0,90,29,62
1987,7.749,735.8,1,25,0,96,36,66
1988,9.464,777.7,6,37,0,69,4,32
1989,9.586,762.7,6,57,0,70,15,1
1990,9.637,701.4,11,43,0,58,15,26
1991,8.686,513.3,10,50,0,100,24,22
1992,9.508,909.9,8,50,0,74,11,6
1993,9.012,736.9,5,48,0,90,24,26
1994,10.304,800.5,28,54,2,51,3,7
1995,9.128,890.1,16,56,0,91,19,36
1996,7.391,594.1,2,31,0,112,43,36
1997,8.862,595.7,10,54,0,88,22,32
1998,9.231,749.6,11,39,0,82,13,18
1999,9.531,709.6,5,49,0,73,11,34
2000,9.843,725.8,7,44,0,56,11,18
2001,9.226,822.8,12,47,0,86,13,28
2002,9.785,901.1,11,45,0,62,22,21
2003,9.795,469.0,32,91,0,105,15,22
2004,9.059,666.3,12,40,0,93,17,27
2005,9.037,540.6,15,50,0,96,25,59
2006,9.431,595.8,13,55,0,87,22,33
2007,9.831,848.1,3,33,0,65,9,9
2008,9.468,623.3,9,44,0,89,5,14
2009,9.189,704.2,4,38,0,94,25,31
2010,8.012,706.7,11,36,0,113,54,96
2011,9.705,534.9,4,54,0,85,13,15
2012,9.209,705.0,8,40,0,75,24,19
2013,8.871,605.9,14,42,0,98,25,36
2014,10.418,595.2,7,38,0,59,3,7
2015,10.233,481.5,29,56,1,81,8,3
2016,9.515,549.7,13,53,0,78,16,13
2017,9.666,712.0,9,48,0,80,12,12
2018,10.843,481.1,25,83,1,77,13,24
2019,10.348,653.4,18,58,0,65,6,19
2020,10.403,591.4,11,56,0,68,5,6
2021,8.995,706.0,3,41,0,100,13,36
2022,10.798,601.1,23,75,0,71,8,16
2023,12.102,621.9,11,63,0,46,4,5
