year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1947,9.861,504.5,43,93,2,127,93,57
1948,9.743,570.5,15,37,0,74,16,7
1949,10.14,442.9,18,63,0,76,9,10
1950,9.473,688.8,15,49,1,84,27,38
1951,9.681,531.4,8,39,0,60,9,8
1952,9.081,717.8,16,46,4,95,25,53
1953,9.745,394.2,10,47,0,96,23,41
1954,8.61,609.9,5,26,0,88,27,14
1955,8.276,663.2,1,28,0,117,30,46
1956,7.699,602.9,0,20,0,101,39,39
1957,9.352,672.6,10,35,1,80,16,13
1958,9.078,679.1,2,35,0,80,16,39
1959,9.936,460.5,9,58,0,89,14,18
1960,9.364,629.3,1,26,0,71,17,32
1961,9.731,701.8,2,36,0,64,22,21
1962,8.001,541.8,6,34,0,94,31,34
1963,8.008,489.2,7,37,0,108,68,77
1964,9.2,409.4,20,58,0,92,26,25
1965,8.416,1029.4,2,21,0,88,21,41
1966,9.513,827.1,4,31,0,72,19,17
1967,9.766,560.8,12,47,0,72,17,16
1968,8.818,757.1,0,25,0,96,30,30
1969,8.664,598.7,8,41,0,106,43,69
1970,8.75,611.5,4,43,0,103,34,55
1971,9.303,533.3,11,42,0,76,24,29
1972,8.515,532.9,9,24,0,93,24,23
1973,9.169,498.8,14,49,0,109,18,29
1974,9.79,647.1,4,25,0,40,1,4
1975,9.853,456.2,10,51,1,62,7,5
1976,9.768,370.5,19,64,1,86,27,39
1977,9.622,665.1,3,25,0,68,12,34
1978,8.693,605.8,2,27,0,83,22,50
1979,8.862,596.8,4,38,0,87,21,57
1980,8.667,505.8,3,28,0,84,27,28
1981,9.028,775.1,3,32,0,103,32,70
1982,9.554,499.3,9,55,0,80,21,31
1983,9.698,538.9,13,64,1,86,24,27
1984,8.551,565.0,6,23,0,91,9,26
1985,8.041,512.0,3,35,0,111,45,68
1986,8.754,742.3,6,42,0,81,35,55
1987,8.244,690.8,2,26,0,90,34,48
1988,9.842,746.9,5,39,0,64,6,17
1989,10.161,538.5,4,52,0,66,12,0
1990,10.167,519.0,11,43,0,56,14,16
1991,9.162,394.1,10,45,0,96,24,17
1992,9.907,706.8,10,54,1,66,17,13
1993,9.534,528.7,6,50,0,81,25,11
1994,10.793,588.9,26,54,1,49,4,10
1995,9.759,758.1,15,51,0,82,18,24
1996,8.133,515.1,3,31,0,107,45,35
1997,9.753,516.7,8,60,0,77,21,34
1998,10.024,599.8,15,41,0,77,18,22
1999,10.222,559.6,10,54,0,68,14,24
2000,10.717,554.8,8,44,0,47,8,2
2001,9.896,613.4,15,49,0,78,12,20
2002,10.311,806.1,9,42,0,56,18,19
2003,10.574,410.4,31,90,6,94,15,23
2004,9.795,552.7,12,42,0,75,13,17
2005,9.8,575.1,17,53,0,80,22,51
2006,10.24,617.5,18,60,2,81,21,24
2007,10.552,733.1,4,48,0,52,8,9
2008,10.267,571.4,14,51,0,73,4,9
2009,10.062,556.6,8,52,0,75,22,27
2010,8.917,744.2,15,43,2,91,52,74
2011,10.647,519.6,8,65,0,67,8,8
2012,10.329,539.0,19,64,0,63,21,13
2013,9.684,660.3,18,49,1,84,20,30
2014,11.245,538.6,9,46,0,37,2,7
2015,11.08,448.1,31,59,4,67,3,7
2016,10.337,550.8,16,59,0,70,10,8
2017,10.395,628.9,12,57,0,70,14,1
2018,11.742,432.1,36,105,3,64,8,3
2019,11.208,490.7,27,71,2,58,5,17
2020,11.319,494.1,15,66,0,61,1,14
2021,9.864,683.3,5,52,1,70,9,41
2022,11.657,561.3,32,83,0,55,7,13
2023,11.707,585.5,24,83,2,59,4,16
2024,13.06,702.5,16,68,0,26,8,4
