year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1952,11.804,468.1,15,56,3,56,5,11
1953,11.862,403.8,13,51,0,64,4,15
1954,10.685,469.6,8,33,0,53,25,9
1955,10.658,488.4,2,37,0,79,11,24
1956,10.05,493.1,2,28,0,69,27,32
1957,11.924,462.6,9,37,2,40,6,0
1958,11.409,509.8,4,43,0,60,4,12
1959,12.113,267.3,14,71,0,69,5,13
1960,11.463,474.9,2,32,0,43,8,8
1961,12.183,499.7,13,45,0,42,4,5
1962,10.98,357.3,10,46,0,60,6,8
1963,10.14,352.9,7,40,0,75,41,52
1964,11.467,283.9,21,64,1,60,13,7
1965,10.627,595.6,3,30,0,58,5,14
1966,12.087,503.7,7,40,0,38,14,11
1967,12.322,498.5,13,50,0,38,5,3
1968,11.491,694.0,3,28,0,57,6,13
1969,11.172,535.0,11,49,1,62,9,19
1970,10.847,565.3,6,45,0,64,12,30
1971,11.37,270.1,15,57,1,56,18,27
1972,10.986,429.4,7,27,1,42,6,3
1973,11.898,401.6,17,54,2,46,1,3
1974,11.67,460.7,5,35,1,22,0,0
1975,11.998,544.3,10,51,0,38,0,2
1976,11.821,338.4,24,74,1,46,8,16
1977,11.397,281.4,2,25,0,31,2,2
1978,10.323,476.1,2,22,0,45,9,9
1979,10.199,433.8,4,34,0,63,19,43
1980,10.413,467.4,2,23,0,45,11,1
1981,11.037,506.1,5,33,0,59,11,20
1982,11.15,451.1,11,60,1,52,21,24
1983,11.999,488.8,14,60,3,37,7,8
1984,10.273,465.6,6,36,2,50,1,8
1985,10.182,375.3,4,38,0,54,28,40
1986,10.26,594.3,6,48,0,54,22,30
1987,9.913,468.9,5,36,1,66,21,33
1988,16.398,298.3,6,43,0,0,0,0
1989,12.434,443.9,11,66,1,23,4,0
1990,12.659,440.9,18,56,1,21,3,0
1991,11.783,340.8,21,65,2,46,13,17
1992,12.29,447.3,19,67,2,37,7,0
1993,12.045,438.2,12,51,0,46,13,1
1994,12.443,610.0,24,57,1,25,2,4
1995,12.33,677.0,19,58,0,33,6,2
1996,10.485,386.3,9,49,0,66,19,12
1997,11.549,421.6,10,55,0,33,18,23
1999,12.853,423.8,16,58,1,37,2,5
2000,12.702,529.5,8,49,2,22,3,0
2001,12.837,476.6,20,63,3,37,1,1
2002,12.507,557.4,9,51,1,38,13,19
2003,13.175,326.7,43,102,4,57,11,10
2004,12.319,344.0,18,60,0,47,4,9
2005,12.547,328.9,26,62,3,47,9,14
2006,12.258,488.0,26,68,5,60,12,12
2007,13.38,455.5,10,56,1,16,1,0
2008,12.652,482.0,13,57,1,43,0,0
2009,12.289,377.2,14,62,0,55,9,14
2010,11.464,509.9,16,51,2,62,19,26
2011,12.939,354.9,11,70,0,45,5,3
2012,12.494,357.6,16,65,0,44,13,3
2013,11.717,470.5,15,60,1,58,14,22
2014,13.535,390.3,10,56,1,30,0,0
2015,12.807,311.6,33,64,5,37,0,0
2016,12.804,525.4,15,67,0,31,2,0
2017,12.896,343.7,21,69,1,46,6,3
2018,13.958,334.2,35,103,1,38,5,3
2019,13.45,384.9,32,78,4,34,3,4
2020,13.745,372.9,20,77,1,31,1,1
2021,12.151,563.4,8,55,0,40,5,4
2022,13.951,471.4,38,89,1,34,1,1
2023,13.944,407.1,25,89,1,36,0,4
2024,13.938,592.6,20,69,0,23,4,4
