year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1950,0.364,150.6,0,0,0,35,16,8
1951,1.778,84.1,0,0,0,32,2,10
1952,-0.115,87.9,0,0,0,44,19,39
1953,-0.617,75.7,0,0,0,47,23,48
1954,-4.742,56.2,0,0,0,48,35,35
1955,-2.651,87.4,0,0,0,56,26,46
1956,-6.025,42.3,0,0,0,48,34,37
1957,1.986,103.2,0,0,0,28,8,25
1958,0.646,113.3,0,0,0,41,11,15
1959,-0.507,48.1,0,0,0,44,12,17
1960,-0.477,91.3,0,0,0,40,18,32
1961,1.446,91.4,0,0,0,28,8,21
1962,0.893,101.1,0,0,0,33,10,21
1963,-7.641,53.3,0,0,0,59,47,59
1964,-2.0,57.3,0,0,0,50,16,34
1965,-0.607,123.0,0,0,0,46,16,44
1966,-0.542,102.7,0,0,0,36,23,39
1967,1.427,111.8,0,0,0,31,11,24
1968,-0.36,103.8,0,0,0,42,17,29
1969,-1.225,71.0,0,0,0,46,19,42
1970,-2.456,117.3,0,0,0,53,27,55
1971,-0.278,55.7,0,0,0,37,9,26
1972,-0.782,19.6,0,0,0,47,15,34
1973,0.415,57.8,0,0,0,39,10,17
1974,3.297,83.2,0,0,0,29,1,6
1975,2.905,62.1,0,0,0,27,3,3
1976,0.843,121.8,0,0,0,35,10,29
1977,1.931,52.5,0,0,0,33,6,31
1978,-0.229,32.2,0,0,0,45,17,27
1979,-3.285,69.4,0,0,0,59,26,59
1980,-1.103,88.4,0,0,0,48,21,33
1981,-1.103,88.7,0,0,0,47,19,52
1982,-1.141,53.6,0,0,0,46,13,22
1983,0.968,110.1,0,0,0,36,14,25
2006,-2.358,49.9,0,0,0,54,30,40
2007,4.381,97.2,0,0,0,13,4,9
2008,4.237,82.1,0,0,0,16,4,0
2009,-0.864,53.0,0,0,0,49,22,34
2010,-2.846,54.8,0,0,0,50,35,53
2011,0.149,53.9,0,0,0,42,20,34
2012,-1.143,87.0,0,0,0,38,22,30
2013,-1.164,94.5,0,0,0,44,29,43
2014,3.136,37.5,0,0,0,22,7,12
2015,1.832,47.6,0,0,0,31,7,15
2016,1.982,107.1,0,0,0,31,11,19
2017,0.005,72.1,0,0,0,41,19,39
2018,0.798,48.7,0,0,0,33,11,10
2019,2.249,81.3,0,0,0,29,7,26
2020,4.68,93.1,0,0,0,11,1,2
2021,0.742,98.8,0,0,0,38,18,38
2022,3.253,80.3,0,0,0,21,0,6
2023,3.1,81.2,0,0,0,28,13,19
2024,4.134,113.1,0,0,0,19,9,9
