year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1958,5.418,1339.1,0,1,0,131,68,137
1959,7.07,706.3,2,8,1,120,35,94
1960,5.542,1288.9,0,2,0,117,61,104
1961,6.29,1365.7,0,9,0,116,50,93
1962,4.241,1011.1,0,1,0,159,77,142
1963,4.566,875.3,0,6,1,132,86,117
1964,5.537,900.0,0,12,1,136,70,125
1965,4.739,1374.9,0,1,0,141,78,147
1966,5.77,1598.0,0,4,0,127,66,123
1967,6.111,1182.0,0,9,0,137,41,124
1968,5.182,1202.5,0,3,0,148,75,119
1969,5.093,1077.5,0,10,0,147,92,147
1970,4.84,1382.3,0,4,0,146,69,141
1971,5.754,769.3,1,12,0,135,52,117
1972,5.184,951.4,0,7,0,126,48,92
1973,5.472,1041.7,0,7,0,160,72,152
1974,5.767,1332.4,0,4,0,110,31,132
1975,6.198,983.8,0,9,0,134,47,119
1976,5.857,782.5,2,18,0,143,68,130
1977,5.809,1237.0,0,3,0,117,48,120
1978,4.849,999.6,0,3,0,125,73,114
1979,4.876,1065.0,0,5,0,148,67,138
1980,4.728,1234.9,0,3,0,145,70,154
1981,5.451,1720.9,0,3,0,131,83,131
1982,6.657,885.3,0,16,0,122,44,138
1983,6.395,1167.5,0,17,1,115,52,117
1984,5.183,1324.8,0,6,0,139,69,129
1985,4.691,978.6,0,4,0,145,76,127
1986,5.048,1335.8,1,7,0,123,70,120
1987,4.293,1249.6,0,1,0,125,79,122
1988,0.0,1318.5,0,0,0,366,366,0
1989,6.755,1042.5,0,6,0,135,104,26
1990,6.514,973.9,0,14,0,102,37,75
1991,5.75,821.2,0,11,0,128,47,92
1992,6.549,1284.3,2,10,1,126,30,120
1993,5.887,1302.0,0,2,0,127,55,112
1994,6.937,1338.8,3,25,2,115,35,102
1995,6.028,1320.9,1,16,0,127,65,136
1996,4.498,1020.9,0,7,0,143,93,140
1997,6.364,1071.0,0,10,0,127,44,95
1998,6.251,1513.8,2,8,0,102,48,94
1999,6.687,1393.1,0,7,0,112,52,111
2000,7.16,1335.9,0,7,0,88,33,90
2001,6.27,1467.6,0,13,0,115,55,106
2002,6.812,1473.6,0,10,1,93,38,76
2003,7.053,870.3,7,30,2,120,46,93
2004,6.116,1225.2,0,13,0,128,60,109
2005,6.329,1090.2,0,16,0,115,67,127
2006,6.919,1158.6,4,19,0,115,63,107
2007,7.079,1388.4,0,8,0,91,30,84
2008,6.608,1014.0,0,12,0,109,42,94
2009,6.433,1280.4,0,6,0,114,53,124
2010,5.025,1237.8,3,16,1,135,90,127
2011,7.131,964.8,0,7,0,115,38,83
2012,6.262,1089.9,0,12,0,109,49,93
2013,5.703,1168.8,1,16,1,130,81,124
2014,7.626,1077.3,0,9,0,88,28,47
2015,7.187,970.5,3,21,2,110,45,95
2016,6.692,1132.6,0,14,0,129,38,73
2017,6.783,1311.3,0,7,0,114,48,102
2018,7.84,880.2,3,30,2,111,56,94
2019,7.587,1176.5,4,22,1,107,30,72
2020,7.653,981.8,4,12,1,106,20,49
2021,6.215,1113.3,0,5,0,127,56,65
2022,7.992,895.9,5,22,1,105,39,26
2023,8.018,1384.9,1,23,0,84,42,56
