year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1962;null;null;null;null;null
1963;7.17;3;45;0;63
1964;7.52;0;50;0;50
1965;6.77;4;31;0;56
1966;8.15;2;35;0;38
1967;8.06;8;43;0;44
1968;7.55;4;30;0;52
1969;7.27;4;50;0;63
1970;7.42;4;48;0;44
1971;7.57;9;48;0;45
1972;7.63;3;37;0;46
1973;7.62;1;49;0;31
1974;8.43;6;37;0;10
1975;8.72;1;42;0;15
1976;8.06;7;41;0;24
1977;8.38;2;36;0;29
1978;7.01;0;29;0;56
1979;7.76;0;60;0;30
1980;7.02;3;32;0;52
1981;7.47;6;46;0;40
1982;8.54;2;55;0;35
1983;8.19;10;56;0;38
1984;7.55;6;34;0;37
1985;7.49;7;52;0;55
1986;7.46;8;62;0;59
1987;7.67;5;55;0;42
1988;8.5;18;49;0;23
1989;8.78;0;34;0;14
1990;8.7;5;48;0;24
1991;0.73;0;0;0;46
1992;9.23;25;66;0;29
1993;8.68;10;61;0;37
1994;9.86;14;69;0;14
1995;8.59;3;49;0;32
1996;7.7;3;38;0;48
1997;8.87;0;56;0;25
1998;8.57;12;58;0;29
1999;8.68;4;46;0;36
2000;null;null;null;null;null
2001;9.5;27;66;0;28
2002;null;null;null;null;null
2003;null;null;null;null;null
2004;8.3;5;45;0;32
2005;8.32;11;56;0;45
2006;8.65;23;60;0;42
2007;9.85;15;62;0;18
2008;9.72;9;67;0;22
2009;9.43;11;68;0;31
2010;8.7;16;59;0;55
2011;9.49;15;67;0;42
2012;9.81;27;77;0;37
2013;9.55;28;72;2;30
2014;10.41;7;44;0;15
2015;9.9;30;68;0;23
2016;9.8;9;73;0;21
2017;9.7;27;71;0;33
2018;10.43;19;85;0;20
2019;10.59;21;71;2;21
2020;9.97;8;61;0;8
2021;9.11;20;68;0;34
2022;null;25;82;1;15
