year,month,averageTemperature,totalPrecipitation,averageSnowCover
1947,1,-4.061,0.0,0.0
1947,2,-7.8,0.0,0.0
1947,3,0.858,0.0,0.0
1947,4,8.65,0.0,0.0
1947,5,14.89,0.0,0.0
1947,6,17.593,0.0,0.0
1947,7,18.032,0.0,0.0
1947,8,18.671,0.0,0.0
1947,9,16.79,0.0,0.0
1947,10,7.645,0.0,0.0
1947,11,5.127,0.0,0.0
1947,12,2.168,0.0,0.0
1948,1,2.19,0.0,0.0
1948,2,0.807,0.0,0.0
1948,3,4.706,0.0,0.0
1948,4,10.027,0.0,0.0
1948,5,12.587,0.0,0.0
1948,6,15.583,0.0,0.0
1948,7,16.806,0.0,0.0
1948,8,16.468,0.0,0.0
1948,9,14.313,0.0,0.0
1948,10,8.797,0.0,0.0
1948,11,4.59,0.0,0.0
1948,12,1.777,0.0,0.0
1949,1,2.152,0.0,0.0
1949,2,2.939,0.0,0.0
1949,3,2.074,0.0,0.0
1949,4,9.727,0.0,0.0
1949,5,12.103,0.0,0.0
1949,6,13.707,0.0,0.0
1949,7,16.748,0.0,0.0
1949,8,16.477,0.0,0.0
1949,9,16.403,0.0,0.0
1949,10,11.055,0.0,0.0
1949,11,4.42,0.0,0.0
1949,12,3.613,0.0,0.0
1950,1,-0.677,0.0,0.0
1950,2,2.829,0.0,0.0
1950,3,5.103,0.0,0.0
1950,4,6.707,0.0,0.0
1950,5,13.432,0.0,0.0
1950,6,17.323,0.0,0.0
1950,7,17.106,0.0,0.0
1950,8,17.732,0.0,0.0
1950,9,12.973,0.0,0.0
1950,10,8.01,0.0,0.0
1950,11,4.257,0.0,0.0
1950,12,-1.019,0.0,0.0
1951,1,1.071,84.6,20.0
1951,2,1.307,35.7,25.0
1951,3,1.813,87.8,7.0
1951,4,7.357,38.9,0.0
1951,5,11.129,74.4,0.0
1951,6,15.607,65.7,0.0
1951,7,16.648,57.5,0.0
1951,8,17.458,63.7,0.0
1951,9,14.713,52.7,0.0
1951,10,7.323,6.5,0.0
1951,11,6.587,85.3,0.0
1951,12,4.123,40.2,0.0
1952,1,1.071,50.2,15.0
1952,2,1.303,29.4,61.0
1952,3,1.532,21.3,20.0
1952,4,10.603,15.7,9.0
1952,5,12.026,84.8,0.0
1952,6,14.27,61.8,0.0
1952,7,16.974,40.0,0.0
1952,8,17.213,69.3,0.0
1952,9,10.763,50.2,0.0
1952,10,7.142,58.6,0.0
1952,11,1.683,73.2,10.0
1952,12,-0.232,50.5,129.0
1953,1,0.61,60.8,119.0
1953,2,0.129,27.3,139.0
1953,3,4.9,14.9,0.0
1953,4,8.563,21.9,0.0
1953,5,13.042,71.2,0.0
1953,6,17.017,110.8,0.0
1953,7,17.358,50.4,0.0
1953,8,16.665,74.4,0.0
1953,9,13.25,34.6,0.0
1953,10,10.8,14.3,0.0
1953,11,6.003,27.6,0.0
1953,12,2.671,24.1,0.0
1954,1,-2.065,47.0,27.0
1954,2,-4.861,11.2,120.0
1954,3,3.439,35.1,5.0
1954,4,5.69,35.4,0.0
1954,5,13.235,41.3,0.0
1954,6,16.097,56.0,0.0
1954,7,14.571,121.1,0.0
