endDate;heatDays;summerDays;tropicalNights;iceDays
1951-07-26;0;27;0;6
1952-07-26;11;40;0;10
1953-07-26;2;41;0;8
1954-07-26;0;20;0;38
1955-07-26;1;28;0;25
1956-07-26;0;24;0;33
1957-07-26;10;37;0;12
1958-07-26;7;38;0;11
1959-07-26;3;24;0;13
1960-07-26;0;30;0;19
1961-07-26;7;20;0;14
1962-07-26;2;25;0;13
1963-07-26;7;35;0;35
1964-07-26;7;37;0;23
1965-07-26;4;26;0;9
1966-07-26;0;23;0;19
1967-07-26;6;34;0;10
1968-07-26;6;39;0;14
1969-07-26;0;33;0;20
1970-07-26;5;26;0;21
1971-07-26;4;36;0;22
1972-07-26;2;38;0;24
1973-07-26;1;37;0;7
1974-07-26;3;18;0;1
1975-07-26;1;39;0;0
1976-07-26;8;33;0;11
1977-07-26;3;34;0;6
1978-07-26;0;13;0;13
1979-07-26;4;34;0;21
1980-07-26;2;13;0;20
1981-07-26;2;31;0;10
1982-07-26;1;36;0;28
1983-07-26;8;43;1;8
1984-07-26;2;22;0;11
1985-07-26;0;23;0;33
1986-07-26;0;34;0;31
1987-07-26;4;34;0;32
1988-07-26;4;24;0;5
1989-07-26;0;22;0;10
1990-07-26;0;21;0;12
1991-07-26;3;31;0;14
1992-07-26;4;33;0;3
1993-07-26;10;40;0;10
1994-07-26;13;46;0;7
1995-07-26;12;43;0;11
1996-07-26;8;35;0;28
1997-07-26;1;46;0;20
1998-07-26;9;44;1;2
1999-07-26;6;40;0;8
2000-07-26;19;51;0;10
2001-07-26;9;41;0;4
2002-07-26;23;50;2;8
2003-07-26;24;67;3;12
2004-07-26;8;27;0;7
2005-07-26;7;39;1;16
2006-07-26;13;42;0;24
2007-07-26;14;51;0;1
2008-07-26;9;42;0;7
2009-07-26;7;38;0;16
2010-07-26;17;42;2;23
2011-07-26;5;43;0;16
2012-07-26;18;48;1;15
2013-07-26;10;44;0;13
2014-07-26;8;35;0;10
2015-07-26;23;49;0;2
2016-07-26;9;43;0;7
2017-07-26;19;54;0;21
2018-07-26;1;59;0;10
2019-07-26;18;52;0;3
2020-07-26;6;31;0;8
2021-07-26;16;49;1;4
2022-07-26;17;54;1;0
2023-07-26;12;40;1;0
2024-07-26;16;51;2;1
