endDate;heatDays;summerDays;tropicalNights;iceDays
1949-11-30;1;30;0;22
1950-11-30;4;37;0;15
1951-11-30;1;24;0;5
1952-11-30;6;26;0;40
1953-11-30;0;25;0;38
1954-11-30;0;11;0;34
1955-11-30;0;10;0;26
1956-11-30;0;15;0;46
1957-11-30;5;20;0;16
1958-11-30;0;33;0;30
1959-11-30;0;14;0;14
1960-11-30;null;null;null;null
1961-11-30;0;32;0;15
1962-11-30;0;27;0;24
1963-11-30;0;19;0;35
1964-11-30;2;31;0;19
1965-11-30;3;14;0;35
1966-11-30;1;18;0;24
1967-11-30;1;23;0;17
1968-11-30;0;12;0;23
1969-11-30;0;25;0;29
1970-11-30;0;21;0;26
1971-11-30;1;22;0;36
1972-11-30;1;13;0;18
1973-11-30;0;19;0;36
1974-11-30;0;14;0;5
1975-11-30;0;19;0;10
1976-11-30;0;22;0;15
1977-11-30;1;7;0;22
1978-11-30;0;9;0;28
1979-11-30;0;9;0;26
1980-11-30;2;15;0;28
1981-11-30;0;21;0;35
1982-11-30;0;26;0;12
1983-11-30;6;31;0;21
1984-11-30;1;11;0;22
1985-11-30;0;20;0;47
1986-11-30;1;29;0;36
1987-11-30;0;31;0;41
1988-11-30;0;25;0;19
1989-11-30;0;11;0;17
1990-11-30;0;21;0;18
1991-11-30;1;22;0;29
1992-11-30;2;31;0;27
1993-11-30;0;21;0;28
1994-11-30;3;45;0;14
1995-11-30;1;26;0;24
1996-11-30;0;15;0;36
1997-11-30;0;20;0;20
1998-11-30;4;27;0;24
1999-11-30;1;19;0;33
2000-11-30;2;32;0;22
2001-11-30;2;37;0;17
2002-11-30;3;27;0;15
2003-11-30;15;70;0;30
2004-11-30;0;28;0;27
2005-11-30;3;33;0;48
2006-11-30;4;43;0;37
2007-11-30;3;27;0;9
2008-11-30;0;29;0;12
2009-11-30;2;30;0;30
2010-11-30;4;34;0;44
2011-11-30;5;27;0;18
2012-11-30;6;30;0;26
2013-11-30;8;30;0;31
2014-11-30;3;19;0;3
2015-11-30;10;49;0;28
2016-11-30;1;29;0;11
2017-11-30;5;44;0;24
2018-11-30;6;45;0;17
2019-11-30;9;38;0;16
2020-11-30;2;32;0;8
2021-11-30;0;25;0;28
2022-11-30;8;51;0;14
2023-11-30;10;45;0;20
