year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1929;null;null;null;null;null
1930;null;null;null;null;null
1931;2.31;0;1;0;95
1932;3.44;0;0;0;74
1933;1.98;0;0;0;100
1934;4.6;0;0;0;62
1935;2.79;0;0;0;103
1936;3.56;0;0;0;70
1937;3.71;0;0;0;84
1938;3.61;0;0;0;83
1939;3.49;0;0;0;78
1940;2.11;0;0;0;96
1941;2.35;0;0;0;92
1942;3.31;0;0;0;86
1943;4.28;0;3;0;72
1944;2.5;0;0;0;109
1945;null;null;null;null;null
1946;null;null;null;null;null
1947;4.46;0;3;0;79
1948;4.46;0;0;0;54
1949;4.31;0;0;0;73
1950;4.25;0;2;0;84
1951;4.5;0;0;0;64
1952;2.87;0;4;0;112
1953;4.53;0;1;0;76
1954;2.78;0;0;0;84
1955;2.79;0;0;0;91
1956;2.06;0;0;0;117
1957;3.97;0;4;2;71
1958;3.85;0;0;0;91
1959;4.49;0;0;0;57
1960;3.69;0;0;0;75
1961;4.84;0;1;0;55
1962;2.71;0;1;0;105
1963;3.38;0;1;0;78
1964;3.82;0;0;0;79
1965;2.56;0;1;0;104
1966;3.43;0;0;0;96
1967;3.91;0;0;0;92
1968;3.61;0;0;0;77
1969;3.4;0;0;0;97
1970;3;0;0;0;104
1971;3.91;0;1;0;70
1972;3.9;0;1;0;51
1973;3.24;0;0;0;102
1974;3.61;0;2;0;77
1975;4.13;0;2;1;67
1976;3.62;0;0;0;81
1977;4.32;0;0;0;70
1978;3.31;0;0;0;74
1979;3.5;0;0;0;79
1980;2.56;0;2;0;96
1981;3.24;0;1;0;100
1982;4.5;0;0;0;77
1983;4.42;0;3;2;68
1984;3.26;0;2;0;85
1985;3.08;0;0;0;83
1986;3.86;0;0;0;80
1987;3.29;0;0;0;91
1988;3.8;0;0;0;79
1989;4.97;0;0;0;41
1990;4.62;0;0;0;52
1991;3.77;0;0;0;67
1992;4.76;0;1;0;58
1993;4.31;0;0;0;66
1994;5.11;0;1;0;57
1995;3.87;0;0;0;79
1996;3.28;0;0;0;74
1997;4.36;0;0;0;65
1998;4.01;0;1;0;79
1999;4.15;0;0;0;74
2000;5.07;0;0;0;53
2001;4.04;0;0;0;78
2002;5.03;0;0;0;53
2003;4.95;0;1;0;74
2004;3.79;0;0;0;84
2005;3.48;0;1;0;97
2006;5;0;0;0;72
2007;4.74;0;0;0;64
2008;4.5;0;0;0;55
2009;4.34;0;1;0;84
2010;3.3;0;0;0;96
2011;5.48;0;2;0;52
2012;4.45;0;1;0;82
2013;4.3;0;4;2;74
2014;null;null;null;null;null
2015;5.61;0;1;0;55
2016;4.74;0;0;0;70
2017;4.66;0;2;0;70
2018;5.84;0;0;0;60
2019;5.5;0;3;0;64
2020;5.58;0;0;0;41
2021;4.36;0;0;0;68
2022;5.64;0;2;0;60
2023;null;0;0;0;12
