year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,iceDays,frostDays,snowCoverDays
1937,8.479,724.5,3,21,0,80,20,50
1938,8.628,794.9,1,30,0,69,19,37
1939,8.369,794.3,1,22,0,91,19,34
1940,6.347,838.9,0,16,0,106,61,90
1941,7.136,871.5,6,20,0,106,36,62
1942,7.251,629.4,3,27,0,103,53,78
1943,8.902,633.6,7,28,0,79,18,42
1944,8.357,885.1,9,27,0,76,16,51
1947,8.222,708.0,17,54,0,105,54,75
1948,8.274,782.6,8,26,0,109,13,28
1949,9.206,683.6,2,33,0,82,9,42
1950,8.676,832.6,2,24,0,75,25,57
1951,8.782,767.5,1,21,1,71,8,13
1952,7.794,905.8,2,25,0,101,24,75
1953,9.207,584.6,3,27,0,77,23,49
1954,7.83,980.8,2,12,0,86,32,34
1955,7.408,859.6,0,14,0,109,36,81
1956,6.703,1032.0,0,10,0,103,47,61
1957,8.656,947.9,5,19,0,68,13,33
1958,8.339,1056.3,0,20,0,87,19,47
1959,9.262,509.8,3,43,0,76,19,20
1960,8.541,939.4,0,11,0,76,20,53
1961,8.978,1086.6,2,19,0,54,18,18
1962,7.053,816.8,0,8,0,93,31,63
1963,7.186,601.5,3,15,0,103,67,82
1964,8.196,674.7,9,34,0,90,32,52
1965,7.553,920.2,0,10,0,76,28,75
1966,8.647,1050.5,1,22,0,70,23,65
1967,8.869,1013.1,1,17,0,61,15,31
1968,7.995,765.8,0,20,0,106,30,37
1969,7.199,815.3,4,29,0,117,52,94
1970,7.05,1109.3,1,19,0,101,36,96
1971,7.823,646.8,5,23,0,99,21,46
1972,7.267,704.7,1,20,0,98,15,20
1973,8.175,667.2,4,32,1,95,13,48
1974,8.822,887.3,2,15,0,36,2,11
1975,9.098,697.2,10,45,0,55,9,22
1976,9.195,472.5,5,32,0,71,19,37
1977,8.144,911.5,0,9,0,67,15,38
1978,7.24,862.7,0,15,0,99,28,67
1979,7.018,813.4,0,16,0,111,35,89
1980,7.077,876.0,1,9,0,119,34,75
1981,7.627,1275.8,1,18,0,113,32,95
1982,8.482,688.4,4,36,0,104,18,24
1983,8.657,896.1,6,42,0,84,23,61
1984,7.523,1007.9,2,16,1,100,11,39
1985,7.691,772.4,2,16,0,97,50,65
1986,8.218,957.6,3,29,2,69,40,66
1987,7.36,960.9,1,13,1,90,42,74
1988,9.254,929.5,0,23,0,57,6,39
1989,10.077,685.1,5,36,0,55,6,4
1990,9.859,806.0,4,31,0,36,9,27
1991,8.594,629.1,3,27,2,77,22,20
1992,9.734,793.9,9,44,2,44,14,22
1993,8.362,981.6,0,24,0,86,26,54
1994,9.635,1026.6,14,31,0,52,11,19
1995,8.832,831.0,4,36,1,82,26,34
1996,6.819,705.6,1,15,0,119,55,63
1997,8.909,790.4,3,28,0,87,14,29
1998,9.061,1022.3,5,20,1,60,20,42
1999,9.77,807.5,4,37,0,64,14,40
2000,10.028,806.9,4,18,2,42,7,24
2001,9.099,941.1,3,28,0,80,16,41
2002,9.332,1241.0,4,26,2,68,17,31
2003,9.308,627.8,16,53,2,87,20,46
2004,8.998,917.3,2,27,0,85,10,43
2005,9.279,694.1,7,39,0,82,19,50
2006,9.755,613.7,15,53,0,85,17,49
2007,10.023,1233.8,3,25,0,48,6,8
2008,9.723,821.7,7,29,0,59,6,14
2009,9.464,777.2,2,36,0,81,20,41
2010,7.903,981.8,10,37,0,110,62,96
2011,9.974,707.1,2,40,0,74,16,12
2012,9.489,655.7,4,29,0,68,18,19
2013,8.816,773.9,9,35,0,91,30,42
2014,10.521,878.3,5,30,0,54,10,9
2015,10.018,767.0,14,40,0,58,5,9
2016,9.751,705.4,11,41,0,83,13,16
2017,9.725,1023.4,3,30,0,65,14,25
2018,10.589,586.9,20,70,0,73,13,18
2019,10.484,739.5,15,49,0,62,6,7
2020,10.646,813.0,8,34,1,44,2,0
2021,9.471,715.0,3,37,0,76,13,30
2022,10.631,617.9,17,51,0,66,8,8
2023,11.846,853.5,5,50,0,48,2,12
