endDate;heatDays;summerDays;tropicalNights;iceDays
1901-06-10;null;null;null;null
1902-06-10;null;null;null;null
1903-06-10;null;null;null;null
1904-06-10;null;null;null;null
1905-06-10;null;null;null;null
1906-06-10;null;null;null;null
1907-06-10;null;null;null;null
1908-06-10;null;null;null;null
1909-06-10;null;null;null;null
1910-06-10;null;null;null;null
1911-06-10;null;null;null;null
1912-06-10;null;null;null;null
1913-06-10;null;null;null;null
1914-06-10;null;null;null;null
1915-06-10;null;null;null;null
1916-06-10;null;null;null;null
1917-06-10;null;null;null;null
1918-06-10;null;null;null;null
1919-06-10;null;null;null;null
1920-06-10;null;null;null;null
1921-06-10;null;null;null;null
1922-06-10;null;null;null;null
1923-06-10;null;null;null;null
1924-06-10;null;null;null;null
1925-06-10;null;null;null;null
1926-06-10;null;null;null;null
1927-06-10;null;null;null;null
1928-06-10;null;null;null;null
1929-06-10;null;null;null;null
1930-06-10;null;null;null;null
1931-06-10;null;null;null;null
1932-06-10;null;null;null;null
1933-06-10;null;null;null;null
1934-06-10;null;null;null;null
1935-06-10;null;null;null;null
1936-06-10;0;0;0;3
1937-06-10;0;8;0;21
1938-06-10;0;2;0;10
1939-06-10;0;2;0;5
1940-06-10;0;2;0;57
1941-06-10;null;null;null;null
1942-06-10;null;null;null;null
1943-06-10;0;6;0;18
1944-06-10;1;5;0;13
1945-06-10;5;19;0;29
1946-06-10;2;21;0;25
1947-06-10;4;21;0;44
1948-06-10;0;15;0;9
1949-06-10;2;11;0;10
1950-06-10;4;13;0;23
1951-06-10;0;1;0;5
1952-06-10;0;5;0;13
1953-06-10;0;10;0;14
1954-06-10;0;6;0;39
1955-06-10;0;8;0;26
1956-06-10;0;8;0;34
1957-06-10;0;8;0;10
1958-06-10;1;16;0;8
1959-06-10;0;3;0;13
1960-06-10;0;5;0;17
1961-06-10;0;4;0;16
1962-06-10;0;10;0;14
1963-06-10;0;6;0;43
1964-06-10;0;11;0;29
1965-06-10;0;2;0;12
1966-06-10;0;7;0;20
1967-06-10;0;5;0;11
1968-06-10;0;13;0;11
1969-06-10;2;19;0;25
1970-06-10;0;2;0;19
1971-06-10;0;16;0;25
1972-06-10;0;5;0;19
1973-06-10;0;9;0;6
1974-06-10;0;3;0;0
1975-06-10;0;6;0;0
1976-06-10;0;7;0;9
1977-06-10;1;11;0;7
1978-06-10;0;9;0;12
1979-06-10;7;24;0;18
1980-06-10;0;1;0;18
1981-06-10;4;14;0;7
1982-06-10;null;null;null;null
1983-06-10;2;13;0;8
1984-06-10;0;5;0;8
1985-06-10;1;10;0;37
1986-06-10;0;12;0;29
1987-06-10;0;4;0;34
1988-06-10;0;6;0;3
1989-06-10;0;0;0;6
1990-06-10;0;0;0;13
1991-06-10;0;1;0;18
1992-06-10;0;4;0;3
1993-06-10;0;18;0;18
1994-06-10;0;7;0;8
1995-06-10;0;12;0;13
1996-06-10;2;16;0;42
1997-06-10;0;5;0;18
1998-06-10;3;16;0;6
1999-06-10;1;10;0;14
2000-06-10;4;23;0;10
2001-06-10;0;13;0;9
2002-06-10;0;8;0;11
2003-06-10;4;25;0;20
2004-06-10;1;3;0;15
2005-06-10;3;10;0;20
2006-06-10;0;1;0;25
2007-06-10;4;19;0;2
2008-06-10;0;9;0;2
2009-06-10;0;12;0;15
2010-06-10;0;6;0;25
2011-06-10;0;19;0;12
2012-06-10;4;18;0;15
2013-06-10;0;6;0;19
2014-06-10;2;11;0;5
2015-06-10;3;15;0;2
2016-06-10;0;6;0;9
2017-06-10;2;15;0;18
2018-06-10;1;31;0;9
2019-06-10;0;12;0;5
2020-06-10;0;10;0;3
2021-06-10;1;11;0;5
2022-06-10;1;16;0;0
2023-06-10;0;5;0;0
2024-06-10;0;17;0;4
