endDate;heatDays;summerDays;tropicalNights;iceDays
1976-09-21;0;14;0;14
1977-09-21;0;12;0;17
1978-09-21;0;6;0;34
1979-09-21;0;12;0;29
1980-09-21;2;17;0;25
1981-09-21;1;19;0;37
1982-09-21;0;22;0;18
1983-09-21;4;24;0;24
1984-09-21;2;12;0;40
1985-09-21;0;22;0;33
1986-09-21;0;18;0;38
1987-09-21;null;null;null;null
1988-09-21;2;25;0;19
1989-09-21;0;11;0;6
1990-09-21;0;29;0;17
1991-09-21;2;17;0;28
1992-09-21;7;42;0;16
1993-09-21;2;25;0;21
1994-09-21;10;42;0;16
1995-09-21;6;33;0;24
1996-09-21;2;24;0;19
1997-09-21;0;30;0;5
1998-09-21;5;39;0;18
1999-09-21;2;29;0;23
2000-09-21;5;45;0;23
2001-09-21;6;30;0;24
2002-09-21;4;32;0;13
2003-09-21;12;69;0;30
2004-09-21;1;36;0;28
2005-09-21;10;44;0;31
2006-09-21;6;47;0;17
2007-09-21;7;32;0;4
2008-09-21;5;49;0;8
2009-09-21;1;31;0;40
2010-09-21;7;32;0;42
2011-09-21;4;30;0;24
2012-09-21;2;27;0;34
2013-09-21;9;35;0;37
2014-09-21;4;18;0;8
2015-09-21;11;50;0;28
2016-09-21;2;29;0;13
2017-09-21;1;41;0;27
2018-09-21;null;null;null;null
2019-09-21;10;42;0;25
2020-09-21;2;30;0;20
2021-09-21;2;32;0;34
2022-09-21;null;null;null;null
