year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1952;null;null;null;null;null
1953;null;null;null;null;null
1954;6.95;0;17;0;59
1955;null;null;null;null;null
1956;null;null;null;null;null
1957;8.34;5;22;4;31
1958;null;null;null;null;null
1959;null;null;null;null;null
1960;null;null;null;null;null
1961;null;null;null;null;null
1962;null;null;null;null;null
1963;7.73;5;33;0;73
1964;7.97;3;39;1;60
1965;7.7;2;21;1;41
1966;9.13;0;28;0;25
1967;9.19;7;45;0;33
1968;8.86;2;36;0;43
1969;null;null;null;null;null
1970;7.95;1;39;0;50
1971;null;null;null;null;null
1972;7.71;4;32;0;40
1973;null;null;null;null;null
1974;null;null;null;null;null
1975;null;null;null;null;null
1976;8.08;3;25;0;51
1977;8.33;0;14;0;40
1978;null;null;null;null;null
1979;null;null;null;null;null
1980;7.07;0;9;0;43
1981;8.13;0;24;0;52
1982;8.33;0;19;0;44
1983;8.99;7;49;2;41
1984;7.58;1;12;0;40
1985;7.4;1;26;0;63
1986;7.96;2;33;0;55
1987;7.41;0;21;1;62
1988;8.54;2;26;1;33
1989;9;0;16;0;36
1990;9.02;1;29;0;30
1991;7.85;3;19;1;49
1992;9.27;14;38;6;26
1993;8.52;1;28;0;48
1994;10.02;18;53;4;25
1995;8.34;2;29;1;48
1996;6.69;0;14;0;83
1997;8.78;0;20;0;40
1998;9.07;4;31;3;44
1999;8.81;1;12;1;44
2000;9.44;1;28;2;27
2001;8.59;0;25;1;43
2002;9.4;1;24;1;34
2003;9.15;10;58;11;42
2004;8.33;0;20;0;48
2005;8.11;2;22;3;69
2006;8.69;4;35;4;54
2007;9.57;2;28;3;29
2008;9.3;0;29;0;22
2009;8.92;1;22;1;44
2010;7.97;0;29;5;70
2011;9.45;3;29;3;37
2012;9.12;1;36;2;40
2013;8.63;10;33;7;41
2014;10.05;1;20;0;14
2015;10.37;22;51;17;18
2016;9.46;2;34;1;22
2017;9.42;7;48;3;41
2018;10.63;11;53;7;38
2019;10.37;9;49;6;16
2020;9.98;3;29;1;17
2021;8.98;0;24;2;32
2022;null;4;40;2;5
