endDate;heatDays;summerDays;tropicalNights;iceDays
1952-07-16;3;13;1;38
1953-07-16;null;null;null;null
1954-07-16;0;5;0;45
1955-07-16;0;3;0;52
1956-07-16;null;null;null;null
1957-07-16;5;18;4;18
1958-07-16;0;14;0;37
1959-07-16;1;15;0;27
1960-07-16;0;8;0;28
1961-07-16;0;11;0;20
1962-07-16;null;null;null;null
1963-07-16;1;10;0;52
1964-07-16;0;19;0;44
1965-07-16;0;13;1;35
1966-07-16;0;17;0;21
1967-07-16;4;19;0;17
1968-07-16;2;30;0;18
1969-07-16;0;10;0;20
1970-07-16;1;19;0;33
1971-07-16;null;null;null;null
1972-07-16;0;8;0;24
1973-07-16;null;null;null;null
1974-07-16;null;null;null;null
1975-07-16;0;20;0;2
1976-07-16;0;20;0;27
1977-07-16;0;7;0;23
1978-07-16;null;null;null;null
1979-07-16;0;18;0;31
1980-07-16;0;3;0;22
1981-07-16;0;11;0;33
1982-07-16;0;10;0;37
1983-07-16;0;17;0;21
1984-07-16;1;7;0;27
1985-07-16;0;7;0;45
1986-07-16;0;13;0;41
1987-07-16;0;10;1;49
1988-07-16;1;5;0;20
1989-07-16;0;5;0;18
1990-07-16;0;7;0;12
1991-07-16;1;9;1;32
1992-07-16;0;5;0;12
1993-07-16;0;14;0;29
1994-07-16;4;17;0;14
1995-07-16;0;13;0;17
1996-07-16;0;13;0;60
1997-07-16;0;12;0;27
1998-07-16;1;12;1;18
1999-07-16;1;7;1;25
2000-07-16;1;17;2;19
2001-07-16;0;9;0;21
2002-07-16;1;17;1;18
2003-07-16;2;22;4;33
2004-07-16;0;3;0;31
2005-07-16;0;13;1;42
2006-07-16;0;20;1;49
2007-07-16;1;15;0;4
2008-07-16;0;15;0;12
2009-07-16;0;7;0;35
2010-07-16;0;17;3;48
2011-07-16;0;14;0;30
2012-07-16;0;18;1;25
2013-07-16;3;10;3;35
2014-07-16;0;10;0;7
2015-07-16;3;19;3;18
2016-07-16;2;12;1;9
2017-07-16;3;23;1;30
2018-07-16;0;19;0;31
2019-07-16;5;21;2;15
2020-07-16;1;7;0;4
2021-07-16;0;17;2;24
2022-07-16;1;18;0;5
2023-07-16;4;16;3;17
