year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1951;9.19;0;24;0;12
1952;8.47;2;28;0;33
1953;8.84;0;12;0;34
1954;7.7;0;15;0;48
1955;7.9;0;7;0;45
1956;7.35;0;8;0;57
1957;8.67;5;22;1;28
1958;8.58;0;19;0;30
1959;8.84;0;13;0;29
1960;8.55;0;12;0;32
1961;9.18;0;22;1;36
1962;7.55;0;22;1;50
1963;7.58;0;21;0;69
1964;7.93;0;21;0;56
1965;8.04;0;15;1;40
1966;9.13;0;18;0;27
1967;9.16;1;29;0;29
1968;8.7;1;22;0;40
1969;8.39;0;25;0;51
1970;8.5;0;25;0;35
1971;8.82;2;33;0;32
1972;8.25;1;23;0;38
1973;8.65;5;28;0;27
1974;9.34;4;22;0;3
1975;9.09;0;23;0;18
1976;8.9;3;30;1;27
1977;9.38;0;25;0;30
1978;8.16;0;10;0;35
1979;8.66;0;27;0;23
1980;7.93;0;11;0;36
1981;8.94;1;30;1;38
1982;9.09;0;26;0;35
1983;9.35;6;52;1;35
1984;8.28;1;17;0;23
1985;8.01;2;30;0;50
1986;8.67;2;41;0;43
1987;8.58;0;26;0;46
1988;9.8;2;31;1;10
1989;9.88;1;31;0;23
1990;9.83;0;38;0;26
1991;8.84;1;29;1;32
1992;10.29;15;47;3;21
1993;9.39;1;35;0;36
1994;10.86;15;55;1;14
1995;9.71;6;44;0;28
1996;8.1;0;28;0;55
1997;9.29;1;42;0;28
1998;9.96;6;50;1;31
1999;10.04;2;34;0;26
2000;10.8;7;51;0;20
2001;9.83;5;44;0;26
2002;10.35;8;47;0;29
2003;9.69;18;69;2;34
2004;9.16;0;34;0;24
2005;8.82;3;33;0;36
2006;9.62;7;44;4;32
2007;10.81;6;53;2;20
2008;10.35;3;51;1;12
2009;10.46;8;55;0;35
2010;9.26;17;44;2;55
2011;10.68;11;64;0;21
2012;10.41;15;63;2;24
2013;10.1;24;62;3;31
2014;11.27;9;48;0;5
2015;11.56;38;67;6;5
2016;10.68;8;67;0;18
2017;10.63;22;67;6;32
2018;11.86;29;94;5;18
2019;11.46;20;73;3;13
2020;11.16;14;62;0;7
2021;10.19;11;63;1;13
2022;11.41;17;76;3;8
2023;11.93;26;72;3;10
2024;null;9;43;2;11
