endDate;heatDays;summerDays;tropicalNights;iceDays
1962-01-15;0;0;0;3
1963-01-15;0;0;0;7
1964-01-15;0;0;0;10
1965-01-15;0;0;0;2
1966-01-15;0;0;0;9
1967-01-15;0;0;0;5
1968-01-15;null;null;null;null
1969-01-15;null;null;null;null
1970-01-15;null;null;null;null
1971-01-15;null;null;null;null
1972-01-15;null;null;null;null
1973-01-15;null;null;null;null
1974-01-15;null;null;null;null
1975-01-15;null;null;null;null
1976-01-15;null;null;null;null
1977-01-15;null;null;null;null
1978-01-15;null;null;null;null
1979-01-15;null;null;null;null
1980-01-15;null;null;null;null
1981-01-15;null;null;null;null
1982-01-15;0;0;0;6
1983-01-15;0;0;0;0
1984-01-15;0;0;0;0
1985-01-15;0;0;0;14
1986-01-15;0;0;0;4
1987-01-15;0;0;0;6
1988-01-15;0;0;0;0
1989-01-15;0;0;0;1
1990-01-15;0;0;0;11
1991-01-15;0;0;0;0
1992-01-15;0;0;0;0
1993-01-15;0;0;0;4
1994-01-15;0;0;0;0
1995-01-15;0;0;0;5
1996-01-15;0;0;0;4
1997-01-15;0;0;0;11
1998-01-15;0;0;0;4
1999-01-15;0;0;0;1
2000-01-15;0;0;0;4
2001-01-15;0;0;0;1
2002-01-15;0;0;0;5
2003-01-15;0;0;0;8
2004-01-15;0;0;0;6
2005-01-15;0;0;0;0
2006-01-15;0;0;0;3
2007-01-15;0;0;0;0
2008-01-15;0;0;0;4
2009-01-15;0;0;0;13
2010-01-15;0;0;0;8
2011-01-15;0;0;0;2
2012-01-15;0;0;0;0
2013-01-15;0;0;0;3
2014-01-15;0;0;0;0
2015-01-15;0;0;0;1
2016-01-15;0;0;0;4
2017-01-15;0;0;0;5
2018-01-15;0;0;0;1
2019-01-15;0;0;0;2
2020-01-15;0;0;0;0
2021-01-15;0;0;0;2
2022-01-15;0;0;0;0
2023-01-15;0;0;0;0
