year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1960,-2.523,60.6,0,0,0,21,10,22
1961,-3.687,23.4,0,0,0,30,13,30
1962,-1.607,84.9,0,0,0,23,9,24
1963,-8.357,28.1,0,0,0,30,24,30
1964,-7.78,16.8,0,0,0,30,23,30
1965,-0.35,55.8,0,0,0,26,3,29
1966,-5.563,39.0,0,0,0,26,18,27
1967,-1.17,42.4,0,0,0,20,9,11
1968,-2.883,89.9,0,0,0,27,15,19
1969,-1.73,46.6,0,0,0,26,9,30
1970,-3.36,22.9,0,0,0,30,16,30
1971,-4.197,13.0,0,0,0,27,12,24
1972,-2.477,11.2,0,0,0,28,13,6
1973,-2.753,46.1,0,0,0,28,13,15
1974,1.653,73.7,0,0,0,19,1,7
1975,1.757,75.9,0,0,0,18,0,1
1976,1.37,103.6,0,0,0,14,5,7
1977,-1.323,67.3,0,0,0,28,7,30
1978,-0.243,34.3,0,0,0,26,3,13
1979,-6.35,55.7,0,0,0,30,20,30
1980,-3.673,40.2,0,0,0,27,17,30
1981,-4.44,63.7,0,0,0,26,19,27
1982,-4.847,78.0,0,0,0,26,17,26
1983,2.5,106.8,0,0,0,14,2,5
1984,-0.293,56.3,0,0,0,25,3,17
1985,-9.61,73.5,0,0,0,29,20,29
1986,-0.48,100.5,0,0,0,22,10,13
1987,-5.463,62.8,0,0,0,27,21,28
1988,1.617,51.1,0,0,0,17,5,12
1989,0.353,35.0,0,0,0,23,10,1
1990,-2.223,24.9,0,0,0,25,14,13
1991,0.333,48.0,0,0,0,23,6,9
1992,-0.347,28.8,0,0,0,19,6,0
1993,1.407,76.5,0,0,0,21,4,5
1994,2.68,46.8,0,0,0,13,4,0
1995,-0.947,73.3,0,0,0,25,14,23
1996,-3.02,16.5,0,0,0,26,16,6
1997,-4.367,5.7,0,0,0,30,20,30
1998,0.7,21.9,0,0,0,21,5,4
1999,0.343,55.3,0,0,0,22,7,5
2000,-2.25,43.3,0,0,0,27,11,12
2001,-1.01,52.6,0,0,0,24,8,11
2002,-1.697,19.7,0,0,0,21,18,20
2003,-1.867,83.4,0,0,0,21,11,26
2004,-1.85,155.2,0,0,0,27,12,24
2005,-0.017,54.5,0,0,0,20,7,9
2006,-4.78,37.6,0,0,0,28,17,30
2007,4.127,104.7,0,0,0,12,2,6
2008,1.02,34.5,0,0,0,21,2,6
2009,-3.987,16.7,0,0,0,30,18,16
2010,-3.223,42.1,0,0,0,28,21,29
2011,-0.413,52.6,0,0,0,24,7,21
2012,1.62,100.2,0,0,0,12,2,1
2013,-0.247,100.1,0,0,0,22,13,17
2014,1.303,29.0,0,0,0,22,1,5
2015,1.367,61.2,0,0,0,23,0,12
2016,-0.607,46.4,0,0,0,23,6,17
2017,-6.04,30.5,0,0,0,29,22,28
2018,3.23,71.2,0,0,0,11,0,4
2019,-0.317,68.8,0,0,0,21,7,12
2020,0.24,20.8,0,0,0,26,2,1
2021,-0.937,78.9,0,0,0,28,6,24
2022,1.377,28.6,0,0,0,21,3,2
2023,2.79,20.4,0,0,0,16,0,1
2024,0.543,87.7,0,0,0,18,6,4
