year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1948,8.862,0.0,0,2,2,99,12,0
1949,9.443,0.0,0,0,0,40,10,0
1950,8.676,0.0,0,1,0,68,18,0
1951,8.633,0.0,0,0,0,63,15,0
1952,7.646,0.0,0,1,0,87,6,0
1953,9.084,0.0,0,8,2,62,14,0
1954,7.667,0.0,0,1,0,75,26,0
1955,7.853,0.0,0,1,0,101,24,0
1956,7.069,0.0,0,0,0,94,33,0
1957,8.442,0.0,0,5,0,51,6,0
1958,7.936,0.0,0,1,0,90,20,0
1959,9.042,0.0,0,3,2,57,20,0
1960,8.132,0.0,0,0,0,64,20,0
1961,10.185,0.0,0,1,0,27,9,0
1999,12.376,298.0,0,2,0,12,1,0
2000,9.851,433.1,1,2,0,24,11,5
2001,8.627,467.9,0,2,2,74,36,0
2002,9.218,526.6,0,4,0,53,20,0
2003,9.161,445.9,0,4,4,67,22,0
2004,8.947,515.7,0,0,1,54,13,0
2005,9.081,534.5,0,5,0,53,6,0
2006,9.79,435.2,0,19,16,71,25,0
2007,9.795,697.5,1,5,0,24,7,0
2008,9.798,564.1,0,1,0,20,2,0
2009,9.134,530.9,0,3,0,57,14,6
2010,7.939,661.6,0,12,9,104,54,73
2011,9.191,697.3,0,1,0,50,22,9
2012,8.96,541.8,1,3,1,46,22,13
2013,9.224,552.5,1,5,3,62,19,60
2014,10.296,681.6,0,6,1,31,14,13
2015,10.055,545.1,0,3,1,18,0,3
2016,9.892,393.3,0,2,1,26,9,8
2017,9.644,655.3,0,2,0,35,8,0
2018,10.301,350.0,0,27,14,49,11,17
2019,10.58,435.9,2,13,5,15,3,1
2020,10.748,435.1,0,11,5,3,0,0
2021,9.838,509.8,1,14,8,44,12,12
2022,10.392,390.2,0,12,8,21,5,1
2023,11.508,499.0,0,8,0,18,1,1
