endDate;heatDays;summerDays;tropicalNights;iceDays
1954-08-17;0;17;0;36
1955-08-17;0;15;0;13
1956-08-17;0;18;0;36
1957-08-17;6;29;0;12
1958-08-17;1;34;0;20
1959-08-17;0;20;0;9
1960-08-17;0;12;0;19
1961-08-17;3;28;0;27
1962-08-17;1;26;0;27
1963-08-17;1;34;0;42
1964-08-17;0;32;0;34
1965-08-17;5;24;0;27
1966-08-17;2;23;0;20
1967-08-17;2;36;0;15
1968-08-17;3;18;0;19
1969-08-17;2;29;0;30
1970-08-17;1;35;0;23
1971-08-17;3;37;0;28
1972-08-17;2;29;0;31
1973-08-17;1;26;0;13
1974-08-17;3;25;0;9
1975-08-17;1;25;0;1
1976-08-17;2;32;0;16
1977-08-17;0;20;0;13
1978-08-17;0;12;0;32
1979-08-17;0;38;0;24
1980-08-17;2;20;0;25
1981-08-17;5;31;0;24
1982-08-17;0;36;0;19
1983-08-17;10;40;0;20
1984-08-17;4;18;0;21
1985-08-17;0;28;0;29
1986-08-17;0;39;0;39
1987-08-17;0;17;0;40
1988-08-17;4;30;0;7
1989-08-17;0;12;0;1
1990-08-17;0;28;0;10
1991-08-17;1;28;0;30
1992-08-17;7;34;0;9
1993-08-17;0;35;0;14
1994-08-17;10;43;0;12
1995-08-17;1;35;0;15
1996-08-17;1;26;0;29
1997-08-17;0;25;0;9
1998-08-17;9;41;0;6
1999-08-17;2;27;0;14
2000-08-17;1;37;0;18
2001-08-17;2;40;0;10
2002-08-17;8;34;0;11
2003-08-17;null;null;null;null
2004-08-17;null;null;null;null
2005-08-17;6;29;0;19
2006-08-17;null;null;null;null
2007-08-17;null;null;null;null
2008-08-17;3;50;0;2
2009-08-17;6;43;0;20
2010-08-17;13;46;0;29
2011-08-17;5;39;0;10
2012-08-17;15;51;0;16
2013-08-17;18;54;0;18
2014-08-17;5;34;0;2
2015-08-17;18;54;0;6
2016-08-17;5;47;0;7
2017-08-17;14;60;0;11
2018-08-17;8;59;0;11
2019-08-17;17;54;0;8
2020-08-17;4;37;0;0
2021-08-17;12;49;0;17
2022-08-17;15;66;0;5
