year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1949,-0.911,108.2,0,0,0,59,17,27
1951,1.156,110.9,0,0,0,48,3,16
1952,-0.532,150.0,0,0,0,57,18,40
1953,-0.414,76.8,0,0,0,58,16,49
1954,-3.499,102.9,0,0,0,59,38,18
1955,-2.993,132.3,0,0,0,68,38,51
1956,-4.836,136.8,0,0,0,56,38,42
1957,0.652,168.8,0,0,0,45,12,25
1958,-0.206,189.1,0,0,0,47,18,35
1959,0.569,80.8,0,0,0,55,11,25
1960,0.081,128.5,0,0,0,42,19,31
1961,1.618,112.6,0,0,0,38,11,32
1962,-0.351,154.0,0,0,0,48,18,23
1963,-5.682,52.6,0,0,0,68,45,69
1964,-2.663,51.2,0,0,0,64,25,30
1965,-1.42,163.8,0,0,0,57,18,53
1966,1.097,139.3,0,0,0,38,16,10
1967,1.713,131.0,0,0,0,37,9,15
1968,-0.869,145.1,0,0,0,53,18,23
1969,-0.92,122.0,0,0,0,55,22,44
1970,-2.187,196.8,0,0,0,58,30,58
1971,-1.7,85.7,0,0,0,48,22,40
1972,0.203,33.6,0,0,0,49,13,17
1973,-0.076,82.4,0,0,0,54,9,31
1974,2.661,105.0,0,0,0,32,0,14
1975,2.746,75.2,0,0,0,37,0,0
1976,0.106,162.8,0,0,0,50,12,31
1977,2.069,195.1,0,0,0,39,6,27
1978,0.23,75.2,0,0,0,52,17,48
1979,-1.911,115.8,0,0,0,62,22,58
1980,-0.032,144.8,0,0,0,46,19,34
1981,-1.185,177.4,0,0,0,56,26,43
1982,-1.3,131.5,0,0,0,56,19,27
1983,0.744,169.8,0,0,0,47,15,35
1984,0.132,168.7,0,0,0,47,6,47
1985,-3.99,77.3,0,0,0,60,32,52
1986,-2.079,164.9,0,0,0,50,32,49
1987,-4.39,146.1,0,0,0,63,37,68
1988,1.822,206.2,0,0,0,41,0,24
1989,2.373,120.5,0,0,0,36,8,3
1990,3.292,135.2,0,0,0,27,10,13
1991,0.234,67.7,0,0,0,46,14,18
1992,1.742,101.4,0,0,0,42,7,18
1993,-0.224,130.8,0,0,0,56,13,40
1994,2.349,145.6,0,0,0,29,4,8
1995,1.732,290.3,0,0,0,44,10,25
1996,-2.381,53.9,0,0,0,67,32,27
1997,0.824,146.6,0,0,0,46,16,30
1998,2.128,129.5,0,0,0,40,7,22
1999,1.09,220.8,0,0,0,43,9,33
2000,2.189,252.5,0,0,0,40,6,11
2001,1.596,166.9,0,0,0,45,4,18
2002,2.339,214.6,0,0,0,34,15,25
2003,-0.393,135.7,0,0,0,50,14,40
2004,0.433,148.0,0,0,0,54,13,37
2005,-0.773,191.5,0,0,0,50,17,47
2006,-2.41,129.6,0,0,0,60,24,57
2007,4.104,223.5,0,0,0,32,4,6
2008,2.996,152.5,0,0,0,46,1,1
2009,-1.835,147.7,0,0,0,59,21,39
2010,-2.575,99.4,0,0,0,65,33,63
2011,0.02,114.3,0,0,0,56,13,33
2012,-0.685,172.3,0,0,0,46,18,25
2013,-0.283,122.9,0,0,0,53,24,42
2014,2.741,81.7,0,0,0,52,1,7
2015,1.245,114.5,0,0,0,51,5,27
2016,1.636,191.6,0,0,0,42,8,19
2017,-0.31,123.6,0,0,0,54,17,43
2018,0.955,144.1,0,0,0,43,8,13
2019,1.703,170.4,0,0,0,46,7,11
2020,3.483,234.5,0,0,0,34,3,3
2021,0.228,169.5,0,0,0,56,12,34
2022,2.362,183.1,0,0,0,42,0,10
2023,2.397,175.0,0,0,0,38,4,13
2024,3.529,197.6,0,0,0,39,9,9
