year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1950,8.776,857.4,5,37,0,96,29,24
1951,8.701,675.5,2,35,0,90,13,43
1952,8.377,945.6,14,40,3,107,42,54
1953,8.904,504.6,0,29,0,96,41,56
1954,7.174,862.8,1,12,0,97,48,31
1955,6.979,738.8,0,10,0,123,52,65
1956,6.427,833.5,0,10,0,112,50,75
1957,8.259,757.9,6,23,0,97,18,37
1958,7.625,890.6,0,20,0,113,37,81
1959,8.763,544.7,3,34,0,94,25,45
1960,8.218,709.3,1,16,0,81,26,50
1961,9.041,701.1,2,30,0,70,20,44
1962,7.261,601.4,3,25,0,113,42,82
1963,7.369,623.7,3,17,0,94,62,73
1964,7.976,611.9,11,44,0,95,46,66
1965,7.306,751.0,2,16,0,107,39,91
1966,8.661,746.8,1,20,0,90,30,47
1967,8.753,586.5,5,29,0,85,27,46
1968,7.815,817.7,0,19,0,102,39,48
1969,8.24,619.9,7,34,0,101,40,78
1970,7.549,912.7,1,29,0,100,40,89
1971,8.34,548.1,10,36,0,91,29,68
1972,7.503,605.0,6,27,0,96,31,48
1973,7.949,677.2,2,37,0,116,38,85
1974,8.194,907.6,2,11,0,62,5,33
1975,8.626,673.3,0,37,0,87,7,44
1976,9.028,567.8,14,44,1,83,20,47
1977,8.523,641.3,0,24,0,73,22,63
1978,7.349,751.0,0,16,0,104,40,77
1979,7.92,649.6,0,27,0,95,30,80
1980,7.156,885.0,2,12,0,96,38,65
1981,8.097,1084.7,0,25,0,100,34,89
1982,8.379,642.8,5,34,0,101,32,41
1983,8.928,708.6,9,48,2,92,37,66
1984,7.462,764.5,3,13,0,107,26,81
1985,7.001,772.4,2,18,0,118,55,95
1986,7.968,797.4,1,31,1,102,39,63
1987,6.857,879.0,0,24,0,110,49,81
1988,8.501,944.7,3,24,0,96,14,74
1989,8.6,692.3,1,22,0,90,28,18
1990,8.814,768.7,2,32,0,77,22,41
1991,7.791,675.8,3,31,0,103,28,60
1992,8.959,765.4,12,38,0,95,15,46
1993,8.006,808.0,1,29,0,98,34,64
1994,9.683,743.2,21,51,1,73,13,29
1995,8.567,946.8,6,40,0,100,35,66
1996,7.132,603.8,2,27,0,123,51,91
1997,8.372,682.4,0,36,0,101,24,55
1998,8.807,942.7,11,37,0,82,34,57
1999,7.987,773.7,2,24,0,82,24,67
2000,9.342,812.4,4,32,0,59,11,44
2001,8.664,954.4,7,36,0,85,13,45
2002,9.145,1043.5,7,41,0,60,22,29
2003,9.418,530.8,26,78,2,110,18,61
2004,8.656,811.1,5,39,0,91,20,72
2005,8.267,735.5,5,30,0,92,45,77
2006,8.71,767.9,9,40,0,91,39,71
2007,9.562,1009.3,2,31,0,50,9,29
2008,9.055,682.4,3,32,0,83,12,25
2009,8.887,712.9,1,32,0,85,32,58
2010,7.794,779.1,10,34,0,96,57,86
2011,9.159,634.1,4,34,0,94,25,31
2012,8.853,619.8,8,40,0,84,31,59
2013,8.326,796.4,12,35,1,101,37,61
2014,10.004,650.1,5,27,0,53,7,16
2015,9.833,562.7,26,54,1,84,14,58
2016,9.273,685.6,4,47,0,81,13,26
2017,9.257,719.9,7,53,0,73,32,48
2018,10.449,603.9,12,70,0,72,19,43
2019,9.979,578.6,13,57,0,73,14,47
2020,9.867,610.5,11,42,0,87,11,12
2021,8.591,637.4,3,35,0,94,26,53
2022,10.407,566.3,18,64,0,75,10,30
2023,10.306,797.5,12,57,0,73,19,29
