year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1955;6.27;0;11;0;55
1956;5.54;0;20;0;70
1957;7.16;7;25;0;32
1958;7.1;4;29;0;44
1959;null;null;null;null;null
1960;6.96;0;13;0;39
1961;null;null;null;null;null
1962;null;null;null;null;null
1963;6.14;3;22;0;80
1964;6.61;1;34;0;69
1965;6.28;3;15;0;54
1966;7.69;2;20;0;33
1967;7.85;6;41;0;38
1968;7.14;3;29;0;57
1969;6.57;1;25;0;73
1970;6.61;0;25;0;54
1971;7.14;1;31;0;40
1972;6.86;2;21;1;52
1973;null;null;null;null;null
1974;7.91;5;20;0;12
1975;7.8;0;23;0;20
1976;7.06;5;24;0;49
1977;7.6;0;18;0;48
1978;6.53;0;11;0;57
1979;null;null;null;null;null
1980;null;null;null;null;null
1981;7.07;0;26;0;60
1982;7.33;0;29;0;45
1983;7.82;3;47;0;44
1984;6.73;1;12;0;52
1985;6.38;2;24;0;62
1986;7.12;1;30;0;58
1987;7.16;2;34;0;54
1988;7.66;3;23;0;32
1989;7.93;0;19;0;29
1990;7.95;3;29;0;27
1991;6.96;2;22;0;46
1992;8.24;14;40;0;30
1993;7.45;2;24;0;47
1994;8.78;14;48;0;24
1995;7.69;2;36;0;54
1996;6.09;0;19;0;79
1997;7.51;0;28;0;33
1998;8.16;8;38;0;45
1999;8.13;3;22;0;35
2000;8.88;9;40;0;25
2001;7.65;3;29;0;45
2002;8.69;5;37;0;36
2003;8.07;18;64;0;47
2004;7.46;1;31;0;47
2005;7.46;4;25;0;64
2006;7.95;7;38;0;49
2007;8.85;9;52;0;26
2008;8.55;1;34;0;19
2009;8.26;4;39;0;45
2010;7.12;11;36;0;72
2011;8.62;4;30;1;36
2012;8.37;8;46;0;38
2013;8.12;13;41;2;44
2014;9.48;4;33;0;25
2015;9.69;32;59;1;8
2016;8.8;4;50;0;25
2017;8.75;12;60;0;38
2018;9.68;13;62;0;33
2019;9.55;13;57;0;20
2020;9.23;3;44;0;16
2021;8.26;2;40;1;35
2022;9.44;12;54;0;15
2023;null;0;0;0;11
