month;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1937-1;-2.86;0;0;0;19
1937-2;2.06;0;0;0;2
1937-3;5.68;0;1;0;0
1937-4;9.43;0;0;0;0
1937-5;16.39;0;13;0;0
1937-6;18.77;3;14;0;0
1937-7;19.34;1;18;0;0
1937-8;18.91;2;10;0;0
1937-9;15.1;0;5;0;0
1937-10;11.16;0;0;0;0
1937-11;4.34;0;0;0;0
1937-12;-0.5;0;0;0;6
1938-1;0.67;0;0;0;8
1938-2;1.54;0;0;0;1
1938-3;8.2;0;0;0;0
1938-4;6.56;0;0;0;0
1938-5;12.15;0;2;0;0
1938-6;18.89;3;16;1;0
1938-7;19.61;5;14;0;0
1938-8;19.51;6;16;0;0
1938-9;14.31;0;1;0;0
1938-10;10.89;0;0;0;0
1938-11;6.4;0;0;0;0
1938-12;-2.35;0;0;0;14
1939-1;0.53;0;0;0;3
1939-2;2.96;0;0;0;1
1939-3;2.18;0;0;0;0
1939-4;11.66;0;2;0;0
1939-5;12.72;0;2;0;0
1939-6;17.35;1;10;0;0
1939-7;19.32;8;22;0;0
1939-8;19.2;2;22;0;0
1939-9;14.53;0;10;0;0
1939-10;7.8;0;0;0;0
1939-11;4.95;0;0;0;0
1939-12;-1.65;0;0;0;9
1940-1;-9.96;0;0;0;30
1940-2;-6.91;0;0;0;21
1940-3;2.67;0;0;0;4
1940-4;9.19;0;1;0;0
1940-5;12.02;0;2;0;0
1940-6;17.14;0;8;0;0
1940-7;18.03;1;14;0;0
1940-8;16.11;1;6;0;0
1940-9;14.57;0;6;0;0
1940-10;9.35;0;1;0;0
1940-11;6.36;0;0;0;0
1940-12;-4.03;0;0;0;15
1941-1;-4.95;0;0;0;23
1941-2;0.37;0;0;0;5
1941-3;5.11;0;0;0;0
1941-4;7.57;0;0;0;1
1941-5;10.98;0;1;0;0
1941-6;16.61;0;9;0;0
1941-7;18.41;0;14;0;0
1941-8;17.58;1;12;0;0
1941-9;12.92;0;2;0;0
1941-10;8.93;0;0;0;0
1941-11;0.74;0;0;0;5
1941-12;1.02;0;0;0;8
1942-1;-10.57;0;0;0;26
1942-2;-4.7;0;0;0;20
1942-3;2.11;0;0;0;4
1942-4;8.17;0;0;0;0
1942-5;14.33;1;5;0;0
1942-6;16.3;0;7;0;0
1942-7;17.9;1;10;0;0
1942-8;18.82;7;18;0;0
1942-9;18.14;3;18;0;0
1942-10;11.97;0;2;0;0
1942-11;3.44;0;0;0;1
1942-12;1.42;0;0;0;3
1943-1;-4.38;0;0;0;19
1943-2;2.88;0;0;0;1
1943-3;5.64;0;0;0;0
1943-4;10.43;0;2;0;0
1943-5;12.1;0;2;0;0
1943-6;15.21;0;4;0;0
1943-7;18.32;3;18;0;0
1943-8;20.25;8;22;0;0
1943-9;16.35;0;10;0;0
1943-10;10.73;0;0;0;0
1943-11;3.4;0;0;0;0
1943-12;0.31;0;0;0;5
1944-1;2.99;0;0;0;1
1944-2;-1.3;0;0;0;14
1944-3;1.42;0;0;0;0
1944-4;9.64;0;1;0;0
1944-5;12.17;1;2;0;0
1944-6;16.29;0;5;0;0
1944-7;18.64;0;15;0;0
1944-8;20.48;10;22;0;0
1944-9;14.65;0;3;0;0
1944-10;10.1;0;0;0;0
1944-11;3.63;0;0;0;0
1944-12;-1.55;0;0;0;12
1945-1;null;null;null;null;null
1945-2;3.19;0;0;0;2
1945-3;null;null;null;null;null
1945-4;null;null;null;null;null
1945-5;null;null;null;null;null
1945-6;null;null;null;null;null
1945-7;null;null;null;null;null
1945-8;null;null;null;null;null
1945-9;null;null;null;null;null
1945-10;null;null;null;null;null
1945-11;null;null;null;null;null
1945-12;null;null;null;null;null
1946-1;null;null;null;null;null
1946-2;null;null;null;null;null
1946-3;null;null;null;null;null
1946-4;null;null;null;null;null
1946-5;null;null;null;null;null
1946-6;null;null;null;null;null
1946-7;null;null;null;null;null
1946-8;null;null;null;null;null
1946-9;null;null;null;null;null
1946-10;null;null;null;null;null
1946-11;null;null;null;null;null
1946-12;null;null;null;null;null
1947-1;null;null;null;null;null
1947-2;null;null;null;null;null
1947-3;null;null;null;null;null
1947-4;null;null;null;null;null
1947-5;null;null;null;null;null
1947-6;null;null;null;null;null
1947-7;20.65;8;21;0;0
1947-8;18.84;7;17;0;0
1947-9;18.07;9;15;0;0
1947-10;7.77;0;0;0;0
1947-11;6.98;0;0;0;0
1947-12;2.04;0;0;0;3
1948-1;2.54;0;0;0;1
1948-2;0.12;0;0;0;11
1948-3;6.1;0;0;0;0
1948-4;11.33;0;0;0;0
1948-5;16.35;0;15;0;0
1948-6;16.92;1;10;0;0
1948-7;17.72;4;11;0;0
1948-8;19.14;4;14;0;0
1948-9;16.47;0;9;0;0
1948-10;10.03;0;1;0;0
1948-11;4.03;0;0;0;0
1948-12;-1.8;0;0;0;15
1949-1;0.99;0;0;0;2
1949-2;2.34;0;0;0;5
1949-3;2.57;0;0;0;5
1949-4;11.62;0;1;0;0
1949-5;14.56;0;6;0;0
1949-6;16.13;1;7;0;0
1949-7;19.1;5;16;0;0
1949-8;17.9;6;16;0;0
1949-9;16.92;1;8;0;0
1949-10;11.15;0;0;0;0
1949-11;5.01;0;0;0;0
1949-12;2.93;0;0;0;1
1950-1;-3.5;0;0;0;15
1950-2;1.84;0;0;0;6
1950-3;6.73;0;0;0;1
1950-4;9.79;0;1;0;0
1950-5;15.91;0;7;0;0
1950-6;19.5;5;18;1;0
1950-7;21.43;10;24;1;0
1950-8;20.06;7;24;0;0
1950-9;15.77;2;7;0;0
1950-10;8.08;0;0;0;0
1950-11;4.59;0;0;0;0
1950-12;-0.04;0;0;0;8
1951-1;1.13;0;0;0;3
1951-2;3.34;0;0;0;2
1951-3;3.95;0;0;0;1
1951-4;9.68;0;0;0;0
1951-5;13.52;0;1;0;0
1951-6;17.81;2;9;0;0
1951-7;19.39;2;18;0;0
1951-8;20.24;5;20;0;0
1951-9;16.64;0;11;0;0
1951-10;8.73;0;0;0;0
1951-11;7.23;0;0;0;0
1951-12;1.85;0;0;0;3
1952-1;0.58;0;0;0;9
1952-2;0.85;0;0;0;6
1952-3;2.53;0;0;0;2
1952-4;12.2;0;5;0;0
1952-5;13.48;0;4;0;0
1952-6;17.61;0;14;0;0
1952-7;20.54;12;24;0;0
1952-8;21.05;14;23;0;0
1952-9;12.95;0;1;0;0
1952-10;8.59;0;0;0;0
1952-11;3.4;0;0;0;0
1952-12;-0.92;0;0;0;11
1953-1;-1.18;0;0;0;8
1953-2;0.74;0;0;0;7
1953-3;4.64;0;0;0;0
1953-4;9.89;0;0;0;0
1953-5;13.62;0;9;0;0
1953-6;17.94;0;11;0;0
1953-7;20.66;7;23;0;0
1953-8;17.65;1;13;0;0
1953-9;15.98;2;6;0;0
1953-10;11.47;0;0;0;0
1953-11;3.69;0;0;0;1
1953-12;1.11;0;0;0;6
1954-1;-4.55;0;0;0;23
1954-2;-6.1;0;0;0;17
1954-3;5.55;0;0;0;0
1954-4;6.8;0;0;0;0
1954-5;13.24;0;4;0;0
1954-6;18.59;2;12;0;0
1954-7;17.61;1;10;0;0
1954-8;18.74;5;14;0;0
1954-9;16.91;7;14;0;0
1954-10;9.99;0;1;0;0
1954-11;3.33;0;0;0;2
1954-12;3.69;0;0;0;0
1955-1;-2.53;0;0;0;17
1955-2;-0.97;0;0;0;8
1955-3;1.64;0;1;0;3
1955-4;7.44;0;2;0;0
1955-5;12.72;0;4;0;0
1955-6;16.52;0;5;0;0
1955-7;19.43;3;15;0;0
1955-8;18.17;0;8;0;0
1955-9;15.33;0;8;0;0
1955-10;9.59;0;0;0;0
1955-11;4.52;0;0;0;0
1955-12;3.43;0;0;0;1
1956-1;0.07;0;0;0;4
1956-2;-9.5;0;0;0;25
1956-3;2.03;0;0;0;6
1956-4;8.58;0;1;0;0
1956-5;13.25;0;4;0;0
1956-6;15.74;0;5;0;0
1956-7;19.39;1;20;0;0
1956-8;18.01;2;13;0;0
1956-9;15.27;1;7;0;0
1956-10;8.89;0;2;0;0
1956-11;1.91;0;0;0;3
1956-12;0.65;0;0;0;7
1957-1;-1.5;0;0;0;10
1957-2;3.53;0;0;0;0
1957-3;6.78;0;0;0;0
1957-4;8.87;0;2;0;0
1957-5;11.25;0;2;0;0
1957-6;18.54;3;20;0;0
1957-7;19.75;8;13;0;0
1957-8;16.8;0;10;0;0
