year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,iceDays,frostDays,snowCoverDays
1948,9.05,761.2,10,26,0,351,13,11
1949,9.241,657.8,5,47,0,181,4,8
1950,8.577,1024.3,6,26,0,87,21,31
1951,8.894,980.2,3,25,0,80,4,18
1952,8.272,1006.0,11,30,1,103,13,57
1953,8.902,539.3,7,34,0,106,12,39
1954,8.051,1032.8,2,19,0,91,23,16
1955,7.637,862.5,2,20,0,125,21,66
1956,7.277,970.6,0,10,0,102,36,48
1957,8.848,954.5,8,22,0,76,9,15
1958,8.533,992.0,0,25,0,85,5,49
1959,9.288,395.6,5,55,0,95,7,20
1960,8.636,882.3,0,12,0,72,12,35
1961,8.953,909.5,2,25,0,69,14,19
1962,7.182,821.5,0,19,0,106,21,37
1963,7.135,678.5,5,20,0,114,58,81
1964,8.289,613.8,10,42,0,91,21,20
1965,7.704,1098.2,0,12,0,100,12,57
1966,8.829,1096.7,1,23,0,70,15,24
1967,9.21,944.3,1,28,0,75,9,25
1968,8.566,935.7,1,17,0,101,21,35
1969,8.36,698.6,3,39,0,106,30,75
1970,7.94,882.3,0,24,0,100,29,76
1971,8.226,567.5,5,34,0,105,20,27
1972,7.46,602.2,5,21,0,119,16,22
1973,8.271,573.7,9,47,0,116,9,27
1974,8.715,904.9,2,20,0,61,1,3
1975,8.837,514.8,13,48,0,88,2,3
1976,8.523,506.4,21,57,0,109,20,27
1977,8.573,783.8,2,23,0,76,3,17
1978,7.857,544.4,2,20,0,99,16,33
1979,7.464,805.3,1,20,0,121,20,66
1980,7.794,757.6,0,17,0,105,22,31
1981,8.121,901.0,1,20,0,100,21,67
1982,8.552,686.7,9,48,0,101,15,27
1983,9.989,571.4,13,56,0,49,12,18
1984,7.478,1018.2,5,22,0,113,5,39
1985,6.614,831.5,2,20,0,136,36,73
1986,7.478,931.7,3,34,0,102,29,65
1987,7.032,759.5,1,18,0,124,31,60
1988,8.624,899.1,1,21,0,92,3,39
1989,8.816,695.3,5,36,0,100,12,2
1990,8.79,834.7,8,33,0,81,10,22
1991,7.538,632.9,6,35,0,127,21,26
1992,8.631,811.4,7,44,0,89,9,7
1993,7.955,914.5,1,36,0,105,20,24
1994,9.432,988.7,20,44,0,85,7,19
1995,8.876,841.2,20,55,0,96,16,32
1996,7.09,672.1,2,28,0,112,38,53
1997,8.642,657.6,10,43,0,93,14,27
1998,8.664,969.1,7,30,0,86,13,14
1999,9.258,828.6,9,51,0,75,5,31
2000,9.336,841.3,6,37,0,65,4,15
2001,8.827,890.9,11,44,0,99,8,32
2002,9.246,972.8,7,37,0,76,17,23
2003,8.967,753.8,17,72,0,111,11,32
2004,8.466,827.6,7,34,0,98,11,20
2005,8.941,763.6,12,48,0,96,17,45
2006,9.242,869.8,17,52,0,89,12,21
2007,9.494,1054.0,3,33,0,75,5,8
2008,8.943,815.8,5,33,0,95,9,20
2009,8.812,792.8,4,40,0,91,19,34
2010,7.796,734.9,14,47,0,119,53,85
2011,9.336,758.8,5,45,0,94,8,15
2012,8.71,831.3,7,42,0,77,21,15
2013,8.493,716.2,17,56,0,108,21,39
2014,9.829,838.5,5,40,0,73,1,6
2015,9.532,671.8,21,51,0,100,1,17
2016,9.076,600.9,13,52,0,89,9,17
2017,9.124,889.9,9,41,0,94,8,45
2018,10.207,642.5,29,90,0,89,15,18
2019,9.727,765.4,20,58,0,84,7,12
2020,10.143,713.4,15,63,0,72,3,6
2021,8.665,780.8,3,38,0,111,11,32
2022,6.85,614.7,2,11,0,96,28,8
2023,3.21,203.2,0,0,0,36,3,0
