year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1940,-5.633,41.3,0,0,0,33,24,33
1941,-1.694,43.7,0,0,0,27,16,11
1942,-4.93,42.6,0,0,0,27,23,24
1943,4.233,54.3,0,0,0,7,4,5
1944,5.803,114.3,0,0,0,2,0,0
1945,-1.079,56.1,0,0,0,27,15,28
1946,1.43,48.6,0,0,0,22,7,0
1947,-0.97,22.9,0,0,0,21,13,12
1948,6.173,131.1,0,0,0,1,0,0
1949,4.097,21.7,0,0,0,6,0,2
1950,2.379,42.6,0,0,0,15,5,1
1951,4.512,89.0,0,0,0,1,0,2
1952,2.494,143.4,0,0,0,8,1,8
1953,1.5,70.8,0,0,0,16,7,9
1954,-1.191,90.2,0,0,0,21,14,9
1955,1.812,77.8,0,0,0,21,7,10
1956,1.539,88.7,0,0,0,15,4,6
1957,4.094,72.4,0,0,0,12,4,0
1958,2.815,85.4,0,0,0,15,2,6
1959,2.064,78.1,0,0,0,19,3,12
1979,-1.912,52.1,0,0,0,25,14,32
1980,0.833,55.6,0,0,0,19,8,6
1981,3.324,111.6,0,0,0,11,0,13
1982,1.488,58.4,0,0,0,22,6,9
1983,6.361,110.9,0,0,0,2,0,0
1984,4.027,124.4,0,0,0,6,0,5
1985,-2.315,74.5,0,0,0,24,18,21
1986,2.873,131.4,0,0,0,14,1,6
1987,-2.955,57.0,0,0,0,28,15,17
1988,6.845,85.8,0,0,0,0,0,0
1989,5.464,33.8,0,0,0,8,0,0
1990,6.2,66.3,0,0,0,1,0,0
1991,3.676,59.9,0,0,0,14,0,0
1992,2.648,29.8,0,0,0,15,1,0
1993,4.864,115.3,0,0,0,10,2,0
1994,4.936,95.5,0,0,0,5,0,1
2008,5.733,98.8,0,0,0,8,0,1
2009,-0.479,39.7,0,0,0,22,7,9
2010,-1.103,66.6,0,0,0,27,14,25
2011,2.715,103.0,0,0,0,19,2,7
2012,3.215,98.5,0,0,0,12,5,0
2013,1.864,65.9,0,0,0,16,13,3
2014,5.355,49.8,0,0,0,9,0,0
2015,3.533,95.7,0,0,0,9,0,2
2016,4.755,124.8,0,0,0,7,1,0
2017,0.733,43.2,0,0,0,20,4,4
2018,5.306,93.4,0,0,0,1,0,0
2023,5.233,134.3,0,0,0,10,1,0
2024,3.568,77.9,0,0,0,12,2,0
