year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1945,10.973,705.4,10,39,0,43,20,0
1946,10.123,629.3,5,27,0,58,16,2
1947,10.978,513.8,35,79,3,86,29,41
1948,10.93,600.5,12,31,1,42,5,0
1949,11.096,510.4,6,44,1,60,1,1
1950,10.485,676.6,6,37,0,54,13,10
1951,10.604,699.0,1,29,0,19,0,2
1952,9.94,685.8,9,33,1,49,2,4
1953,10.757,560.2,6,31,0,52,6,5
1954,9.986,810.8,5,21,0,48,14,9
1955,9.813,603.5,3,31,0,75,4,20
1956,8.964,848.7,2,17,0,73,23,34
1957,10.827,889.8,12,23,4,41,2,1
1958,10.313,938.2,1,31,0,56,4,9
1959,11.574,549.5,11,65,2,46,4,9
1960,10.713,871.2,1,22,0,35,9,13
1961,11.114,934.3,9,28,0,33,10,6
1962,9.248,668.5,1,20,0,66,9,18
1963,9.362,642.2,4,23,0,89,36,71
1964,10.643,568.8,14,51,2,61,7,8
1965,9.941,997.5,0,13,0,48,2,8
1966,10.881,956.0,6,32,0,38,11,10
1967,11.235,808.3,5,35,0,32,6,9
1968,10.598,870.3,4,30,0,53,6,15
1969,10.679,724.6,10,48,1,60,13,24
1970,10.408,785.0,1,38,0,54,15,22
1971,11.114,583.0,6,38,0,42,9,16
1972,10.439,665.5,5,23,0,31,5,3
1973,11.021,653.9,15,51,1,33,3,7
1974,11.345,900.6,3,23,0,14,0,0
1975,11.572,668.6,13,46,4,24,1,0
1976,11.679,514.5,24,58,9,41,7,21
1977,11.226,814.6,2,22,0,28,2,1
1978,10.428,674.6,4,24,1,46,5,14
1979,10.289,848.4,2,27,0,53,16,39
1980,10.495,862.2,3,28,0,39,6,5
1981,10.654,996.8,3,24,1,51,7,15
1982,11.465,748.4,10,47,2,34,6,13
1983,11.53,735.8,12,56,3,44,1,0
1984,10.598,957.4,6,18,1,25,0,3
1985,9.887,806.5,2,25,0,67,27,44
1986,10.614,762.2,8,40,2,54,15,25
1987,10.092,872.0,1,22,3,58,15,12
1988,11.608,789.4,1,21,1,10,0,2
1989,12.222,695.7,7,52,3,21,0,0
1990,12.131,725.1,8,39,2,14,0,0
1991,10.999,686.0,7,31,6,46,8,11
1992,11.785,842.2,9,46,2,25,1,0
1993,11.09,897.4,1,29,0,48,4,4
1994,12.304,720.8,19,43,13,19,1,1
1995,11.782,765.4,19,51,4,31,8,1
1996,10.056,615.5,4,22,1,61,14,13
1997,11.599,734.9,7,35,4,27,11,18
1998,11.492,939.2,8,26,2,28,2,0
1999,12.264,829.1,8,49,3,19,0,11
2000,12.39,930.6,6,37,2,14,1,2
2001,11.937,1012.9,12,52,7,35,0,4
2002,12.389,944.6,9,35,4,23,0,1
2003,12.503,658.8,23,85,12,40,6,11
2004,11.681,811.3,8,42,2,39,1,6
2005,12.062,905.9,10,52,3,40,2,8
2006,12.398,760.8,21,66,10,44,3,3
2007,12.562,917.2,5,42,2,17,0,1
2008,5.179,160.6,0,0,0,27,0,0
2009,11.24,720.8,8,46,0,50,15,0
2010,10.251,846.7,16,45,5,79,24,0
2011,12.102,749.9,4,49,0,32,2,0
2012,11.383,757.8,9,46,3,33,10,0
2013,10.959,655.3,13,50,4,58,11,0
2014,12.561,852.1,7,37,1,7,1,0
2015,11.97,759.3,17,47,6,22,0,0
2016,11.654,808.2,14,52,1,40,1,0
2017,11.953,842.1,14,48,1,23,2,0
2018,12.744,596.0,27,99,3,40,3,0
2019,12.33,702.5,22,65,7,24,3,0
2020,12.847,647.3,20,61,7,12,0,0
2021,11.392,914.5,4,47,2,32,4,0
2022,12.93,688.4,25,77,2,22,5,0
2023,12.836,918.7,19,69,2,28,0,0
2024,6.485,166.0,0,0,0,13,1,0
