endDate;heatDays;summerDays;tropicalNights;iceDays
1901-06-20;0;0;0;145
1902-06-20;0;0;0;158
1903-06-20;0;0;0;165
1904-06-20;0;0;0;136
1905-06-20;0;0;0;153
1906-06-20;0;0;0;152
1907-06-20;0;0;0;148
1908-06-20;0;0;0;145
1909-06-20;0;0;0;155
1910-06-20;0;0;0;151
1911-06-20;0;0;0;155
1912-06-20;0;0;0;156
1913-06-20;0;0;0;148
1914-06-20;0;0;0;157
1915-06-20;0;0;0;132
1916-06-20;0;0;0;154
1917-06-20;0;0;0;139
1918-06-20;0;0;0;151
1919-06-20;0;0;0;156
1920-06-20;0;0;0;127
1921-06-20;0;0;0;142
1922-06-20;0;0;0;142
1923-06-20;0;0;0;153
1924-06-20;0;0;0;145
1925-06-20;0;0;0;152
1926-06-20;0;0;0;163
1927-06-20;0;0;0;148
1928-06-20;0;0;0;160
1929-06-20;0;0;0;143
1930-06-20;0;0;0;146
1931-06-20;0;0;0;142
1932-06-20;0;0;0;151
1933-06-20;0;0;0;166
1934-06-20;0;0;0;151
1935-06-20;0;0;0;149
1936-06-20;0;0;0;156
1937-06-20;0;0;0;144
1938-06-20;0;0;0;156
1939-06-20;0;0;0;157
1940-06-20;0;0;0;156
1941-06-20;0;0;0;165
1942-06-20;0;0;0;150
1943-06-20;0;0;0;153
1944-06-20;0;0;0;156
1945-06-20;0;0;0;133
1946-06-20;0;0;0;141
1947-06-20;0;0;0;139
1948-06-20;0;0;0;142
1949-06-20;0;0;0;144
1950-06-20;0;0;0;138
1951-06-20;0;0;0;155
1952-06-20;0;0;0;141
1953-06-20;0;0;0;149
1954-06-20;0;0;0;156
1955-06-20;0;0;0;149
1956-06-20;0;0;0;156
1957-06-20;0;0;0;153
1958-06-20;0;0;0;137
1959-06-20;0;0;0;154
1960-06-20;0;0;0;141
1961-06-20;0;0;0;154
1962-06-20;0;0;0;155
1963-06-20;0;0;0;155
1964-06-20;0;0;0;143
1965-06-20;0;0;0;165
1966-06-20;0;0;0;143
1967-06-20;0;0;0;161
1968-06-20;0;0;0;142
1969-06-20;0;0;0;140
1970-06-20;0;0;0;157
1971-06-20;0;0;0;148
1972-06-20;0;0;0;155
1973-06-20;0;0;0;136
1974-06-20;0;0;0;159
1975-06-20;0;0;0;147
1976-06-20;0;0;0;143
1977-06-20;0;0;0;149
1978-06-20;0;0;0;154
1979-06-20;0;0;0;144
1980-06-20;0;0;0;160
1981-06-20;0;0;0;139
1982-06-20;0;0;0;141
1983-06-20;0;0;0;151
1984-06-20;0;0;0;163
1985-06-20;0;0;0;146
1986-06-20;0;0;0;144
1987-06-20;0;0;0;156
1988-06-20;0;0;0;145
1989-06-20;0;0;0;160
1990-06-20;0;0;0;135
1991-06-20;0;0;0;160
1992-06-20;0;0;0;137
1993-06-20;0;0;0;127
1994-06-20;0;0;0;150
1995-06-20;0;0;0;147
1996-06-20;0;0;0;131
1997-06-20;0;0;0;138
1998-06-20;0;0;0;138
1999-06-20;0;0;0;122
2000-06-20;0;0;0;121
2001-06-20;0;0;0;138
2002-06-20;0;0;0;138
2003-06-20;0;0;0;125
2004-06-20;0;0;0;150
2005-06-20;0;0;0;139
2006-06-20;0;0;0;145
2007-06-20;0;0;0;121
2008-06-20;0;0;0;141
2009-06-20;0;0;0;139
2010-06-20;0;0;0;140
2011-06-20;0;0;0;123
2012-06-20;0;0;0;134
2013-06-20;0;0;0;148
2014-06-20;0;0;0;146
2015-06-20;0;0;0;132
2016-06-20;0;0;0;140
2017-06-20;0;0;0;136
2018-06-20;0;0;0;118
2019-06-20;0;0;0;147
2020-06-20;0;0;0;137
2021-06-20;0;0;0;143
2022-06-20;0;0;0;126
2023-06-20;0;0;0;135
2024-06-20;0;0;0;132
