endDate;heatDays;summerDays;tropicalNights;iceDays
1962-12-22;null;null;null;null
1963-12-22;0;0;0;140
1964-12-22;0;0;0;155
1965-12-22;0;0;0;163
1966-12-22;0;0;0;143
1967-12-22;null;null;null;null
1968-12-22;null;null;null;null
1969-12-22;null;null;null;null
1970-12-22;null;null;null;null
1971-12-22;null;null;null;null
1972-12-22;null;null;null;null
1973-12-22;null;null;null;null
1974-12-22;null;null;null;null
1975-12-22;null;null;null;null
1976-12-22;null;null;null;null
1977-12-22;0;0;0;141
1978-12-22;null;null;null;null
1979-12-22;0;0;0;0
1980-12-22;0;0;0;0
1981-12-22;0;0;0;139
1982-12-22;0;0;0;137
1983-12-22;0;0;0;121
1984-12-22;0;0;0;142
1985-12-22;0;0;0;150
1986-12-22;0;0;0;135
1987-12-22;0;0;0;151
1988-12-22;0;0;0;138
1989-12-22;0;0;0;102
1990-12-22;0;0;0;106
1991-12-22;0;0;0;129
1992-12-22;0;0;0;119
1993-12-22;0;0;0;102
1994-12-22;0;0;0;104
1995-12-22;0;0;0;128
1996-12-22;0;0;0;123
1997-12-22;0;0;0;107
1998-12-22;0;0;0;118
1999-12-22;0;0;0;114
2000-12-22;0;0;0;111
2001-12-22;0;0;0;123
2002-12-22;0;0;0;108
2003-12-22;0;0;0;124
2004-12-22;0;0;0;116
2005-12-22;0;0;0;118
2006-12-22;0;0;0;106
2007-12-22;0;0;0;105
2008-12-22;0;0;0;115
2009-12-22;0;0;0;132
2010-12-22;0;0;0;146
2011-12-22;0;0;0;82
2012-12-22;0;0;0;110
2013-12-22;0;0;0;123
2014-12-22;0;0;0;93
2015-12-22;0;0;0;98
2016-12-22;0;0;0;122
2017-12-22;0;0;0;115
2018-12-22;0;0;0;97
2019-12-22;0;0;0;102
2020-12-22;0;0;0;83
2021-12-22;0;0;0;120
2022-12-22;0;0;0;95
2023-12-22;null;null;null;null
