year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1951;7.05;0;7;0;28
1952;6.03;1;14;0;70
1953;6.68;0;5;0;68
1954;5.34;0;0;0;58
1955;5.63;0;2;0;63
1956;5.69;0;7;0;80
1957;6.79;2;11;0;32
1958;6.28;0;10;0;51
1959;6.53;0;4;0;44
1960;6.26;0;6;0;48
1961;7.02;0;11;0;51
1962;5.02;0;6;0;81
1963;5.59;0;8;0;76
1964;6.1;0;3;0;55
1965;5.21;0;8;0;79
1966;6.43;0;3;0;65
1967;6.53;0;8;0;41
1968;6.03;0;5;0;57
1969;5.9;0;5;0;80
1970;5.87;0;11;0;62
1971;6.4;0;8;0;40
1972;6.01;0;9;0;59
1973;6.29;0;9;0;63
1974;6.96;0;9;0;30
1975;7.11;0;4;0;32
1976;6.06;0;7;0;66
1977;6.69;0;3;0;43
1978;5.62;0;1;0;62
1979;6.14;0;2;0;60
1980;5.38;0;7;0;62
1981;6.32;0;8;0;67
1982;6.65;0;4;0;47
1983;6.78;2;13;0;39
1984;5.64;2;8;0;60
1985;5.62;0;10;0;64
1986;6.04;0;9;0;68
1987;6.19;0;12;0;58
1988;6.77;0;21;0;30
1989;7.57;0;5;0;12
1990;7.07;0;5;0;31
1991;6.03;0;10;0;44
1992;7.49;2;25;0;25
1993;6.65;0;11;0;52
1994;7.96;0;21;0;24
1995;6.62;0;8;0;46
1996;5.59;0;7;0;69
1997;6.88;0;1;0;32
1998;7.08;0;20;0;43
1999;6.9;0;8;0;43
2000;7.87;0;13;0;28
2001;7.13;0;15;0;46
2002;7.81;0;11;0;27
2003;7.48;0;40;0;38
2004;6.9;0;7;0;39
2005;6.37;0;10;0;64
2006;7.15;0;25;0;49
2007;7.96;1;15;0;18
2008;7.69;0;8;0;28
2009;7.39;0;17;0;46
2010;6.46;0;16;0;67
2011;8.06;0;19;0;32
2012;7.6;0;26;0;43
2013;7.41;9;28;0;41
2014;8.44;0;9;0;19
2015;8.55;1;34;0;16
2016;8.04;0;18;0;19
2017;7.77;0;29;0;39
2018;8.19;0;20;0;50
2019;8.48;1;27;0;24
2020;8.14;0;16;0;21
2021;7.25;0;20;0;45
2022;8.64;1;25;0;16
2023;null;0;0;0;6
