month;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1971-5;15.19;2;8;0;0
1971-6;15.26;0;5;0;0
1971-7;18.85;6;16;0;0
1971-8;19.49;5;16;0;0
1971-9;12.98;0;0;0;0
1971-10;9.48;0;0;0;0
1971-11;2.77;0;0;0;2
1971-12;-0.18;0;0;0;1
1972-1;-0.48;0;0;0;3
1972-2;4.93;0;0;0;1
1972-3;7.53;0;0;0;0
1972-4;8.5;0;0;0;0
1972-5;12.57;0;1;0;0
1972-6;15.91;0;9;0;0
1972-7;17.34;1;14;0;0
1972-8;17.33;5;11;0;0
1972-9;11.72;0;1;0;0
1972-10;7;0;0;0;0
1972-11;2.73;0;0;0;3
1972-12;-0.5;0;0;0;5
1973-1;-0.69;0;0;0;4
1973-2;-1.31;0;0;0;4
1973-3;2.36;0;0;0;0
1973-4;5.87;0;0;0;0
1973-5;14.47;0;8;0;0
1973-6;17;1;8;0;0
1973-7;17.21;0;9;0;0
1973-8;19.19;2;18;0;0
1973-9;15.44;0;7;0;0
1973-10;8.31;0;0;0;0
1973-11;3.16;0;0;0;4
1973-12;-0.92;0;0;0;9
1974-1;2.01;0;0;0;1
1974-2;3.56;0;0;0;0
1974-3;7.71;0;0;0;0
1974-4;8.66;0;0;0;0
1974-5;12.43;0;1;0;0
1974-6;14.59;0;4;0;0
1974-7;16.84;1;11;0;0
1974-8;19.05;3;14;0;0
1974-9;14.82;0;6;0;0
1974-10;5.62;0;0;0;0
1974-11;4.9;0;0;0;0
1974-12;0.49;0;0;0;4
1975-1;2.02;0;0;0;0
1975-2;2.42;0;0;0;0
1975-3;5.1;0;0;0;0
1975-4;8.16;0;0;0;0
1975-5;14.27;0;7;0;0
1975-6;14.9;0;8;0;0
1975-7;17.98;1;15;0;0
1975-8;17.63;0;14;0;0
1975-9;17.34;0;5;0;0
1975-10;8.86;0;0;0;0
1975-11;2.42;0;0;0;5
1975-12;-1.53;0;0;0;9
1976-1;0.05;0;0;0;6
1976-2;2.04;0;0;0;0
1976-3;4.03;0;0;0;0
1976-4;8.98;0;0;0;0
1976-5;13.82;0;8;0;0
1976-6;17.59;2;18;0;0
1976-7;18.96;8;19;0;0
1976-8;15.3;0;1;0;0
