households;year;region;gas_convector;gas_central;oil_single;oil_central;coal_single;coal_central;wood_single;wood_central;electric;heatPump;remote;gas_sum;wood_sum;oil_sum;coal_sum;gas_sum_per100households;oil_sum_per100households;wood_sum_per100households;coal_sum_per100households;heatPump_per100households;remote_per100households;electric_per100households
895806;2016;Wien;39729;372415;3099;27796;0;0;6771;4870;36893;8017;396216;412144;11641;30895;0;46;3.4;1.3;0;0.9;44.2;4.1
904843;2018;Wien;34145;377588;2712;10395;0;0;5089;1921;53682;10075;409236;411733;7010;13107;0;45.5;1.4;0.8;0;1.1;45.2;5.9
911512;2020;Wien;37254;405033;0;10175;0;0;6369;7857;45898;8435;390491;442287;14226;10175;0;48.5;1.1;1.6;0;0.9;42.8;5
617024;2004;Niederösterreich;51421;167741;10892;125156;3160;11265;30318;128535;34353;22337;31846;219162;158853;136048;14425;35.5;22;25.7;2.3;3.6;5.2;5.6
646970;2006;Niederösterreich;27586;198448;8530;133744;0;11969;25104;152937;30570;7678;50404;226034;178041;142274;11969;34.9;22;27.5;1.9;1.2;7.8;4.7
660097;2008;Niederösterreich;24216;206031;4554;109568;2514;7781;37210;159359;33243;12160;63461;230247;196569;114122;10295;34.9;17.3;29.8;1.6;1.8;9.6;5
670944;2010;Niederösterreich;27957;204920;5228;101499;1473;6022;30121;160750;41566;23835;67573;232877;190871;106727;7495;34.7;15.9;28.4;1.1;3.6;10.1;6.2
681875;2012;Niederösterreich;30549;200934;2827;100236;0;4050;35622;157246;34706;29784;85921;231483;192868;103063;4050;33.9;15.1;28.3;0.6;4.4;12.6;5.1
693425;2014;Niederösterreich;16088;212128;5370;99070;0;4380;30307;153590;35447;34719;102326;228216;183897;104440;4380;32.9;15.1;26.5;0.6;5;14.8;5.1
707754;2016;Niederösterreich;16292;224105;3942;95697;0;1842;35846;151599;33581;47706;97144;240397;187445;99639;1842;34;14.1;26.5;0.3;6.7;13.7;4.7
716433;2018;Niederösterreich;14356;222892;2235;97216;0;3055;34793;140487;24856;60740;115803;237248;175280;99451;3055;33.1;13.9;24.5;0.4;8.5;16.2;3.5
733770;2020;Niederösterreich;9956;193191;794;85179;0;1955;30776;129744;49991;101799;130385;203147;160520;85973;1955;27.7;11.7;21.9;0.3;13.9;17.8;6.8
547024;2004;Oberösterreich;23382;86057;8886;148337;1214;10642;18558;87902;30091;24765;107190;109439;106460;157223;11856;20;28.7;19.5;2.2;4.5;19.6;5.5
563569;2006;Oberösterreich;19130;93482;4499;153098;1463;3496;16626;110196;22940;11854;126785;112612;126822;157597;4959;20;28;22.5;0.9;2.1;22.5;4.1
574363;2008;Oberösterreich;17084;86496;7094;134027;1721;7153;12572;122975;21454;20335;143452;103580;135547;141121;8874;18;24.6;23.6;1.5;3.5;25;3.7
583439;2010;Oberösterreich;12681;93133;1811;126408;565;6627;8584;110048;26359;36969;160254;105814;118632;128219;7192;18.1;22;20.3;1.2;6.3;27.5;4.5
592547;2012;Oberösterreich;13931;90870;1836;112639;681;2382;9337;130779;28285;40860;160947;104801;140116;114475;3063;17.7;19.3;23.6;0.5;6.9;27.2;4.8
604092;2014;Oberösterreich;9805;98966;1237;100559;0;551;16299;125983;16647;59230;174815;108771;142282;101796;551;18;16.9;23.6;0.1;9.8;28.9;2.8
618872;2016;Oberösterreich;8396;97776;1282;102003;0;3616;6150;110575;22410;63684;202980;106172;116725;103285;3616;17.2;16.7;18.9;0.6;10.3;32.8;3.6
627852;2018;Oberösterreich;8242;96098;1364;113882;0;757;7960;131242;21449;70882;175976;104340;139202;115246;757;16.6;18.4;22.2;0.1;11.3;28;3.4
641594;2020;Oberösterreich;9976;94522;0;81981;685;2316;4214;106976;17498;114934;208492;104498;111190;81981;3001;16.3;12.8;17.3;0.5;17.9;32.5;2.7
137335;2004;Vorarlberg;2520;20024;3274;59836;356;516;7735;17427;10259;6032;9356;22544;25162;63110;872;16.4;46;18.3;0.6;4.4;6.8;7.5
142667;2006;Vorarlberg;971;22604;2641;62145;0;785;7503;24230;8718;4677;8393;23575;31733;64786;785;16.5;45.4;22.2;0.6;3.3;5.9;6.1
