year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1937,8.341,1005.7,3,30,0,107,12,39
1938,8.016,1100.2,1,22,0,95,24,46
1939,7.733,1303.4,0,16,0,97,28,70
1940,6.421,1186.6,0,9,0,116,65,100
1941,6.825,1308.3,0,17,0,121,39,69
1942,7.212,932.7,1,23,0,114,49,83
1943,8.71,905.3,5,25,4,98,25,28
1944,7.642,1095.2,4,22,2,111,29,74
1945,7.677,721.1,1,16,0,63,31,53
1946,7.98,1000.3,1,16,0,97,26,24
1947,8.932,1069.9,24,56,8,98,47,71
1948,8.816,1132.4,0,18,0,234,19,22
1949,9.258,762.7,4,36,0,110,16,22
1950,8.411,1271.1,2,26,0,87,62,37
1951,8.633,922.3,1,20,0,72,3,11
1952,7.97,1239.5,11,31,5,113,40,69
1953,8.808,804.6,0,22,0,92,35,56
1954,7.55,1214.2,0,12,0,96,33,20
1955,7.343,1017.8,0,9,0,119,41,53
1956,6.614,1247.8,0,5,0,114,46,52
1957,8.351,1119.6,6,20,2,81,20,21
1958,7.929,1097.5,0,18,0,94,27,51
1959,9.36,458.3,3,37,1,75,18,15
1960,8.244,1056.9,0,14,0,80,21,41
1961,8.851,1036.1,0,22,0,73,20,26
1962,7.012,938.4,2,14,0,118,38,53
1963,7.132,843.2,2,13,1,108,70,67
1964,8.085,891.7,8,35,1,106,35,37
1965,7.309,1646.0,0,10,0,103,34,62
1966,8.455,1330.6,2,16,0,84,18,28
1967,8.532,1120.6,0,24,0,83,25,32
1968,7.714,1234.4,0,11,0,110,39,36
1969,7.627,986.9,2,27,1,119,52,90
1970,7.582,1260.2,0,20,0,110,39,77
1971,8.328,727.3,5,27,0,93,22,47
1972,7.572,878.4,0,15,0,83,23,23
1973,7.922,970.0,0,23,0,124,27,70
1974,8.415,1178.1,1,7,0,67,4,16
1975,8.501,943.5,0,22,0,94,13,12
1976,8.655,805.8,10,38,1,97,33,64
1977,8.369,1137.8,0,8,0,73,19,47
1978,7.451,1115.4,0,11,1,95,40,76
1979,7.689,1118.5,0,12,0,97,34,63
1980,7.264,1229.9,0,9,0,90,34,65
1981,7.98,1407.2,0,19,0,111,30,102
1982,8.704,1188.9,0,27,0,85,18,54
1983,8.823,1074.7,6,43,2,95,28,62
1984,7.703,1123.7,2,13,0,100,16,76
1985,7.383,947.5,1,15,0,103,55,86
1986,7.896,1310.7,1,26,1,78,42,77
1987,7.314,1290.9,0,17,1,97,43,69
1988,8.821,1303.3,0,19,0,73,10,54
1989,9.264,978.0,2,18,0,72,8,4
1990,9.16,1027.3,4,27,0,65,19,31
1991,8.352,767.8,3,33,1,98,23,30
1992,9.133,992.2,5,30,2,63,16,30
1993,8.481,1007.3,0,24,0,90,34,45
1994,9.76,1025.2,8,38,6,55,13,25
1995,8.732,1227.0,4,34,2,92,26,51
1996,7.19,908.8,1,17,0,113,56,72
1997,8.916,875.0,0,26,0,88,18,48
1998,8.787,1221.7,5,24,2,80,31,58
1999,9.195,1114.6,1,30,0,80,22,65
2000,9.685,1016.3,3,30,0,60,9,27
2001,8.919,1267.7,7,34,2,85,21,35
2002,9.478,1396.3,2,22,1,59,21,28
2003,9.823,737.8,17,63,7,94,21,57
2004,8.675,1012.0,0,26,0,100,23,58
2005,8.965,827.1,4,40,1,92,33,76
2006,9.442,1042.3,9,37,5,84,26,52
2007,9.595,1200.6,2,23,0,51,14,27
2008,9.147,999.0,2,26,0,79,17,33
2009,9.138,932.8,1,32,0,82,27,50
2010,7.809,1113.6,9,30,3,105,62,103
2011,9.887,868.5,3,33,1,66,20,33
2012,9.145,932.7,7,33,2,72,25,37
2013,8.607,1049.1,9,34,3,96,31,54
2014,10.362,882.1,5,25,1,36,4,15
2015,10.113,821.2,19,46,8,67,9,52
2016,6.248,793.9,2,10,0,106,40,22
2017,9.543,1124.4,5,43,1,67,24,48
2018,10.662,852.9,14,67,7,65,20,32
2019,10.102,1119.9,9,43,5,62,10,32
2020,10.505,841.3,12,41,5,64,3,14
2021,8.972,951.7,3,28,2,80,14,52
2022,10.852,1013.0,9,67,2,65,10,25
2023,10.601,1336.8,5,49,2,65,12,32
2024,3.752,274.4,0,0,0,16,10,8
