endDate;heatDays;summerDays;tropicalNights;iceDays
1901-07-14;null;null;null;null
1902-07-14;null;null;null;null
1903-07-14;null;null;null;null
1904-07-14;null;null;null;null
1905-07-14;null;null;null;null
1906-07-14;null;null;null;null
1907-07-14;null;null;null;null
1908-07-14;null;null;null;null
1909-07-14;null;null;null;null
1910-07-14;null;null;null;null
1911-07-14;null;null;null;null
1912-07-14;null;null;null;null
1913-07-14;null;null;null;null
1914-07-14;null;null;null;null
1915-07-14;null;null;null;null
1916-07-14;null;null;null;null
1917-07-14;null;null;null;null
1918-07-14;null;null;null;null
1919-07-14;null;null;null;null
1920-07-14;null;null;null;null
1921-07-14;null;null;null;null
1922-07-14;null;null;null;null
1923-07-14;null;null;null;null
1924-07-14;null;null;null;null
1925-07-14;null;null;null;null
1926-07-14;null;null;null;null
1927-07-14;null;null;null;null
1928-07-14;null;null;null;null
1929-07-14;null;null;null;null
1930-07-14;null;null;null;null
1931-07-14;null;null;null;null
1932-07-14;null;null;null;null
1933-07-14;null;null;null;null
1934-07-14;null;null;null;null
1935-07-14;null;null;null;null
1936-07-14;null;null;null;null
1937-07-14;null;null;null;null
1938-07-14;null;null;null;null
1939-07-14;null;null;null;null
1940-07-14;null;null;null;null
1941-07-14;null;null;null;null
1942-07-14;null;null;null;null
1943-07-14;null;null;null;null
1944-07-14;null;null;null;null
1945-07-14;null;null;null;null
1946-07-14;null;null;null;null
1947-07-14;null;null;null;null
1948-07-14;null;null;null;null
1949-07-14;null;null;null;null
1950-07-14;null;null;null;null
1951-07-14;null;null;null;null
1952-07-14;null;null;null;null
1953-07-14;null;null;null;null
1954-07-14;null;null;null;null
1955-07-14;null;null;null;null
1956-07-14;null;null;null;null
1957-07-14;null;null;null;null
1958-07-14;null;null;null;null
1959-07-14;null;null;null;null
1960-07-14;null;null;null;null
1961-07-14;null;null;null;null
1962-07-14;null;null;null;null
1963-07-14;null;null;null;null
1964-07-14;null;null;null;null
1965-07-14;null;null;null;null
1966-07-14;null;null;null;null
1967-07-14;null;null;null;null
1968-07-14;null;null;null;null
1969-07-14;null;null;null;null
1970-07-14;null;null;null;null
1971-07-14;null;null;null;null
1972-07-14;null;null;null;null
1973-07-14;null;null;null;null
1974-07-14;null;null;null;null
1975-07-14;null;null;null;null
1976-07-14;null;null;null;null
1977-07-14;null;null;null;null
1978-07-14;null;null;null;null
1979-07-14;null;null;null;null
1980-07-14;null;null;null;null
1981-07-14;null;null;null;null
1982-07-14;null;null;null;null
1983-07-14;null;null;null;null
1984-07-14;null;null;null;null
1985-07-14;null;null;null;null
1986-07-14;1;28;0;36
1987-07-14;2;19;0;41
1988-07-14;2;17;0;9
1989-07-14;1;16;0;12
1990-07-14;1;15;0;15
1991-07-14;2;18;1;23
1992-07-14;0;18;0;11
1993-07-14;3;31;0;22
1994-07-14;5;23;0;14
1995-07-14;5;22;0;17
1996-07-14;3;23;0;50
1997-07-14;2;23;0;29
1998-07-14;3;29;0;15
1999-07-14;3;20;0;19
2000-07-14;10;42;0;14
2001-07-14;3;21;1;13
2002-07-14;11;38;0;18
2003-07-14;9;46;1;30
2004-07-14;2;12;0;17
2005-07-14;5;27;0;27
2006-07-14;6;26;0;34
2007-07-14;5;35;0;3
2008-07-14;5;30;2;7
2009-07-14;0;18;0;27
2010-07-14;6;24;0;40
2011-07-14;0;32;0;22
2012-07-14;9;31;1;19
2013-07-14;3;22;0;30
2014-07-14;3;18;0;8
2015-07-14;10;26;0;5
2016-07-14;3;24;0;10
2017-07-14;12;38;0;28
2018-07-14;5;40;0;18
2019-07-14;8;32;2;12
2020-07-14;3;18;0;3
2021-07-14;7;32;1;13
2022-07-14;4;33;0;1
2023-07-14;10;22;1;9
2024-07-14;6;30;1;9
