year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1936,8.814,522.2,1,34,0,83,11,18
1937,9.112,692.3,4,42,1,99,26,37
1938,9.344,626.1,7,44,0,91,25,30
1939,8.843,802.2,3,46,0,81,21,42
1940,7.039,697.3,2,40,0,114,67,91
1943,9.704,425.6,15,31,4,88,142,17
1944,8.975,644.8,16,57,2,95,21,52
1945,9.922,169.4,0,5,0,137,110,38
1946,8.537,500.7,5,34,2,92,31,33
1947,8.712,457.1,24,66,7,99,59,62
1948,9.693,678.8,13,43,0,72,17,15
1949,9.564,583.8,6,37,0,79,13,20
1950,9.146,609.7,6,39,1,83,36,31
1951,9.545,484.3,4,42,1,65,18,19
1952,8.267,672.7,9,38,5,119,30,63
1953,1.646,144.6,0,0,0,63,25,46
1955,9.796,696.8,1,31,0,48,8,26
1956,5.977,514.2,0,16,0,68,39,50
1958,8.904,790.3,3,32,0,86,20,38
1959,9.401,508.9,5,37,4,81,24,45
1960,8.786,613.4,4,26,1,71,25,44
1961,9.419,697.6,4,34,0,53,21,43
1962,7.962,581.0,3,26,0,93,32,61
1963,8.012,522.8,11,44,3,100,71,88
1964,8.801,656.9,11,48,2,95,38,44
1965,8.168,844.1,3,19,1,88,32,69
1966,9.2,782.1,2,36,2,81,28,59
1967,9.691,861.6,8,39,1,58,16,27
1968,8.825,736.0,6,38,0,89,32,54
1969,8.254,578.2,8,45,2,110,55,103
1970,8.289,781.0,5,37,1,89,38,94
1971,9.279,580.8,13,44,3,62,22,50
1972,8.698,528.5,13,31,2,71,17,39
1973,9.008,607.8,3,39,0,81,13,38
1974,9.475,941.7,5,17,1,35,1,11
1975,9.747,497.1,6,47,2,70,11,13
1976,8.979,543.7,6,36,2,95,30,58
1977,9.29,822.4,0,22,0,66,14,43
1978,8.61,789.5,0,21,0,69,23,34
1979,8.683,689.9,5,30,0,92,28,70
1980,5.086,694.9,0,5,0,169,101,71
1981,8.627,967.0,0,30,0,103,36,87
1982,9.667,360.5,6,56,1,83,23,16
1983,9.863,617.1,12,56,0,73,23,44
1984,8.284,598.4,3,19,1,96,17,30
1985,7.813,647.6,3,31,1,95,50,80
1986,8.478,766.6,6,38,3,88,44,68
1987,7.58,787.6,1,18,1,107,47,70
1988,9.265,699.7,5,31,3,89,12,37
1989,10.249,533.9,11,50,1,70,4,10
1990,10.023,518.9,11,43,2,65,14,19
1991,8.803,495.0,5,40,3,99,19,33
1992,9.857,595.9,16,66,1,76,15,12
1993,8.75,855.2,4,41,0,96,27,65
1994,9.881,724.0,24,46,5,74,9,16
1995,8.919,832.4,13,56,1,103,29,48
1996,7.089,660.2,2,30,0,125,49,60
1997,8.816,649.0,6,49,0,107,16,41
1998,9.597,488.0,6,26,0,53,15,27
1999,9.742,613.4,2,43,0,76,14,38
2000,10.584,589.2,13,44,2,48,9,27
2001,9.254,785.7,4,32,2,93,14,32
2002,9.891,615.2,7,51,2,78,22,28
2003,9.832,301.1,21,70,4,102,24,21
2004,9.396,600.1,7,34,0,88,18,37
2005,9.305,619.0,5,46,1,95,37,66
2006,10.148,453.2,23,56,1,85,28,68
2007,10.439,605.6,12,51,3,55,15,12
2008,10.102,641.0,11,39,1,45,12,18
2009,9.447,730.8,4,40,0,80,35,50
2010,8.035,1012.5,11,35,3,103,62,96
2011,10.113,682.5,2,44,0,68,19,31
2012,9.51,784.2,7,40,1,68,30,40
2013,8.962,752.5,9,39,2,94,36,73
2014,10.824,625.9,13,41,1,40,15,15
2015,10.86,584.8,24,51,4,53,4,9
2016,10.071,705.8,9,54,1,72,11,14
2017,10.086,778.0,7,45,2,64,18,36
2018,11.135,402.4,31,85,5,69,16,10
2019,11.279,544.5,25,68,5,51,6,12
2020,10.996,657.6,12,58,3,39,0,0
2021,9.736,641.3,6,47,4,81,15,41
2022,10.947,591.7,17,61,3,67,10,12
2023,12.196,611.7,16,69,3,43,4,13
