endDate;heatDays;summerDays;tropicalNights;iceDays
1962-08-25;4;36;0;18
1963-08-25;9;50;0;37
1964-08-25;2;48;0;34
1965-08-25;6;34;0;25
1966-08-25;4;42;0;21
1967-08-25;15;53;0;17
1968-08-25;6;44;0;24
1969-08-25;6;55;0;29
1970-08-25;7;46;0;21
1971-08-25;13;59;0;27
1972-08-25;8;47;0;22
1973-08-25;3;51;0;17
1974-08-25;13;43;0;8
1975-08-25;750;3082;3;1250
1976-08-25;0;0;0;0
1977-08-25;0;28;0;13
1978-08-25;0;19;0;28
1979-08-25;0;49;0;20
1980-08-25;2;25;0;24
1981-08-25;5;43;0;23
1982-08-25;2;45;0;27
1983-08-25;10;54;0;23
1984-08-25;4;26;0;24
1985-08-25;7;41;0;31
1986-08-25;5;53;0;38
1987-08-25;6;44;0;40
1988-08-25;16;43;0;10
1989-08-25;2;36;0;10
1990-08-25;6;44;0;11
1991-08-25;7;52;0;23
1992-08-25;21;61;0;7
1993-08-25;0;0;0;0
1994-08-25;25;69;0;8
1995-08-25;8;60;0;14
1996-08-25;8;55;0;22
1997-08-25;1;59;0;16
1998-08-25;22;66;0;1
1999-08-25;10;53;0;20
2000-08-25;24;68;0;19
2001-08-25;23;71;0;4
2002-08-25;17;65;0;12
2003-08-25;41;92;0;21
2004-08-25;10;52;0;15
2005-08-25;16;58;1;11
2006-08-25;28;57;0;23
2007-08-25;21;72;0;0
2008-08-25;13;67;0;5
2009-08-25;13;68;0;16
2010-08-25;26;74;1;27
2011-08-25;16;69;0;17
2012-08-25;29;74;0;16
2013-08-25;33;73;0;12
2014-08-25;12;49;0;4
2015-08-25;36;70;0;3
2016-08-25;14;68;0;10
2017-08-25;27;74;0;11
2018-08-25;23;84;0;5
2019-08-25;31;66;1;6
2020-08-25;20;64;0;0
2021-08-25;28;69;0;10
2022-08-25;37;92;0;6
