year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1964;8.79;13;59;1;39
1965;8.4;9;34;0;26
1966;9.93;5;47;0;22
1967;9.93;18;64;0;15
1968;9.41;11;53;0;27
1969;8.93;10;60;0;47
1970;9.03;7;52;0;31
1971;9.64;22;66;1;29
1972;9.46;11;41;1;25
1973;9.53;11;60;0;14
1974;10.43;11;48;1;0
1975;null;null;null;null;null
1976;null;null;null;null;null
1977;null;null;null;null;null
1978;9.13;2;39;1;22
1979;null;null;null;null;null
1980;8.71;4;32;0;28
1981;10.09;12;59;2;20
1982;9.98;8;69;0;27
1983;10.59;22;76;3;21
1984;9.55;7;40;0;15
1985;8.9;6;51;0;45
1986;9.53;11;64;1;36
1987;9.24;5;55;2;40
1988;10.49;14;55;2;7
1989;10.59;5;49;0;13
1990;10.7;12;56;0;15
1991;9.61;10;56;1;27
1992;11.12;31;75;2;10
1993;10.06;20;67;0;29
1994;11.51;35;87;3;9
1995;10.4;23;68;0;20
1996;8.82;8;49;0;48
1997;9.94;4;65;2;19
1998;10.67;24;65;4;22
1999;10.7;10;60;2;20
2000;11.68;29;83;0;19
2001;10.53;24;68;3;17
2002;11.28;15;77;1;28
2003;10.81;44;109;2;26
2004;10.27;14;60;0;22
2005;10.06;11;70;2;26
2006;10.63;26;63;4;26
2007;11.69;33;86;5;15
2008;11.46;13;79;1;6
2009;11.17;17;83;0;27
2010;10.01;23;61;3;38
2011;11.09;19;83;2;15
2012;11.17;32;89;3;21
2013;10.74;25;68;7;21
2014;11.96;18;64;2;9
2015;12.1;49;85;9;0
2016;11.56;21;94;2;13
2017;11.58;40;90;6;23
2018;12.47;41;114;5;13
2019;12.3;42;89;5;6
2020;11.86;22;85;0;1
2021;11.17;24;83;3;7
2022;null;34;83;4;1
