endDate;heatDays;summerDays;tropicalNights;iceDays
1964-09-19;13;59;1;31
1965-09-19;9;34;0;18
1966-09-19;5;45;0;20
1967-09-19;18;60;0;10
1968-09-19;11;53;0;14
1969-09-19;10;60;0;24
1970-09-19;7;52;0;24
1971-09-19;22;65;1;27
1972-09-19;11;41;1;19
1973-09-19;11;59;0;8
1974-09-19;11;48;1;0
1975-09-19;null;null;null;null
1976-09-19;null;null;null;null
1977-09-19;null;null;null;null
1978-09-19;2;37;1;14
1979-09-19;6;57;0;17
1980-09-19;4;32;0;18
1981-09-19;12;58;2;9
1982-09-19;8;66;0;27
1983-09-19;22;75;3;9
1984-09-19;7;40;0;8
1985-09-19;6;47;0;38
1986-09-19;11;64;1;28
1987-09-19;5;51;2;35
1988-09-19;14;54;2;2
1989-09-19;5;46;0;5
1990-09-19;12;56;0;10
1991-09-19;10;54;1;18
1992-09-19;31;74;2;3
1993-09-19;20;65;0;18
1994-09-19;35;84;3;7
1995-09-19;23;68;0;11
1996-09-19;8;48;0;37
1997-09-19;4;65;2;16
1998-09-19;24;65;4;9
1999-09-19;10;59;2;16
2000-09-19;29;82;0;13
2001-09-19;24;67;3;7
2002-09-19;15;77;1;13
2003-09-19;43;104;2;21
2004-09-19;14;59;0;16
2005-09-19;11;70;2;18
2006-09-19;26;63;4;25
2007-09-19;33;86;5;2
2008-09-19;13;79;1;2
2009-09-19;17;77;0;18
2010-09-19;23;61;3;23
2011-09-19;19;83;2;12
2012-09-19;32;87;3;16
2013-09-19;25;68;7;18
2014-09-19;18;63;2;6
2015-09-19;49;85;9;0
2016-09-19;21;92;2;9
2017-09-19;40;90;6;20
2018-09-19;41;111;5;9
2019-09-19;42;88;5;5
2020-09-19;22;82;0;1
2021-09-19;24;81;3;5
2022-09-19;37;95;4;1
