year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,iceDays,frostDays,snowCoverDays
1952,7.922,871.1,8,28,1,106,17,48
1953,8.578,491.9,1,23,0,106,20,21
1954,7.845,818.0,0,14,0,95,24,11
1955,7.846,668.7,0,16,0,125,22,43
1956,7.314,854.8,0,8,0,110,34,31
1957,8.754,764.7,8,21,0,85,11,8
1958,8.69,902.1,0,18,0,87,8,22
1959,9.679,570.8,6,48,0,89,9,14
1960,8.925,829.9,0,7,0,72,13,24
1961,9.384,922.0,2,21,0,72,14,5
1962,7.636,660.8,1,16,0,96,18,22
1963,7.443,661.0,2,13,0,112,57,63
1964,8.766,608.5,12,40,0,100,22,33
1965,7.985,1199.8,0,8,0,90,16,20
1966,9.07,1114.2,2,17,0,70,12,6
1967,8.957,936.2,0,27,0,91,14,16
1968,8.268,872.2,2,10,0,112,23,26
1969,8.502,660.8,2,36,0,104,28,34
1970,8.477,894.5,0,21,0,98,23,54
1971,8.438,557.2,3,27,0,100,14,34
1972,7.989,718.5,2,14,0,96,12,9
1973,8.541,584.6,8,45,0,115,8,26
1974,9.001,895.4,2,17,0,56,1,4
1975,9.102,654.7,9,32,0,98,3,19
1976,9.213,538.5,18,61,0,98,15,29
1977,8.675,982.0,0,15,0,66,9,23
1978,7.743,741.2,1,12,0,96,20,39
1979,7.847,1057.0,0,16,0,97,24,76
1980,7.839,880.6,0,15,0,93,22,32
1981,8.456,1087.9,1,21,0,95,15,62
1982,8.919,863.1,5,47,0,87,14,30
1983,9.168,832.8,13,54,0,84,17,20
1984,8.273,948.8,4,23,0,94,1,37
1985,7.444,689.5,1,20,0,121,41,61
1986,8.176,894.9,3,33,0,103,27,50
1987,7.806,964.5,1,19,0,106,29,44
1988,9.201,981.9,0,22,0,72,1,25
1989,9.402,903.9,2,39,0,89,7,1
1990,9.47,921.1,7,34,0,73,6,18
1991,8.026,660.4,3,37,0,82,23,24
1992,9.164,850.0,6,36,0,58,4,4
1993,8.576,982.1,0,31,0,77,20,20
1994,9.823,943.4,13,42,1,53,7,10
1995,9.408,905.4,12,45,0,70,13,20
1996,7.578,632.7,1,25,0,103,34,33
1997,9.004,850.1,3,36,0,77,17,26
1998,8.907,803.8,7,24,0,77,7,23
1999,9.559,859.1,3,44,0,66,4,21
2000,9.788,948.5,2,30,0,50,2,5
2001,9.427,1016.6,7,39,0,75,3,13
2002,10.805,763.8,5,21,0,42,12,20
2003,11.425,578.1,16,58,0,64,11,15
2005,12.022,371.5,9,43,0,26,4,11
2006,9.82,687.5,12,49,1,84,11,13
2007,9.952,775.5,5,29,0,57,6,2
2008,8.917,732.6,2,19,0,92,14,4
2009,9.359,739.2,5,40,0,85,17,7
2010,8.167,706.9,9,34,0,109,42,57
2011,9.938,556.8,2,38,0,75,5,14
2012,9.113,880.2,4,29,0,61,19,13
2013,8.697,794.6,11,41,0,103,22,0
2014,10.318,720.4,6,26,0,43,1,0
2015,9.913,670.5,18,49,1,67,4,0
2016,9.365,591.2,11,43,0,76,7,0
2017,9.621,738.3,10,40,0,71,12,0
2018,10.501,652.9,14,83,0,71,12,0
2019,9.648,667.8,12,41,1,76,24,0
2020,10.812,724.4,18,57,1,51,0,0
2021,8.952,789.3,2,32,0,75,7,0
2022,10.977,613.6,22,75,0,54,9,0
2023,11.926,673.5,9,55,0,47,3,0
