year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1947,8.859,673.1,29,64,2,108,55,61
1948,8.816,629.7,4,22,0,85,23,21
1949,9.015,478.4,7,42,0,98,24,39
1950,8.237,809.9,4,32,0,104,39,42
1951,8.549,660.3,4,26,0,89,12,22
1952,7.912,738.7,16,38,2,110,33,82
1953,8.919,461.5,5,47,0,106,28,54
1954,7.565,764.8,5,22,0,100,38,26
1955,7.262,729.1,1,19,0,134,34,74
1956,6.639,749.1,0,19,0,126,51,75
1957,8.484,689.1,11,30,0,98,16,47
1958,8.106,786.7,1,31,0,100,19,59
1959,9.08,498.4,8,58,0,108,17,32
1960,8.384,731.7,3,24,0,105,24,56
1961,8.779,767.1,7,40,0,86,24,46
1962,6.897,614.1,3,28,0,124,34,74
1963,7.127,644.9,6,37,0,119,62,84
1964,8.146,551.4,18,57,0,106,36,44
1965,7.535,897.2,1,18,0,115,27,81
1966,8.829,941.9,1,30,0,87,20,29
1967,8.808,741.9,5,33,0,84,23,45
1968,8.061,719.0,2,25,0,108,36,53
1969,7.879,694.8,6,36,1,116,50,90
1970,7.732,878.5,2,29,0,107,41,92
1971,8.249,588.6,8,37,0,92,27,51
1972,7.669,712.5,7,22,0,92,24,34
1973,7.956,630.5,6,43,0,127,21,65
1974,8.641,815.6,3,15,0,59,2,12
1975,8.747,614.8,5,45,0,81,10,15
1976,8.467,515.4,14,43,0,103,26,45
1977,8.52,893.6,2,21,0,74,14,38
1978,7.54,731.1,1,18,0,100,30,62
1979,7.746,747.7,3,28,0,101,24,68
1980,7.397,737.9,2,18,0,96,39,70
1981,8.057,882.6,3,27,0,111,41,100
1982,8.941,640.9,9,53,0,98,21,38
1983,8.935,741.8,16,65,0,101,26,58
1984,7.801,870.4,3,19,0,101,13,57
1985,7.306,608.5,3,33,0,121,44,78
1986,7.988,888.1,7,41,0,88,36,61
1987,7.241,889.8,1,22,0,104,40,82
1988,9.031,831.8,4,35,0,85,6,46
1989,9.219,792.6,4,47,0,81,18,9
1990,9.202,788.3,8,38,0,70,20,37
1991,8.317,582.7,7,42,1,113,25,37
1992,9.064,655.5,11,50,0,91,14,26
1993,8.368,626.6,5,44,0,101,33,43
1994,9.887,691.7,26,51,0,71,10,6
1995,8.665,906.3,13,47,0,103,28,35
1996,7.144,605.9,2,30,0,121,48,38
1997,8.744,586.7,7,51,0,94,19,29
1998,8.813,881.3,10,31,0,90,23,36
1999,9.173,775.7,5,46,0,85,16,37
2000,9.71,640.6,8,42,0,59,10,17
2001,8.875,824.0,10,38,0,94,17,34
2002,9.415,819.3,9,42,0,78,29,21
2003,9.504,458.4,29,83,1,111,23,0
2004,8.642,766.9,6,32,0,101,24,0
2005,8.41,568.5,8,42,0,114,43,0
2006,9.017,738.8,11,52,1,92,33,0
2007,9.508,822.9,4,36,0,74,11,0
2008,9.223,695.1,11,36,0,88,7,18
2009,8.839,772.0,3,34,0,93,29,55
2010,7.57,769.7,10,34,0,117,58,99
2011,9.348,576.5,4,43,0,96,17,34
2012,8.82,764.7,10,41,0,86,28,53
2013,8.259,712.6,13,38,0,112,33,46
2014,10.04,651.2,7,35,0,68,6,12
2015,9.759,581.2,21,49,1,90,10,36
2016,9.189,641.1,9,50,0,85,18,18
2017,8.978,799.6,7,42,0,83,20,37
2018,10.533,445.6,18,80,2,87,15,37
2019,9.984,622.5,18,53,0,79,7,38
2020,9.949,543.8,11,48,1,78,4,19
2021,8.542,713.1,3,41,0,115,15,54
2022,10.358,606.9,14,71,0,79,10,15
2023,10.393,829.3,12,62,0,69,11,26
2024,4.437,169.5,0,0,0,30,9,10
