year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1937;null;null;null;null;null
1938;null;null;null;null;null
1939;6.47;0;20;0;47
1940;5.82;0;10;0;75
1941;null;null;null;null;null
1942;null;null;null;null;null
1943;null;null;null;null;null
1944;null;null;null;null;null
1945;null;null;null;null;null
1946;null;null;null;null;null
1947;null;null;null;null;null
1948;7.57;0;38;0;25
1949;7.44;4;41;0;20
1950;7.23;8;53;0;39
1951;null;null;null;null;null
1952;null;null;null;null;null
1953;null;null;null;null;null
1954;null;null;null;null;null
1955;null;null;null;null;null
1956;null;null;null;null;null
1957;null;null;null;null;null
1958;6.74;6;43;0;22
1959;7.12;2;28;0;20
1960;6.66;3;28;0;31
1961;7.61;1;44;0;31
1962;5.56;4;39;0;44
1963;5.83;4;34;0;50
1964;6.61;3;40;0;29
1965;5.66;5;24;0;47
1966;6.74;2;28;0;41
1967;6.72;3;32;0;29
1968;6.06;4;24;0;29
1969;6.07;4;34;0;50
1970;5.94;1;35;0;39
1971;6.91;6;35;0;32
1972;6.71;6;27;0;20
1973;null;null;null;null;null
1974;null;null;null;null;null
1975;null;null;null;null;null
1976;null;null;null;null;null
1977;null;null;null;null;null
1978;null;null;null;null;null
1979;7.19;1;41;0;28
1980;6.48;4;33;0;45
1981;7.07;5;38;0;54
1982;7.89;2;51;0;24
1983;7.94;11;57;0;32
1984;7.07;6;26;0;29
1985;7.11;10;48;0;41
1986;7.6;5;53;0;35
1987;7.37;7;44;0;31
1988;7.81;3;35;0;19
1989;7.84;1;23;0;15
1990;7.84;4;38;0;28
1991;7.13;5;41;0;36
1992;8.03;14;53;0;23
1993;7.71;5;45;0;35
1994;8.98;17;57;0;16
1995;7.52;7;41;0;30
1996;7.16;4;34;0;23
1997;8.29;0;48;0;9
1998;8.09;12;48;0;26
1999;7.96;4;40;0;31
2000;8.77;12;60;0;20
2001;7.9;8;43;0;33
2002;8.73;8;43;0;15
2003;8.53;26;80;0;34
2004;7.73;2;47;0;35
2005;7.34;12;44;0;62
2006;8.03;12;58;0;43
2007;9.03;8;56;0;14
2008;8.92;9;59;0;8
2009;8.84;9;55;0;30
2010;8.12;16;48;0;45
2011;9.55;17;61;0;16
2012;8.76;17;62;0;29
2013;8.66;19;58;0;28
2014;null;null;null;null;null
2015;9.3;26;60;0;14
2016;8.85;7;49;0;9
2017;8.59;9;61;0;29
2018;9.63;8;71;0;24
2019;9.18;18;61;0;19
2020;9.16;7;49;0;6
2021;8.31;10;51;0;35
2022;null;12;58;0;7
