year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1994,10.421,711.0,21,46,2,54,9,8
1995,9.734,487.0,17,53,0,85,20,28
1996,7.567,436.2,3,30,0,118,50,49
1997,9.659,482.8,10,58,0,78,14,33
1998,9.953,598.1,8,36,0,68,15,16
1999,10.433,512.5,5,51,0,75,4,24
2000,10.735,454.3,8,41,0,44,7,15
2001,9.696,627.1,9,36,0,75,13,26
2002,9.942,701.2,7,44,0,59,16,9
2003,9.843,429.1,24,66,1,93,15,19
2004,9.716,536.7,5,39,0,80,10,24
2005,9.877,537.8,12,55,0,87,14,31
2006,10.427,456.8,23,68,1,84,20,20
2007,10.827,716.5,11,51,0,47,8,5
2008,10.494,512.2,14,55,0,53,7,9
2009,8.807,533.4,5,46,0,86,31,32
2010,8.374,838.9,14,43,1,102,57,95
2011,10.415,507.8,6,57,0,80,12,11
2012,9.945,530.6,12,50,0,67,25,32
2013,9.559,727.4,14,53,0,101,20,53
2014,11.103,539.7,13,45,0,55,13,16
2015,10.873,527.4,24,53,1,62,1,6
2016,10.67,364.0,19,76,0,71,9,15
2017,10.656,493.7,11,51,0,63,13,13
2018,11.463,301.2,42,107,1,74,8,12
2019,11.396,463.9,25,78,1,55,4,5
2020,11.454,438.1,16,64,1,42,0,0
2021,10.081,588.0,9,54,0,72,13,29
2022,9.323,282.7,27,74,1,113,59,15
2023,12.799,394.5,17,74,1,41,2,5
