endDate;heatDays;summerDays;tropicalNights;iceDays
1901-01-22;0;0;0;18
1902-01-22;0;0;0;1
1903-01-22;0;0;0;9
1904-01-22;0;0;0;8
1905-01-22;0;0;0;10
1906-01-22;0;0;0;4
1907-01-22;0;0;0;1
1908-01-22;0;0;0;14
1909-01-22;0;0;0;13
1910-01-22;0;0;0;3
1911-01-22;0;0;0;15
1912-01-22;0;0;0;7
1913-01-22;0;0;0;11
1914-01-22;0;0;0;13
1915-01-22;0;0;0;3
1916-01-22;0;0;0;0
1917-01-22;0;0;0;4
1918-01-22;0;0;0;6
1919-01-22;0;0;0;1
1920-01-22;0;0;0;0
1921-01-22;0;0;0;2
1922-01-22;null;null;null;null
1923-01-22;0;0;0;5
1924-01-22;0;0;0;10
1925-01-22;0;0;0;3
1926-01-22;0;0;0;8
1927-01-22;0;0;0;1
1928-01-22;0;0;0;3
1929-01-22;0;0;0;18
1930-01-22;0;0;0;0
1931-01-22;0;0;0;7
1932-01-22;0;0;0;5
1933-01-22;0;0;0;10
1934-01-22;0;0;0;3
1935-01-22;0;0;0;13
1936-01-22;0;0;0;2
1937-01-22;0;0;0;3
1938-01-22;0;0;0;7
1939-01-22;0;0;0;2
1940-01-22;0;0;0;21
1941-01-22;0;0;0;16
1942-01-22;0;0;0;14
1943-01-22;0;0;0;6
1944-01-22;0;0;0;4
1945-01-22;0;0;0;19
1946-01-22;null;null;null;null
1947-01-22;0;0;0;9
1948-01-22;0;0;0;3
1949-01-22;0;0;0;8
1950-01-22;0;0;0;4
1951-01-22;0;0;0;2
1952-01-22;0;0;0;4
1953-01-22;0;0;0;16
1954-01-22;0;0;0;11
1955-01-22;0;0;0;8
1956-01-22;0;0;0;1
1957-01-22;0;0;0;8
1958-01-22;0;0;0;2
1959-01-22;0;0;0;8
1960-01-22;0;0;0;10
1961-01-22;0;0;0;7
1962-01-22;0;0;0;4
1963-01-22;0;0;0;13
1964-01-22;0;0;0;15
1965-01-22;0;0;0;6
1966-01-22;0;0;0;16
1967-01-22;0;0;0;9
1968-01-22;0;0;0;10
1969-01-22;0;0;0;8
1970-01-22;0;0;0;10
1971-01-22;0;0;0;12
1972-01-22;0;0;0;6
1973-01-22;0;0;0;5
1974-01-22;0;0;0;2
1975-01-22;0;0;0;1
1976-01-22;0;0;0;0
1977-01-22;0;0;0;3
1978-01-22;0;0;0;4
1979-01-22;0;0;0;14
1980-01-22;0;0;0;15
1981-01-22;0;0;0;10
1982-01-22;0;0;0;11
1983-01-22;0;0;0;0
1984-01-22;0;0;0;1
1985-01-22;0;0;0;19
1986-01-22;0;0;0;4
1987-01-22;0;0;0;15
1988-01-22;0;0;0;0
1989-01-22;0;0;0;1
1990-01-22;0;0;0;2
1991-01-22;0;0;0;0
1992-01-22;0;0;0;1
1993-01-22;0;0;0;3
1994-01-22;0;0;0;1
1995-01-22;0;0;0;9
1996-01-22;0;0;0;14
1997-01-22;0;0;0;16
1998-01-22;0;0;0;0
1999-01-22;0;0;0;2
2000-01-22;0;0;0;2
2001-01-22;0;0;0;7
2002-01-22;0;0;0;15
2003-01-22;0;0;0;8
2004-01-22;0;0;0;3
2005-01-22;0;0;0;0
2006-01-22;0;0;0;11
2007-01-22;0;0;0;0
2008-01-22;0;0;0;2
2009-01-22;0;0;0;15
2010-01-22;0;0;0;11
2011-01-22;0;0;0;3
2012-01-22;0;0;0;2
2013-01-22;0;0;0;10
2014-01-22;0;0;0;0
2015-01-22;0;0;0;0
2016-01-22;0;0;0;4
2017-01-22;0;0;0;12
2018-01-22;0;0;0;0
2019-01-22;0;0;0;5
2020-01-22;0;0;0;1
2021-01-22;0;0;0;8
2022-01-22;0;0;0;0
2023-01-22;0;0;0;2
