date;Biomass;Fossil Gas;Fossil Oil;Hydro Pumped Storage;Hydro Run-of-river and poundage;Hydro Water Reservoir;Waste;Solar;Wind Onshore
2021-01-01T00:00:00+00:00;17280;177455;0;25321;180630;16789;9500;2532;4028
2021-01-02T00:00:00+00:00;17460;188298;0;30046;173399;21126;9600;2428;78212
2021-01-03T00:00:00+00:00;17460;172400;0;6277;164264;17116;9600;1724;87996
2021-01-04T00:00:00+00:00;17452;176335;0;93661;174891;46105;9600;1344;4444
2021-01-05T00:00:00+00:00;17024;213327;0;102497;186369;49729;9600;1992;11564
2021-01-06T00:00:00+00:00;17592;182308;0;59988;186714;40839;9600;2080;36252
2021-01-07T00:00:00+00:00;17628;185596;0;133798;178822;76519;9600;3156;39592
2021-01-08T00:00:00+00:00;17592;193874;0;137711;185332;75117;9600;2556;10888
2021-01-09T00:00:00+00:00;17584;184528;0;49176;179262;43484;9600;3188;18668
2021-01-10T00:00:00+00:00;17548;182370;0;29380;156773;25021;9600;2424;10460
2021-01-11T00:00:00+00:00;17612;181507;0;63630;155581;42211;9600;3668;45416
2021-01-12T00:00:00+00:00;17836;230456;0;102442;161616;33007;9600;2072;50332
2021-01-13T00:00:00+00:00;17724;204831;0;43298;162864;24862;9600;2984;193836
2021-01-14T00:00:00+00:00;17664;186004;0;78223;170066;50601;9600;2124;178916
2021-01-15T00:00:00+00:00;17664;186436;0;158317;172769;70996;9600;2372;81536
2021-01-16T00:00:00+00:00;17808;177460;0;18948;162889;26805;9600;2528;145876
2021-01-17T00:00:00+00:00;17780;193466;0;31313;151469;23198;9600;2492;76204
2021-01-18T00:00:00+00:00;17656;240629;0;100717;159743;44575;9600;1760;31804
2021-01-19T00:00:00+00:00;17916;206017;0;91796;166248;40897;9600;3124;98424
2021-01-20T00:00:00+00:00;18036;188015;0;34397;169725;24401;9600;5196;94896
2021-01-21T00:00:00+00:00;17664;178060;0;56332;162464;25859;9600;4380;75796
2021-01-22T00:00:00+00:00;17620;174699;0;45765;162825;28463;9600;4768;203288
2021-01-23T00:00:00+00:00;17532;157781;0;9827;194573;19525;9600;1688;128140
2021-01-24T00:00:00+00:00;17652;164940;0;10101;203362;19617;9600;3708;74976
2021-01-25T00:00:00+00:00;17268;174939;0;97509;201036;49432;9600;3936;87536
2021-01-26T00:00:00+00:00;16984;180502;0;116578;199328;51683;9600;3252;135896
2021-01-27T00:00:00+00:00;17648;220313;0;96861;190086;38972;9600;3660;81652
2021-01-28T00:00:00+00:00;17496;211676;0;41624;195540;27480;9600;2776;36864
2021-01-29T00:00:00+00:00;17664;204785;0;7234;319976;26710;9600;1808;97712
2021-01-30T00:00:00+00:00;17660;145384;0;15154;332334;34959;9600;4300;162128
2021-01-31T00:00:00+00:00;17532;161199;0;13074;329290;18310;9600;1628;11036
2021-02-01T00:00:00+00:00;17572;175845;0;109303;319254;39398;9600;5832;54648
2021-02-02T00:00:00+00:00;17268;185262;0;83834;319796;30922;9600;4732;55424
2021-02-03T00:00:00+00:00;17616;158603;0;33903;327783;31416;9600;3700;63580
2021-02-04T00:00:00+00:00;17292;159335;0;86260;329529;34825;9600;7932;147268
2021-02-05T00:00:00+00:00;17624;172763;0;72931;336707;35028;9600;6708;11916
2021-02-06T00:00:00+00:00;17284;124525;0;8811;337506;24183;9600;4576;28060
2021-02-07T00:00:00+00:00;17288;70841;0;25745;347126;17335;9600;2340;64760
2021-02-08T00:00:00+00:00;17292;176132;0;143536;348688;69923;9600;2772;32260
2021-02-09T00:00:00+00:00;17588;196540;0;152004;339901;64325;9600;2724;11084
2021-02-10T00:00:00+00:00;17524;196254;0;148072;327021;70705;9600;1424;67376
2021-02-11T00:00:00+00:00;17556;196133;0;100083;307143;53733;9600;3868;222436
2021-02-12T00:00:00+00:00;17280;248839;0;86428;284693;33525;9600;5500;86152
2021-02-13T00:00:00+00:00;17368;196274;0;35477;254913;23066;9600;5836;104832
2021-02-14T00:00:00+00:00;17504;185582;0;6955;231423;10608;9600;6592;143196
2021-02-15T00:00:00+00:00;17372;210004;0;60681;222453;31245;9600;6636;25136
2021-02-16T00:00:00+00:00;17504;202880;0;77945;232365;26441;9600;2036;38004
2021-02-17T00:00:00+00:00;17356;198879;0;50869;241614;32134;9600;5564;96412
2021-02-18T00:00:00+00:00;17280;176438;0;39152;256311;32026;9600;8188;49788
2021-02-19T00:00:00+00:00;17280;143281;0;58997;258086;27239;9600;6576;37664
2021-02-20T00:00:00+00:00;17336;127407;0;22229;244457;19719;9600;7944;40204
