endDate;heatDays;summerDays;tropicalNights;iceDays
1950-08-27;7;37;0;18
1951-08-27;1;25;0;8
1952-08-27;7;30;0;20
1953-08-27;1;24;0;22
1954-08-27;1;19;0;36
1955-08-27;0;14;0;26
1956-08-27;0;27;0;39
1957-08-27;7;29;0;10
1958-08-27;3;28;0;16
1959-08-27;2;13;0;15
1960-08-27;0;17;0;20
1961-08-27;3;25;0;11
1962-08-27;3;29;0;23
1963-08-27;5;33;0;43
1964-08-27;1;29;0;26
1965-08-27;3;16;0;27
1966-08-27;1;16;0;20
1967-08-27;4;31;0;14
1968-08-27;2;28;0;12
1969-08-27;3;40;0;14
1970-08-27;1;27;0;10
1971-08-27;4;34;0;20
1972-08-27;null;null;null;null
1973-08-27;null;null;null;null
1974-08-27;null;null;null;null
1975-08-27;0;24;0;0
1976-08-27;4;27;0;14
1977-08-27;0;20;0;8
1978-08-27;0;15;0;12
1979-08-27;0;18;0;22
1980-08-27;2;17;0;22
1981-08-27;1;27;0;19
1982-08-27;1;22;0;30
1983-08-27;6;47;0;13
1984-08-27;2;14;0;16
1985-08-27;3;27;0;33
1986-08-27;4;31;1;39
1987-08-27;0;28;0;35
1988-08-27;6;29;0;4
1989-08-27;0;16;0;3
1990-08-27;1;28;0;6
1991-08-27;1;25;0;20
1992-08-27;13;39;0;10
1993-08-27;3;34;0;22
1994-08-27;12;52;0;7
1995-08-27;2;35;0;13
1996-08-27;0;24;0;34
1997-08-27;0;23;0;14
1998-08-27;9;43;0;11
1999-08-27;3;22;0;13
2000-08-27;10;45;0;14
2001-08-27;3;42;0;15
2002-08-27;6;37;0;8
2003-08-27;20;62;0;29
2004-08-27;3;33;0;21
2005-08-27;5;31;1;26
2006-08-27;5;39;0;32
2007-08-27;9;54;0;3
2008-08-27;1;37;0;4
2009-08-27;5;38;0;22
2010-08-27;12;37;0;39
2011-08-27;7;39;0;21
2012-08-27;16;51;0;22
2013-08-27;16;46;0;24
2014-08-27;4;30;0;10
2015-08-27;21;46;2;4
2016-08-27;5;39;0;9
2017-08-27;16;57;1;19
2018-08-27;6;55;0;19
2019-08-27;13;59;1;11
2020-08-27;4;36;0;1
2021-08-27;7;47;0;9
2022-08-27;17;59;0;2
