year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1947,9.662,510.8,34,84,2,98,42,53
1948,9.725,622.3,12,32,0,74,16,8
1949,10.03,409.7,12,59,0,82,7,3
1950,9.431,772.2,11,47,0,83,20,16
1951,9.651,578.3,5,39,1,71,3,10
1952,9.224,655.6,15,43,1,99,11,22
1953,9.865,408.3,13,49,0,86,10,40
1954,8.847,591.5,6,27,0,86,25,13
1955,8.441,618.8,3,33,0,120,23,54
1956,7.966,627.3,0,16,0,95,38,47
1957,9.551,606.8,9,32,1,67,10,5
1958,9.299,718.1,0,33,0,71,10,29
1959,10.07,382.4,12,64,0,72,7,14
1960,9.378,748.3,0,17,0,60,13,21
1961,9.788,748.2,2,28,0,56,16,16
1962,8.154,489.1,3,29,0,92,25,26
1963,7.998,529.8,6,30,0,106,60,80
1964,9.345,422.4,17,50,1,84,24,12
1965,8.707,845.5,0,18,0,84,14,26
1966,9.635,717.9,4,31,0,60,15,13
1967,9.785,623.5,7,37,0,65,12,12
1968,8.963,727.0,2,24,0,90,22,35
1969,8.767,664.2,11,42,1,101,38,50
1970,8.902,728.8,4,37,0,88,28,54
1971,9.506,404.4,10,53,0,72,20,21
1972,8.754,525.6,5,22,1,78,16,5
1973,9.385,462.5,6,44,1,83,12,12
1974,9.824,626.3,3,21,0,28,0,0
1975,6.219,302.9,9,38,0,176,155,0
1976,9.844,327.8,15,54,1,84,19,19
1977,9.64,649.2,1,20,0,56,7,11
1978,8.623,548.7,2,20,0,69,19,20
1979,8.313,722.8,2,24,0,96,24,61
1980,8.351,631.7,1,17,0,79,22,22
1981,8.759,939.7,0,22,0,90,26,67
1982,9.395,570.7,8,54,0,68,18,29
1983,9.517,706.6,8,52,0,76,16,34
1984,8.701,808.7,5,21,0,73,2,18
1985,8.042,584.4,2,25,0,101,43,63
1986,8.761,674.1,4,43,1,72,28,55
1987,8.317,785.2,2,22,1,86,28,50
1988,9.808,701.2,2,29,0,50,3,18
1989,9.978,614.0,4,45,0,60,7,1
1990,10.087,653.2,9,41,0,49,4,16
1991,8.929,442.3,8,41,0,92,21,28
1992,9.867,650.7,8,42,0,63,10,0
1993,9.318,679.4,2,41,0,77,23,13
1994,10.687,665.7,24,57,1,51,2,7
1995,9.879,713.5,18,57,0,76,13,10
1996,8.198,580.3,5,34,0,97,29,13
1997,9.774,474.0,10,55,0,74,18,31
1998,9.93,612.0,13,40,0,67,11,8
1999,10.488,507.7,13,58,0,54,5,7
2000,10.627,673.6,8,47,0,43,5,4
2001,3.607,218.8,0,0,0,43,2,6
2004,5.624,117.7,0,0,0,27,6,0
2005,10.476,566.7,17,54,0,71,10,18
2006,10.885,495.8,20,71,3,72,14,13
2007,11.132,615.0,8,48,0,43,7,2
2008,10.662,522.2,13,59,0,63,2,6
2009,10.38,602.5,11,54,0,73,17,12
2010,9.32,625.2,17,51,2,100,43,52
2011,10.849,523.5,6,65,0,69,6,7
2012,10.367,585.3,11,54,0,57,17,9
2013,10.033,631.7,19,57,1,85,18,29
2014,11.582,669.2,11,54,0,42,1,0
2015,11.362,419.6,30,66,3,53,1,0
2016,10.769,541.5,16,69,1,59,8,0
2017,10.885,702.3,15,63,0,57,5,0
2018,11.957,459.0,43,105,5,65,8,0
2019,11.376,571.6,25,75,2,59,4,0
2020,11.709,528.5,21,78,2,38,1,0
2021,10.284,589.5,8,52,1,57,5,0
2022,12.024,617.9,36,89,0,43,7,0
2023,11.998,727.9,21,84,2,42,1,0
2024,4.884,125.7,0,0,0,20,6,0
