year,averageTemperature,totalPrecipitation,heatDays,summerDays,tropicalNights,frostDays,iceDays,snowCoverDays
1953,1.909,40.0,0,0,0,69,33,17
1954,-1.224,44.2,0,0,0,69,29,19
1955,-1.328,57.8,0,0,0,78,24,36
1956,-2.183,64.6,0,0,0,62,31,31
1957,3.769,122.3,0,0,0,37,6,8
1958,0.769,115.4,0,0,0,61,5,39
1959,2.383,52.5,0,0,0,49,9,13
1960,1.498,66.6,0,0,0,50,19,23
1961,3.633,122.9,0,0,0,35,6,7
1962,1.6,103.5,0,0,0,52,12,5
1963,-3.867,35.9,0,0,0,73,46,66
1964,-1.11,63.8,0,0,0,70,21,22
1965,1.186,110.9,0,0,0,57,10,26
1966,0.922,129.1,0,0,0,48,28,41
1967,3.864,134.0,0,0,0,27,7,8
1968,1.731,100.8,0,0,0,50,9,25
1969,-0.741,108.9,0,0,0,68,25,38
1970,-1.795,147.1,0,0,0,71,32,74
1971,0.852,53.9,0,0,0,48,17,30
1972,1.601,32.7,0,0,0,50,16,7
1973,2.68,57.6,0,0,0,37,3,3
1974,4.675,72.9,0,0,0,32,1,0
1975,3.845,67.6,0,0,0,35,1,2
1976,1.16,109.1,0,0,0,56,14,29
1977,3.392,151.7,0,0,0,36,12,13
1978,2.072,92.5,0,0,0,48,15,24
1979,-1.808,130.3,0,0,0,75,30,67
1980,-0.116,72.5,0,0,0,69,23,34
1981,2.197,150.1,0,0,0,48,9,0
1982,0.311,97.4,0,0,0,55,21,0
1983,2.955,119.7,0,0,0,37,8,0
1984,1.388,92.4,0,0,0,52,7,0
1985,-1.685,67.6,0,0,0,61,31,0
1986,-1.361,101.2,0,0,0,53,36,0
1987,-3.007,103.7,0,0,0,66,34,0
1988,3.16,167.9,0,0,0,33,0,0
1989,4.899,72.9,0,0,0,28,0,0
1990,5.713,115.6,0,0,0,18,3,0
1991,2.312,71.8,0,0,0,47,15,19
1992,3.229,145.6,0,0,0,37,7,5
1993,2.078,62.6,0,0,0,52,10,7
1994,2.673,161.7,0,0,0,35,10,0
1995,2.855,155.1,0,0,0,46,6,0
1996,-2.407,26.1,0,0,0,80,39,0
1997,1.938,81.4,0,0,0,50,12,0
1998,4.251,95.0,0,0,0,37,6,0
1999,3.053,122.7,0,0,0,39,7,0
2000,3.669,144.4,0,0,0,36,4,0
2001,1.577,96.2,0,0,0,57,11,0
2002,3.908,91.3,0,0,0,37,9,0
2003,0.59,83.5,0,0,0,66,21,0
2004,2.246,126.5,0,0,0,56,12,0
2005,2.173,111.5,0,0,0,55,14,0
2006,-1.002,95.7,0,0,0,73,28,0
2007,5.464,171.4,0,0,0,30,4,0
2008,4.394,134.4,0,0,0,39,2,0
2009,1.297,96.9,0,0,0,58,13,13
2010,-0.373,75.3,0,0,0,70,35,56
2011,2.058,63.8,0,0,0,56,11,6
2012,2.344,113.5,0,0,0,45,19,17
2013,-0.461,116.5,0,0,0,70,27,59
2014,4.073,59.9,0,0,0,44,10,11
2015,3.352,87.2,0,0,0,47,2,7
2016,2.576,105.0,0,0,0,48,10,10
2017,2.584,119.2,0,0,0,58,14,15
2018,1.408,93.8,0,0,0,60,10,3
2019,4.366,119.8,0,0,0,34,4,0
2020,5.503,121.9,0,0,0,31,0,0
2021,2.166,96.9,0,0,0,47,13,19
2022,4.743,66.2,0,0,0,45,0,0
2023,4.48,132.7,0,0,0,37,0,2
2024,5.168,154.9,0,0,0,41,6,5
