year,month,averageTemperature,totalPrecipitation,averageSnowCover
1885,1,-3.981,17.4,0.0
1885,2,3.404,55.2,0.0
1885,3,2.484,38.6,0.0
1885,4,8.87,32.2,0.0
1885,5,8.865,41.3,0.0
1885,6,15.78,31.1,0.0
1885,7,16.177,41.8,0.0
1885,8,13.716,41.3,0.0
1885,9,12.42,64.3,0.0
1885,10,7.297,99.3,0.0
1885,11,2.217,61.5,0.0
1885,12,-0.571,26.0,0.0
1886,1,-1.342,61.7,0.0
1886,2,-3.246,19.2,0.0
1886,3,0.119,46.6,0.0
1886,4,8.967,26.0,0.0
1886,5,12.087,90.7,0.0
1886,6,13.737,80.3,0.0
1886,7,15.997,86.3,0.0
1886,8,16.165,19.1,0.0
1886,9,14.4,39.6,0.0
1886,10,9.3,81.7,0.0
1886,11,4.857,62.9,0.0
1886,12,0.826,131.3,232.0
1887,1,-5.658,6.1,0.0
1887,2,-0.286,25.1,33.0
1887,3,1.31,80.7,33.0
1887,4,6.927,36.1,0.0
1887,5,10.139,97.1,0.0
1887,6,15.163,31.2,0.0
1887,7,19.023,97.7,0.0
1887,8,14.819,46.8,0.0
1887,9,10.98,70.5,0.0
1887,10,5.077,39.5,0.0
1887,11,1.887,36.6,91.0
1887,12,-1.406,101.1,186.0
1888,1,-2.465,46.4,227.0
1888,2,-2.638,26.7,111.0
1888,3,1.242,77.5,197.0
1888,4,6.307,27.2,4.0
1888,5,12.345,21.8,0.0
1888,6,16.027,91.2,0.0
1888,7,14.629,144.1,0.0
1888,8,14.713,55.0,0.0
1888,9,11.91,42.3,0.0
1888,10,6.19,56.2,0.0
1888,11,3.023,34.1,0.0
1888,12,-0.055,20.2,0.0
1889,1,-2.497,8.3,3.0
1889,2,-3.3,42.9,364.0
1889,3,0.297,45.7,92.0
1889,4,7.703,60.2,0.0
1889,5,15.558,147.5,0.0
1889,6,18.97,33.0,0.0
1889,7,16.426,86.0,0.0
1889,8,15.229,68.6,0.0
1889,9,11.127,58.8,0.0
1889,10,7.755,43.9,0.0
1889,11,2.137,33.4,11.0
1889,12,-1.558,31.7,63.0
1890,1,2.171,93.1,15.0
1890,2,-1.896,0.0,25.0
1890,3,4.103,31.3,9.0
1890,4,6.43,44.7,0.0
1890,5,14.119,51.9,0.0
1890,6,13.847,65.2,0.0
1890,7,15.277,64.3,0.0
1890,8,16.771,80.5,0.0
1890,9,12.7,14.5,0.0
1890,10,6.748,73.0,0.0
1890,11,2.89,89.7,31.0
1890,12,-6.413,3.2,47.0
1891,1,-4.897,52.1,275.0
1891,2,-0.764,2.1,7.0
1891,3,2.79,67.5,19.0
1891,4,5.197,53.8,0.0
1891,5,12.739,80.2,0.0
1891,6,14.633,141.9,0.0
1891,7,16.0,93.7,0.0
1891,8,14.461,58.4,0.0
1891,9,12.863,47.0,0.0
1891,10,9.635,49.5,0.0
1891,11,2.803,25.9,0.0
1891,12,1.606,100.2,0.0
1892,1,-2.006,31.5,130.0
1892,2,0.741,40.3,63.0
1892,3,0.9,21.9,1.0
1892,4,6.967,19.4,0.0
1892,5,12.006,48.3,0.0
1892,6,14.923,65.5,0.0
1892,7,15.626,82.5,0.0
1892,8,18.187,31.0,0.0
1892,9,13.327,100.5,0.0
1892,10,6.932,75.0,0.0
1892,11,2.917,19.4,0.0
1892,12,-2.529,40.5,47.0
1893,1,-8.168,51.0,283.0
1893,2,2.657,53.7,2.0
1893,3,4.587,18.1,1.0
1893,4,8.073,1.4,0.0
1893,5,10.3,17.6,0.0
1893,6,15.727,19.2,0.0
1893,7,17.287,123.4,0.0
1893,8,16.461,46.5,0.0
1893,9,12.11,68.4,0.0
1893,10,9.387,92.3,0.0
1893,11,1.607,54.7,33.0
1893,12,-0.329,41.0,22.0
1894,1,-2.155,35.5,44.0
1894,2,1.964,43.3,0.0
1894,3,5.068,31.1,0.0
1894,4,9.963,15.3,0.0
1894,5,11.174,29.3,0.0
1894,6,14.737,61.5,0.0
1894,7,17.665,143.6,0.0
1894,8,15.768,76.9,0.0
1894,9,10.89,95.0,0.0
1894,10,8.277,117.8,0.0
1894,11,4.97,33.6,0.0
1894,12,0.458,48.2,28.0
1895,1,-4.377,36.5,518.0
1895,2,-8.043,25.7,876.0
1895,3,1.071,49.2,134.0
1895,4,8.873,59.8,0.0
1895,5,12.377,58.3,0.0
1895,6,16.097,26.3,0.0
1895,7,17.613,69.8,0.0
1895,8,16.406,70.1,0.0
1895,9,15.117,9.1,0.0
1895,10,7.074,70.1,0.0
1895,11,5.55,88.2,0.0
1895,12,-0.235,101.1,61.0
1896,1,-0.387,34.8,22.0
1896,2,-0.272,1.2,0.0
1896,3,6.329,69.0,0.0
1896,4,6.607,85.9,0.0
1896,5,11.565,17.6,0.0
1896,6,17.063,163.0,0.0
1896,7,17.319,73.7,0.0
1896,8,14.197,141.4,0.0
1896,9,12.753,56.1,0.0
1896,10,8.71,74.1,0.0
1896,11,1.317,22.6,0.0
1896,12,0.342,24.1,27.0
1897,1,-2.448,21.6,202.0
1897,2,2.036,26.0,129.0
1897,3,5.942,36.2,0.0
1897,4,7.7,55.6,0.0
1897,5,10.945,96.6,0.0
1897,6,16.883,84.5,0.0
1897,7,17.348,44.5,0.0
1897,8,17.016,106.6,0.0
1897,9,12.273,74.1,0.0
1897,10,7.255,31.2,0.0
1897,11,2.463,28.7,0.0
1897,12,1.442,23.9,0.0
1898,1,1.826,34.0,0.0
1898,2,1.8,39.7,24.0
1898,3,3.558,35.2,6.0
1898,4,7.857,69.4,0.0
1898,5,11.484,176.8,0.0
1898,6,15.307,58.2,0.0
1898,7,14.781,97.2,0.0
1898,8,18.403,45.8,0.0
1898,9,13.13,20.8,0.0
1898,10,9.558,48.5,0.0
1898,11,4.493,14.1,0.0
1898,12,3.355,42.5,0.0
1899,1,2.529,91.3,1.0
1899,2,2.179,29.1,5.0
1899,3,2.755,17.5,0.0
1899,4,7.5,91.6,0.0
1899,5,11.358,36.6,0.0
1899,6,15.013,56.6,0.0
1899,7,17.223,84.2,0.0
1899,8,17.11,76.8,0.0
1899,9,12.433,93.5,0.0
1899,10,7.374,30.8,0.0
1899,11,6.393,29.1,0.0
1899,12,-3.368,38.8,85.0
1900,1,1.306,63.2,45.0
1900,2,1.543,52.0,29.0
1900,3,1.071,24.7,25.0
1900,4,7.003,51.3,0.0
1900,5,10.955,68.5,0.0
1900,6,16.153,92.7,0.0
1900,7,18.577,92.6,0.0
1900,8,6.765,73.4,0.0
1900,9,13.237,36.7,0.0
1900,10,8.503,93.0,0.0
1900,11,5.09,46.2,0.0
1900,12,3.126,74.6,0.0
1901,1,-5.519,48.2,71.0
1901,2,-4.936,32.4,462.0
1901,3,2.877,71.4,18.0
1901,4,8.573,65.5,0.0
1901,5,13.284,31.2,0.0
1901,6,16.0,68.6,0.0
1901,7,17.829,103.4,0.0
1901,8,16.229,86.4,0.0
1901,9,13.31,79.2,0.0
1901,10,8.603,72.2,0.0
1901,11,2.833,39.3,4.0
1901,12,0.9,37.5,91.0
1902,1,3.135,62.1,3.0
1902,2,-0.432,36.3,42.0
1902,3,4.206,60.4,7.0
1902,4,9.17,12.1,0.0
1902,5,8.668,89.9,0.0
1902,6,15.583,65.1,0.0
1902,7,16.013,28.5,0.0
1902,8,14.739,89.5,0.0
1902,9,12.213,49.3,0.0
1902,10,7.052,47.2,0.0
1902,11,1.273,7.0,0.0
1902,12,-2.913,99.2,80.0
1903,1,0.31,43.8,7.0
1903,2,3.868,17.3,2.0
1903,3,5.89,33.3,0.0
1903,4,4.717,59.5,0.0
1903,5,12.829,29.0,0.0
1903,6,14.79,25.0,0.0
1903,7,16.174,108.9,0.0
1903,8,15.913,75.4,0.0
1903,9,13.757,52.0,0.0
1903,10,9.997,76.6,0.0
1903,11,4.73,83.9,5.0
1903,12,-0.803,14.1,26.0
1904,1,-2.029,19.7,25.0
1904,2,1.407,66.5,9.0
1904,3,3.303,24.2,6.0
1904,4,9.493,36.2,0.0
1904,5,12.987,85.4,0.0
1904,6,15.577,39.1,0.0
1904,7,18.913,70.8,0.0
1904,8,7.258,32.1,0.0
1904,9,11.82,74.9,0.0
1904,10,8.474,54.4,0.0
1904,11,3.25,49.9,5.0
1904,12,2.223,46.6,3.0
1905,1,-2.477,49.4,50.0
