year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1937;8.73;10;57;0;32
1938;8.52;10;52;0;27
1939;8.36;10;57;0;41
1940;7.09;1;30;0;63
1941;7.76;9;40;0;43
1942;8.5;9;63;0;53
1943;9.4;13;58;0;28
1944;7.88;19;48;0;42
1945;8.95;23;71;0;43
1946;9.11;13;61;0;34
1947;9.55;37;77;0;47
1948;9.21;9;41;0;28
1949;9.22;12;52;0;26
1950;9.09;19;69;0;33
1951;9.15;13;57;0;20
1952;7.99;14;53;0;60
1953;8.87;12;48;0;45
1954;7.58;2;35;0;43
1955;7.75;1;31;0;32
1956;6.87;4;34;0;62
1957;8.72;10;35;0;26
1958;8.33;6;52;0;35
1959;9.04;4;39;0;21
1960;8.42;3;36;0;33
1961;9.11;6;45;0;34
1962;7.15;6;34;0;52
1963;7.55;6;39;0;66
1964;8.04;5;43;0;53
1965;7.49;5;24;0;43
1966;8.27;2;35;0;42
1967;8.35;6;41;0;40
1968;7.92;6;32;0;40
1969;8.03;7;43;0;57
1970;7.59;1;39;0;43
1971;8.38;9;47;0;42
1972;8.33;7;35;0;39
1973;7.91;3;47;0;41
1974;8.76;4;37;0;10
1975;8.61;0;47;0;35
1976;8.45;8;45;0;31
1977;8.87;1;26;0;37
1978;7.79;0;26;0;44
1979;8.33;2;34;0;33
1980;7.62;5;25;0;49
1981;8.28;8;41;0;54
1982;9.58;14;72;0;22
1983;9.52;21;69;0;29
1984;8.62;9;39;0;28
1985;8.5;16;57;0;42
1986;8.87;5;56;0;44
1987;8.38;5;45;0;34
1988;9.24;7;48;0;16
1989;9.4;3;40;0;28
1990;9.52;12;62;0;36
1991;8.19;6;42;0;47
1992;null;null;null;null;null
1993;8.46;5;47;0;33
1994;9.93;15;58;0;21
1995;8.35;9;39;0;34
1996;7.99;4;32;0;40
1997;8.83;0;39;0;20
1998;8.73;9;41;0;41
1999;8.63;4;31;0;41
2000;9.41;10;53;0;25
2001;8.65;8;41;0;40
2002;9.65;9;43;0;22
2003;9.32;27;84;0;40
2004;8.51;4;41;0;34
2005;7.97;12;44;0;58
2006;8.61;10;47;0;43
2007;9.47;9;46;0;23
2008;9.63;12;58;0;13
2009;9.42;10;57;0;29
2010;8.72;21;47;1;49
2011;9.83;13;63;0;21
2012;9.27;14;56;0;31
2013;9.15;20;61;0;32
2014;10.39;6;36;0;4
2015;10.02;31;68;0;18
2016;9.68;10;56;0;19
2017;9.4;17;61;0;31
2018;10.68;21;90;0;16
2019;10.32;21;66;0;15
2020;10.18;14;67;0;7
2021;9.41;15;63;0;28
2022;null;22;69;0;5
