year,month,averageTemperature,totalPrecipitation,averageSnowCover
1937,1,-3.874,17.7,0.0
1937,2,1.421,49.4,25.0
1937,3,2.577,50.6,41.0
1937,4,8.103,58.6,0.0
1937,5,16.065,37.0,0.0
1937,6,17.933,65.9,0.0
1937,7,17.855,52.8,0.0
1937,8,17.981,59.6,0.0
1937,9,14.233,36.5,0.0
1937,10,9.681,14.2,0.0
1937,11,2.92,29.9,0.0
1937,12,-1.365,27.9,0.0
1939,1,2.429,40.2,23.0
1939,2,2.607,22.7,0.0
1939,3,1.439,68.5,45.0
1939,4,8.78,35.9,0.0
1939,5,11.013,47.1,0.0
1939,6,17.043,98.9,0.0
1939,7,18.503,78.3,0.0
1939,8,18.826,66.2,0.0
1939,9,13.48,99.8,0.0
1939,10,6.058,93.9,0.0
1939,11,4.73,59.3,5.0
1939,12,-1.881,42.9,180.0
1940,1,-11.19,11.5,303.0
1940,2,-9.352,20.3,711.0
1940,3,1.352,44.7,12.0
1940,4,7.843,12.5,0.0
1940,5,12.445,51.2,0.0
1940,6,18.527,54.7,0.0
1940,7,17.581,44.3,0.0
1940,8,14.926,102.2,0.0
1940,9,11.777,50.4,0.0
1940,10,7.239,10.5,0.0
1940,11,5.527,59.7,0.0
1940,12,-3.152,46.6,12.0
1941,1,-8.084,19.9,491.0
1941,2,-1.164,25.9,327.0
1941,3,2.555,24.9,0.0
1941,4,5.25,26.1,1.0
1941,5,10.084,53.7,2.0
1941,6,16.973,51.3,0.0
1941,7,19.597,49.4,0.0
1941,8,15.626,74.8,0.0
1941,9,11.713,34.1,0.0
1941,10,7.561,111.4,0.0
1941,11,0.62,8.8,28.0
1941,12,1.532,61.3,52.0
1942,1,-8.184,8.5,31.0
1942,2,-5.839,13.5,417.0
1942,3,-1.145,5.7,117.0
1942,4,7.477,20.7,0.0
1942,5,12.842,44.5,0.0
1942,6,14.977,28.5,0.0
1942,7,16.855,109.9,0.0
1942,8,18.568,13.6,0.0
1942,9,15.243,50.1,0.0
1942,10,10.519,46.2,0.0
1942,11,3.333,45.8,1.0
1942,12,2.352,25.6,8.0
1943,1,-1.529,21.9,142.0
1943,2,3.4,23.2,0.0
1943,3,5.245,19.1,0.0
1943,4,9.753,34.3,0.0
1943,5,13.261,14.5,0.0
1943,6,15.683,69.2,0.0
1943,7,18.319,35.4,0.0
1943,8,18.942,43.5,0.0
1943,9,14.02,41.2,0.0
1943,10,9.232,3.3,0.0
1943,11,2.327,39.0,0.0
1943,12,-0.094,16.2,21.0
1944,1,3.594,58.3,3.0
1944,2,-0.183,26.4,45.0
1944,3,1.232,52.6,0.0
1944,4,8.48,20.9,0.0
1944,5,12.329,44.7,0.0
1944,6,15.253,71.2,0.0
1944,7,19.261,66.8,0.0
1944,8,20.481,38.1,0.0
1944,9,13.67,32.6,0.0
1944,10,8.742,46.0,0.0
1944,11,4.437,74.0,3.0
1944,12,-1.648,31.7,0.0
1949,1,1.119,0.0,0.0
1949,2,1.936,0.0,0.0
1949,3,1.523,0.0,0.0
1949,4,10.3,0.0,0.0
1949,5,13.877,0.0,0.0
1949,6,14.34,0.0,0.0
1949,7,18.042,0.0,0.0
1949,8,17.565,0.0,0.0
1949,9,16.247,0.0,0.0
1949,10,10.106,0.0,0.0
1949,11,3.43,0.0,0.0
1949,12,3.319,0.0,0.0
1950,1,-2.616,0.0,0.0
1950,2,2.511,0.0,0.0
1950,3,4.384,0.0,0.0
1950,4,7.36,0.0,0.0
1950,5,14.977,0.0,0.0
