year,month,averageTemperature,totalPrecipitation,averageSnowCover
1948,1,2.045,65.8,22.0
1948,2,0.8,50.0,30.0
1948,3,3.79,13.0,0.0
1948,4,7.57,28.4,0.0
1948,5,11.032,39.3,0.0
1948,6,15.073,53.6,0.0
1948,7,16.735,49.6,0.0
1948,8,16.748,146.2,0.0
1948,9,14.467,54.9,0.0
1948,10,9.516,45.4,0.0
1948,11,5.577,21.8,0.0
1948,12,3.077,11.6,0.0
1949,1,2.387,29.0,0.0
1949,2,3.05,32.5,0.0
1949,3,1.987,20.4,9.0
1949,4,8.01,62.7,0.0
1949,5,11.216,58.5,0.0
1949,6,14.11,28.9,0.0
1949,7,17.184,53.0,0.0
1949,8,16.306,50.6,0.0
1949,9,16.33,47.5,0.0
1949,10,12.206,14.8,0.0
1949,11,5.977,69.8,0.0
1949,12,3.955,88.4,0.0
1950,1,0.323,41.1,4.0
1950,2,2.3,70.9,12.0
1950,3,4.197,20.3,2.0
1950,4,6.44,43.0,0.0
1950,5,11.339,35.9,0.0
1950,6,15.8,45.6,0.0
1950,7,16.423,119.8,0.0
1950,8,17.745,102.7,0.0
1950,9,13.47,104.9,0.0
1950,10,9.139,52.1,0.0
1950,11,5.253,49.9,0.0
1950,12,0.835,27.1,9.0
1951,1,1.081,42.0,9.0
1951,2,1.2,30.4,7.0
1951,3,1.265,47.9,4.0
1951,4,6.407,48.0,0.0
1951,5,9.219,30.9,0.0
1951,6,14.89,34.5,0.0
1951,7,16.406,78.8,0.0
1951,8,17.003,119.4,0.0
1951,9,14.977,36.8,0.0
1951,10,9.771,3.1,0.0
1951,11,7.34,53.9,0.0
1951,12,4.781,37.1,0.0
1952,1,1.468,35.4,0.0
1952,2,1.586,7.8,12.0
1952,3,1.271,18.8,6.0
1952,4,7.81,8.5,4.0
1952,5,10.697,71.7,0.0
1952,6,13.573,75.1,0.0
1952,7,15.823,33.7,0.0
1952,8,16.648,43.6,0.0
1952,9,11.64,41.2,0.0
1952,10,8.129,77.8,0.0
1952,11,3.313,23.1,0.0
1952,12,0.903,33.8,6.0
1953,1,1.103,23.1,15.0
1953,2,0.079,23.4,116.0
1953,3,3.719,14.7,0.0
1953,4,7.277,18.8,0.0
1953,5,11.648,83.6,0.0
1953,6,15.15,96.2,0.0
1953,7,17.2,56.6,0.0
1953,8,16.352,54.2,0.0
1953,9,13.45,30.3,0.0
1953,10,11.358,23.0,0.0
1953,11,7.05,22.3,0.0
1953,12,3.635,27.0,0.0
1954,1,0.032,34.9,12.0
1954,2,-2.761,12.8,103.0
1954,3,1.884,26.4,19.0
1954,4,5.083,17.8,0.0
1954,5,10.81,4.1,0.0
1954,6,15.18,24.8,0.0
1954,7,14.845,93.9,0.0
1954,8,15.397,103.1,0.0
1954,9,13.52,50.0,0.0
1954,10,10.313,66.7,0.0
1954,11,5.0,49.2,0.0
1954,12,4.168,46.0,0.0
1955,1,-0.674,19.7,123.0
1955,2,-1.321,15.2,109.0
1955,3,0.035,39.3,46.0
1955,4,5.5,34.5,0.0
1955,5,9.206,54.2,0.0
