year;averageTemperature;heatDays;summerDays;tropicalNights;iceDays
1901;null;null;null;null;null
1902;null;null;null;null;null
1903;null;null;null;null;null
1904;null;null;null;null;null
1905;null;null;null;null;null
1906;null;null;null;null;null
1907;null;null;null;null;null
1908;null;null;null;null;null
1909;null;null;null;null;null
1910;null;null;null;null;null
1911;null;null;null;null;null
1912;null;null;null;null;null
1913;null;null;null;null;null
1914;null;null;null;null;null
1915;null;null;null;null;null
1916;null;null;null;null;null
1917;null;null;null;null;null
1918;null;null;null;null;null
1919;null;null;null;null;null
1920;null;null;null;null;null
1921;null;null;null;null;null
1922;null;null;null;null;null
1923;null;null;null;null;null
1924;null;null;null;null;null
1925;null;null;null;null;null
1926;null;null;null;null;null
1927;null;null;null;null;null
1928;null;null;null;null;null
1929;null;null;null;null;null
1930;null;null;null;null;null
1931;null;null;null;null;null
1932;null;null;null;null;null
1933;null;null;null;null;null
1934;null;null;null;null;null
1935;null;null;null;null;null
1936;null;null;null;null;null
1937;null;null;null;null;null
1938;null;null;null;null;null
1939;null;null;null;null;null
1940;null;null;null;null;null
1941;null;null;null;null;null
1942;null;null;null;null;null
1943;null;null;null;null;null
1944;null;null;null;null;null
1945;null;null;null;null;null
1946;null;null;null;null;null
1947;null;null;null;null;null
1948;7.53;1;18;0;35
1949;7.66;2;24;0;34
1950;7.5;4;34;0;55
1951;7.57;0;25;0;31
1952;6.28;7;26;2;81
1953;6.75;0;20;0;59
1954;5.25;0;13;0;63
1955;5.99;0;6;0;73
1956;5.35;0;10;0;69
1957;7.26;5;18;5;38
1958;6.7;0;17;0;66
1959;7.7;1;12;0;33
1960;7.01;0;10;0;47
1961;7.61;0;20;0;44
1962;5.61;1;20;1;74
1963;6.27;1;18;0;74
1964;6.66;1;26;1;71
1965;6.07;2;14;0;69
1966;7.43;0;14;0;53
1967;7.45;1;22;1;47
1968;6.88;0;15;0;66
1969;6.79;0;18;0;69
1970;6.22;0;18;0;70
1971;7.29;2;27;0;50
1972;6.97;2;19;1;37
1973;6.63;0;21;0;67
1974;7.38;1;12;0;19
1975;7.58;0;13;0;34
1976;7.53;1;25;0;47
1977;7.64;0;15;0;42
1978;6.46;0;8;0;49
1979;7.06;0;26;0;51
1980;6.17;2;12;0;57
1981;7.05;2;25;0;73
1982;7.8;0;30;0;44
1983;7.98;6;42;1;53
1984;6.73;1;14;0;52
1985;6.41;2;22;0;60
1986;7.13;1;25;0;63
1987;6.38;0;17;0;64
1988;7.5;2;23;0;44
1989;7.97;0;14;0;39
1990;7.98;0;24;0;38
1991;7.17;0;17;0;43
1992;8.1;8;33;1;38
1993;7.52;0;27;0;48
1994;8.84;11;40;2;28
1995;7.44;2;32;0;49
1996;6.33;1;19;0;68
1997;7.6;0;23;0;26
1998;7.77;3;31;0;40
1999;7.81;2;24;1;52
2000;null;null;null;null;null
2001;8.01;1;33;0;41
2002;null;null;null;null;null
2003;8.41;13;58;1;45
2004;7.56;1;26;0;61
2005;7.44;4;26;1;87
2006;8.1;7;35;2;67
2007;8.73;5;31;4;36
2008;null;null;null;null;null
2009;8.38;1;23;0;38
2010;7.09;4;26;0;72
2011;8.48;4;29;0;36
2012;7.97;2;33;0;45
2013;7.68;13;28;1;58
2014;9.34;3;22;0;10
2015;9.09;18;50;1;33
2016;8.33;1;26;0;26
2017;8.19;2;44;0;40
2018;9.38;4;46;0;44
2019;9.15;8;42;1;27
2020;8.78;2;23;0;12
2021;7.81;0;30;0;48
2022;9.18;7;36;1;31
2023;null;0;0;0;16
